date_obj,Black%20helm%20(h2) price
2018-06-08,3859
2018-06-09,3859
2018-06-10,3859
2018-06-11,4003
2018-06-12,4003
2018-06-13,4003
2018-06-14,4003
2018-06-15,4003
2018-06-16,4067
2018-06-17,4067
2018-06-18,4067
2018-06-19,4067
2018-06-20,4067
2018-06-21,4227
2018-06-22,4227
2018-06-23,4227
2018-06-24,4227
2018-06-25,4227
2018-06-26,4227
2018-06-27,4303
2018-06-28,4303
2018-06-29,4303
2018-06-30,4303
2018-07-01,4303
2018-07-02,4418
2018-07-03,4418
2018-07-04,4418
2018-07-05,4418
2018-07-06,4418
2018-07-07,4456
2018-07-08,4456
2018-07-09,4456
2018-07-10,4456
2018-07-11,4456
2018-07-12,4456
2018-07-13,4456
2018-07-14,4456
2018-07-15,4374
2018-07-16,4374
2018-07-17,4374
2018-07-18,4374
2018-07-19,4570
2018-07-20,4570
2018-07-21,4570
2018-07-22,4570
2018-07-23,4570
2018-07-24,4570
2018-07-25,4646
2018-07-26,4646
2018-07-27,4646
2018-07-28,4646
2018-07-29,4646
2018-07-30,4487
2018-07-31,4487
2018-08-01,4487
2018-08-02,4487
2018-08-03,4487
2018-08-04,4697
2018-08-05,4697
2018-08-06,4697
2018-08-07,4697
2018-08-08,4687
2018-08-09,4687
2018-08-10,4687
2018-08-11,4687
2018-08-12,4687
2018-08-14,4485
2018-08-16,4485
2018-08-17,4485
2018-08-18,4485
2018-08-19,4313
2018-08-20,4313
2018-08-21,4313
2018-08-22,4313
2018-08-23,4216
2018-08-24,4216
2018-08-25,4216
2018-08-26,4216
2018-08-27,4341
2018-08-28,4341
2018-08-29,4341
2018-08-30,4458
2018-08-31,4458
2018-09-01,4458
2018-09-02,4458
2018-09-03,4634
2018-09-04,4634
2018-09-05,4634
2018-09-06,4634
2018-09-07,4618
2018-09-08,4618
2018-09-09,4618
2018-09-10,4618
2018-09-11,4618
2018-09-12,4466
2018-09-13,4466
2018-09-14,4466
2018-09-15,4466
2018-09-16,4404
2018-09-17,4404
2018-09-18,4404
2018-09-19,4526
2018-09-20,4526
2018-09-21,4526
2018-09-22,4526
2018-09-23,4568
2018-09-24,4568
2018-09-25,4568
2018-09-26,4568
2018-09-27,4709
2018-09-28,4709
2018-09-29,4709
2018-09-30,4709
2018-10-01,4874
2018-10-02,4874
2018-10-03,4874
2018-10-04,4874
2018-10-05,4874
2018-10-06,5010
2018-10-07,5010
2018-10-08,5010
2018-10-09,5010
2018-10-10,5010
2018-10-11,5073
2018-10-12,5073
2018-10-13,5073
2018-10-14,5073
2018-10-15,5226
2018-10-16,5226
2018-10-17,5226
2018-10-18,5226
2018-10-19,5226
2018-10-20,5226
2018-10-21,4998
2018-10-22,4998
2018-10-23,4998
2018-10-24,4998
2018-10-25,4826
2018-10-26,4826
2018-10-27,4826
2018-10-28,4826
2018-10-29,5038
2018-10-30,5038
2018-10-31,5177
2018-11-01,5299
2018-11-03,5386
2018-11-04,5386
2018-11-05,5483
2018-11-06,5483
2018-11-07,5603
2018-11-08,5603
2018-11-09,5656
2018-11-10,5763
2018-11-11,5763
2018-11-12,5811
2018-11-13,5936
2018-11-15,5874
2018-11-16,5874
2018-11-17,5979
2018-11-18,5979
2018-11-19,5836
2018-11-20,5667
2018-11-21,5667
2018-11-22,5424
2018-11-23,5424
2018-11-24,5363
2018-11-25,5363
2018-11-26,5213
2018-11-27,5213
2018-11-28,4983
2018-11-29,4983
2018-12-01,4709
2018-12-02,4535
2018-12-03,4535
2018-12-04,4320
2018-12-05,4320
2018-12-07,4148
2018-12-09,4049
2018-12-10,4049
2018-12-11,3878
2018-12-12,3878
2018-12-13,3703
2018-12-14,3703
2018-12-15,3703
2018-12-16,3517
2018-12-17,3517
2018-12-18,3517
2018-12-19,3405
2018-12-20,3405
2018-12-21,3405
2018-12-22,3261
2018-12-23,3261
2018-12-24,3098
2018-12-25,3098
2018-12-26,3098
2018-12-27,2965
2018-12-28,2965
2018-12-29,2861
2018-12-30,2861
2018-12-31,2735
2019-01-01,2735
2019-01-02,2656
2019-01-03,2656
2019-01-04,2655
2019-01-05,2655
2019-01-06,2765
2019-01-08,2765
2019-01-10,2723
2019-01-11,2723
2019-01-12,2628
2019-01-13,2628
2019-01-14,2628
2019-01-15,2548
2019-01-16,2548
2019-01-17,2548
2019-01-18,2530
2019-01-19,2530
2019-01-20,2476
2019-01-21,2476
2019-01-22,2502
2019-01-23,2502
2019-01-24,2616
2019-01-25,2616
2019-01-26,2732
2019-01-27,2732
2019-01-28,2732
2019-01-29,2745
2019-01-30,2745
2019-01-31,2745
2019-02-01,2835
2019-02-02,2835
2019-02-03,2792
2019-02-04,2792
2019-02-05,2661
2019-02-06,2661
2019-02-07,2761
2019-02-08,2761
2019-02-09,2761
2019-02-10,2687
2019-02-11,2687
2019-02-12,2687
2019-02-13,2704
2019-02-14,2704
2019-02-15,2704
2019-02-16,2595
2019-02-17,2595
2019-02-18,2595
2019-02-19,2520
2019-02-20,2520
2019-02-21,2492
2019-02-22,2492
2019-02-23,2492
2019-02-24,2602
2019-02-25,2602
2019-02-26,2722
2019-02-27,2722
2019-02-28,2722
2019-03-01,2722
2019-03-02,2838
2019-03-03,2838
2019-03-04,2966
2019-03-05,2966
2019-03-06,2966
2019-03-07,3100
2019-03-08,3100
2019-03-09,3100
2019-03-10,3243
2019-03-11,3243
2019-03-12,3243
2019-03-13,3370
2019-03-14,3370
2019-03-15,3370
2019-03-16,3459
2019-03-17,3459
2019-03-18,3459
2019-03-19,3459
2019-03-20,3388
2019-03-21,3388
2019-03-22,3388
2019-03-23,3388
2019-03-24,3440
2019-03-25,3440
2019-03-26,3440
2019-03-27,3440
2019-03-28,3509
2019-03-29,3509
2019-03-30,3509
2019-03-31,3509
2019-04-01,3564
2019-04-02,3564
2019-04-03,3564
2019-04-04,3564
2019-04-05,3478
2019-04-06,3478
2019-04-07,3478
2019-04-08,3478
2019-04-09,3509
2019-04-10,3509
2019-04-11,3509
2019-04-12,3393
2019-04-13,3393
2019-04-14,3375
2019-04-15,3375
2019-04-16,3348
2019-04-17,3348
2019-04-18,3393
2019-04-19,3393
2019-04-20,3350
2019-04-21,3350
2019-04-22,3350
2019-04-23,3357
2019-04-24,3357
2019-04-25,3359
2019-04-26,3359
2019-04-27,3359
2019-04-28,3349
2019-04-29,3349
2019-04-30,3358
2019-05-01,3358
2019-05-02,3358
2019-05-03,3406
2019-05-04,3406
2019-05-05,3406
2019-05-06,3488
2019-05-07,3488
2019-05-08,3488
2019-05-09,3488
2019-05-10,3493
2019-05-11,3493
2019-05-12,3493
2019-05-13,3393
2019-05-14,3393
2019-05-15,3393
2019-05-16,3393
2019-05-17,3441
2019-05-18,3441
2019-05-19,3441
2019-05-20,3408
2019-05-21,3408
2019-05-22,3408
2019-05-23,3408
2019-05-24,3280
2019-05-25,3280
2019-05-26,3280
2019-05-27,3422
2019-05-28,3422
2019-05-29,3422
2019-05-30,3584
2019-05-31,3584
2019-06-01,3584
2019-06-02,3584
2019-06-03,3743
2019-06-04,3743
2019-06-05,3743
2019-06-06,3919
2019-06-07,3919
2019-06-08,3919
2019-06-09,4077
2019-06-10,4077
2019-06-11,4077
2019-06-12,4077
2019-06-13,4178
2019-06-14,4178
2019-06-15,4178
2019-06-16,4318
2019-06-17,4318
2019-06-18,4318
2019-06-19,4318
2019-06-20,4335
2019-06-21,4335
2019-06-22,4335
2019-06-23,4335
2019-06-24,4210
2019-06-25,4210
2019-06-26,4210
2019-06-27,4210
2019-06-28,4068
2019-06-29,4068
2019-06-30,4068
2019-07-01,4068
2019-07-02,4013
2019-07-03,4013
2019-07-04,4013
2019-07-05,4117
2019-07-06,4117
2019-07-07,4117
2019-07-08,4261
2019-07-09,4261
2019-07-10,4261
2019-07-11,4194
2019-07-12,4194
2019-07-13,4194
2019-07-14,4143
2019-07-15,4143
2019-07-16,4143
2019-07-17,4143
2019-07-18,4269
2019-07-19,4269
2019-07-20,4269
2019-07-21,4067
2019-07-22,4067
2019-07-23,3893
2019-07-24,3893
2019-07-25,3712
2019-07-26,3712
2019-07-27,3544
2019-07-28,3544
2019-07-29,3417
2019-07-30,3417
2019-07-31,3417
2019-08-01,3417
2019-08-02,3264
2019-08-03,3264
