date_obj,3rd%20age%20range%20top price
2016-08-18,26427382
2016-08-19,26427382
2016-08-20,26427382
2016-08-21,25728613
2016-08-22,25728613
2016-08-23,25728613
2016-08-24,25939615
2016-08-25,25939615
2016-08-26,25939615
2016-08-28,25786931
2016-08-31,25786931
2016-09-01,25639753
2016-09-02,25639753
2016-09-03,25639753
2016-09-04,25639753
2016-09-05,25713060
2016-09-06,25713060
2016-09-07,25713060
2016-09-08,25713060
2016-09-09,25965766
2016-09-10,25965766
2016-09-11,25965766
2016-09-12,26037666
2016-09-13,26037666
2016-09-14,26037666
2016-09-15,26037666
2016-09-16,26021233
2016-09-17,26021233
2016-09-18,26021233
2016-09-19,26452817
2016-09-20,26452817
2016-09-21,26452817
2016-09-22,26578026
2016-09-23,26578026
2016-09-24,26578026
2016-09-25,27226065
2016-09-26,27226065
2016-09-27,27226065
2016-09-28,28092307
2016-09-29,28092307
2016-09-30,28092307
2016-10-01,28985399
2016-10-02,28985399
2016-10-03,28985399
2016-10-04,30119203
2016-10-05,30119203
2016-10-06,30119203
2016-10-07,31419434
2016-10-08,31419434
2016-10-09,31419434
2016-10-10,31419434
2016-10-11,31495337
2016-10-12,31495337
2016-10-13,31495337
2016-10-14,32059508
2016-10-15,32059508
2016-10-16,32059508
2016-10-17,33334678
2016-10-18,33334678
2016-10-19,33334678
2016-10-20,33334678
2016-10-21,33465614
2016-10-22,33465614
2016-10-23,33465614
2016-10-24,33152689
2016-10-25,33152689
2016-10-26,33152689
2016-10-27,33513002
2016-10-28,33513002
2016-10-29,33513002
2016-10-30,34439566
2016-10-31,34439566
2016-11-01,34439566
2016-11-02,34439566
2016-11-03,34869579
2016-11-04,34869579
2016-11-05,34869579
2016-11-06,34869579
2016-11-07,35003038
2016-11-08,35003038
2016-11-09,35003038
2016-11-10,35003038
2016-11-11,33883253
2016-11-12,33883253
2016-11-13,33883253
2016-11-14,33883253
2016-11-15,33883253
2016-12-07,31522047
2016-12-08,30477303
2016-12-09,30477303
2016-12-10,30477303
2016-12-11,29054736
2016-12-12,29054736
2016-12-13,29054736
2016-12-14,29283283
2016-12-15,29283283
2016-12-16,29283283
2016-12-17,30242569
2016-12-18,30242569
2016-12-19,30242569
2016-12-20,30802241
2016-12-21,30802241
2016-12-22,30802241
2016-12-23,31657694
2016-12-24,31657694
2016-12-25,31657694
2016-12-26,32404696
2016-12-27,32404696
2016-12-28,32404696
2016-12-29,33389013
2016-12-30,33389013
2016-12-31,33389013
2017-01-01,33340751
2017-01-02,33340751
2017-01-03,33340751
2017-01-04,32424560
2017-01-05,32424560
2017-01-06,30876792
2017-01-07,30876792
2017-01-08,29347791
2017-01-09,29347791
2017-01-10,28160564
2017-01-11,28160564
2017-01-12,28679542
2017-01-13,28679542
2017-01-14,28679542
2017-01-15,29039231
2017-01-16,29039231
2017-01-17,28327661
2017-01-18,28327661
2017-01-19,27748271
2017-01-20,27748271
2017-01-21,26971524
2017-01-22,26971524
2017-01-23,26096837
2017-01-27,25551045
2017-01-28,24566859
2017-01-29,24566859
2017-01-30,24566859
2017-01-31,23719673
2017-02-01,23719673
2017-02-02,23627040
2017-02-03,23627040
2017-02-04,24491220
2017-02-05,24491220
2017-02-06,25070145
2017-02-07,25070145
2017-02-08,25311381
2017-02-09,25311381
2017-02-10,26371074
2017-02-11,26371074
2017-02-12,26371074
2017-02-13,26846966
2017-02-14,26846966
2017-02-15,26846966
2017-02-16,27110652
2017-02-17,27110652
2017-02-18,27110652
2017-02-19,26187462
2017-02-20,26187462
2017-02-21,24940513
2017-02-22,24940513
2017-02-23,24940513
2017-02-24,23764920
2017-02-25,23764920
2017-02-26,23764920
2017-02-27,22576674
2017-02-28,22576674
2017-03-01,21784760
2017-03-02,21784760
2017-03-03,21618591
2017-03-04,21618591
2017-03-05,21618591
2017-03-06,21479505
2017-03-07,21479505
2017-03-08,21468291
2017-03-09,21468291
2017-03-10,21726117
2017-03-11,21726117
2017-03-12,22102849
2017-03-13,22102849
2017-03-14,22671547
2017-03-15,22671547
2017-03-16,23712231
2017-03-17,23712231
2017-03-18,24477138
2017-03-19,24477138
2017-03-20,24056441
2017-03-21,24056441
2017-03-22,24056441
2017-03-23,22896482
2017-03-24,22896482
2017-03-25,22896482
2017-03-26,21866992
2017-03-27,21866992
2017-03-28,22397238
2017-03-29,22397238
2017-03-30,23028372
2017-03-31,23028372
2017-04-01,23028372
2017-04-02,23053763
2017-04-03,23053763
2017-04-04,22736977
2017-04-05,22736977
2017-04-12,23315835
2017-04-13,23290117
2017-04-14,23290117
2017-04-15,23290117
2017-04-16,23574091
2017-04-17,23574091
2017-04-18,22557197
2017-04-19,22557197
2017-04-20,21877903
2017-04-21,21877903
2017-04-22,22056917
2017-04-23,22056917
2017-04-24,21846595
2017-04-25,21859776
2017-04-26,21859776
2017-04-27,22286471
2017-04-28,22286471
2017-04-29,22021240
2017-04-30,22021240
2017-05-01,22190153
2017-05-02,22190153
2017-05-03,21912454
2017-05-04,21912454
2017-05-05,21841208
2017-05-06,21841208
2017-05-07,21841208
2017-05-08,21547401
2017-05-09,21547401
2017-05-10,21246074
2017-05-11,21246074
2017-05-12,21449113
2017-05-13,21449113
2017-05-14,21449113
2017-05-15,21179802
2017-05-16,21179802
2017-05-17,21267476
2017-05-18,21267476
2017-05-19,21267476
2017-05-20,20908437
2017-05-21,20908437
2017-05-22,20908437
2017-05-23,20944594
2017-05-24,20944594
2017-05-25,21414804
2017-05-26,21414804
2017-05-27,21728166
2017-05-28,21728166
2017-05-29,22563770
2017-05-30,22563770
2017-05-31,23532281
2017-06-01,23532281
2017-06-02,24445581
2017-06-03,24445581
2017-06-04,25145775
2017-06-05,25145775
2017-06-06,25894034
2017-06-07,25894034
2017-06-08,25894034
2017-06-09,25619524
2017-06-10,25619524
2017-06-11,25132114
2017-06-12,25132114
2017-06-13,23897467
2017-06-14,23897467
2017-06-15,23897467
2017-06-16,23488444
2017-06-17,23488444
2017-06-18,23579605
2017-06-19,23579605
2017-06-20,23579605
2017-06-21,23455038
2017-06-22,23455038
2017-06-23,23455038
2017-06-24,23262502
2017-06-25,23262502
2017-06-26,23262502
2017-06-27,22625208
2017-06-28,22625208
2017-06-29,22469475
2017-06-30,22469475
2017-07-01,22469475
2017-07-02,23445483
2017-07-03,23445483
2017-07-04,24233466
2017-07-05,24233466
2017-07-06,24233466
2017-07-07,24233466
2017-07-08,23823324
2017-07-09,23823324
2017-07-13,23991020
2017-07-14,23991020
2017-07-15,23263214
2017-07-16,23263214
2017-07-17,23263214
2017-07-18,22797643
2017-07-19,22797643
2017-07-20,22717917
2017-07-21,22717917
2017-07-22,23095789
2017-07-23,23095789
2017-07-24,23095789
2017-07-25,22642074
2017-07-26,22642074
2017-07-27,23246339
2017-07-28,23246339
2017-07-29,23717992
2017-07-30,23717992
2017-07-31,23387514
2017-08-01,23387514
2017-08-02,22986088
2017-08-03,22986088
2017-08-04,22986088
2017-08-05,22859817
2017-08-06,22859817
2017-08-07,22859817
2017-08-08,22804615
2017-08-09,22804615
2017-08-10,22147162
2017-08-11,22147162
2017-08-12,22147162
2017-08-13,21972695
2017-08-14,21972695
2017-08-15,21885454
2017-08-16,21885454
2017-08-17,21846726
2017-08-18,21846726
2017-08-19,22137034
2017-08-20,22137034
2017-08-21,22016824
2017-08-22,22016824
2017-08-23,21874267
2017-08-24,21874267
2017-08-25,21874267
2017-08-26,21312906
2017-08-27,21312906
2017-08-28,20573031
2017-08-29,20573031
2017-08-30,20252105
2017-08-31,20252105
2017-09-01,20252105
2017-09-02,20349549
2017-09-03,20349549
2017-09-04,20349549
2017-09-05,20172057
2017-09-06,20172057
2017-09-07,20050625
2017-09-08,20050625
2017-09-09,20050625
2017-09-10,19814555
2017-09-11,19814555
2017-09-12,19814555
2017-09-13,19804719
2017-09-14,19804719
2017-09-15,19804719
2017-09-16,20161026
2017-09-17,20161026
2017-09-18,20188624
2017-09-19,20188624
2017-09-20,20194955
2017-09-21,20965255
2017-09-22,21754628
2017-09-23,21754628
2017-09-24,22564897
2017-09-25,22564897
2017-09-26,22042887
2017-09-27,22042887
2017-09-28,22042887
2017-09-29,21708006
2017-09-30,21708006
2017-10-01,21565012
2017-10-02,21565012
2017-10-03,21331127
2017-10-04,21331127
2017-10-05,21331127
2017-10-06,21477640
2017-10-07,21477640
2017-10-08,21477640
2017-10-09,21216119
2017-10-10,21216119
2017-10-11,21216119
2017-10-12,21114041
2017-10-13,21114041
2017-10-14,21114041
2017-10-15,21120548
2017-10-16,21120548
2017-10-17,20875837
2017-10-18,20875837
2017-10-19,20570816
2017-10-20,20570816
2017-10-21,20570816
2017-10-22,20608260
2017-10-23,20608260
2017-10-24,20608260
2017-10-25,20539657
2017-10-26,20539657
2017-10-27,20691800
2017-10-28,20691800
2017-10-29,21347860
2017-10-30,21849235
2017-10-31,21849235
2017-11-01,22814924
2017-11-02,22814924
2017-11-03,23626842
2017-11-04,23626842
2017-11-05,23707124
2017-11-06,23707124
