date_obj,Jade%20amulet price
2019-08-20,864
2019-08-21,864
2019-08-22,864
2019-08-23,864
2019-08-24,864
2019-08-24,864
2019-08-25,864
2019-08-25,864
2019-08-26,864
2019-08-26,864
2019-08-27,864
2019-08-27,864
2019-08-28,864
2019-08-29,864
2019-08-30,864
2019-08-31,864
2019-09-01,837
2019-09-02,837
2019-09-03,837
2019-09-04,837
2019-09-05,837
2019-09-06,837
2019-09-07,837
2019-09-08,837
2019-09-09,837
2019-09-10,837
2019-09-11,837
2019-09-12,837
2019-09-13,837
2019-09-14,837
2019-09-15,837
2019-09-16,837
2019-09-17,837
2019-09-18,837
2019-09-19,837
2019-09-20,837
2019-09-21,837
2019-09-22,837
2019-09-23,837
2019-09-24,837
2019-09-25,837
2019-09-26,837
2019-09-27,837
2019-09-28,837
2019-09-29,837
2019-09-30,837
2019-10-01,837
2019-10-02,837
2019-10-03,837
2019-10-04,814
2019-10-05,814
2019-10-06,814
2019-10-07,814
2019-10-08,814
2019-10-09,814
2019-10-10,814
2019-10-11,814
2019-10-12,814
2019-10-13,814
2019-10-14,814
2019-10-15,814
2019-10-16,814
2019-10-17,814
2019-10-18,842
2019-10-19,842
2019-10-20,842
2019-10-21,842
2019-10-22,842
2019-10-23,842
2019-10-24,842
2019-10-25,842
2019-10-26,842
2019-10-27,842
2019-10-28,842
2019-10-29,842
2019-10-30,842
2019-10-31,842
2019-11-01,842
2019-11-02,842
2019-11-03,842
2019-11-04,842
2019-11-05,842
2019-11-06,842
2019-11-07,842
2019-11-08,842
2019-11-09,842
2019-11-10,842
2019-11-11,842
2019-11-12,842
2019-11-13,842
2019-11-14,842
2019-11-15,842
2019-11-16,842
2019-11-17,827
2019-11-18,827
2019-11-19,827
2019-11-20,827
2019-11-21,827
2019-11-22,827
2019-11-23,827
2019-11-24,827
2019-11-25,827
2019-11-26,827
2019-11-27,827
2019-11-28,827
2019-11-29,827
2019-11-30,827
2019-12-01,827
2019-12-02,827
2019-12-03,827
2019-12-04,827
2019-12-05,827
2019-12-06,827
2019-12-07,827
2019-12-08,827
2019-12-09,827
2019-12-10,842
2019-12-11,842
2019-12-12,842
2019-12-13,842
2019-12-14,842
2019-12-15,842
2019-12-16,842
2019-12-17,842
2019-12-18,842
2019-12-19,842
2019-12-20,842
2019-12-21,842
2019-12-22,842
2019-12-23,842
2019-12-24,842
2019-12-25,842
2019-12-26,842
2019-12-27,842
2019-12-28,842
2019-12-29,842
2019-12-30,842
2019-12-31,842
2020-01-01,842
2020-01-02,823
2020-01-03,823
2020-01-04,823
2020-01-05,823
2020-01-06,823
2020-01-07,823
2020-01-08,823
2020-01-09,823
2020-01-10,823
2020-01-11,823
2020-01-12,823
2020-01-13,823
2020-01-14,823
2020-01-15,823
2020-01-16,823
2020-01-17,823
2020-01-18,823
2020-01-19,823
2020-01-20,823
2020-01-21,823
2020-01-22,823
2020-01-23,823
2020-01-24,823
2020-01-25,823
2020-01-26,823
2020-01-27,823
2020-01-28,823
2020-01-29,823
2020-01-30,823
2020-01-31,823
2020-02-01,823
2020-02-02,794
2020-02-03,794
2020-02-04,794
2020-02-05,794
2020-02-06,794
2020-02-07,794
2020-02-08,794
2020-02-09,794
2020-02-10,794
2020-02-11,794
2020-02-12,794
2020-02-13,794
2020-02-14,794
2020-02-15,794
2020-02-16,794
2020-02-17,794
