date_obj,Red%20elegant%20legs price
2017-02-11,18653
2017-02-12,18653
2017-02-13,18653
2017-02-14,18176
2017-02-15,18176
2017-02-16,18176
2017-02-18,17566
2017-02-19,17566
2017-02-20,17566
2017-02-21,17892
2017-02-22,17892
2017-02-23,17892
2017-02-24,17892
2017-02-25,18350
2017-02-26,18350
2017-02-27,18350
2017-02-28,18891
2017-03-01,18891
2017-03-02,18891
2017-03-03,19820
2017-03-04,19820
2017-03-05,19820
2017-03-06,20784
2017-03-07,20784
2017-03-08,20784
2017-03-09,20784
2017-03-10,21711
2017-03-11,21711
2017-03-12,21711
2017-03-13,22565
2017-03-14,22565
2017-03-15,23664
2017-03-16,23664
2017-03-17,23664
2017-03-18,23664
2017-03-19,24337
2017-03-20,24337
2017-03-21,24337
2017-03-22,24629
2017-03-23,24629
2017-03-24,24629
2017-03-25,24629
2017-03-26,24794
2017-03-27,24794
2017-03-28,24794
2017-03-29,25609
2017-03-30,25609
2017-03-31,25609
2017-04-01,25609
2017-04-02,26295
2017-04-03,26295
2017-04-04,26295
2017-04-12,28321
2017-04-13,28407
2017-04-14,28407
2017-04-15,28407
2017-04-16,27705
2017-04-17,27705
2017-04-18,27705
2017-04-19,27373
2017-04-20,27373
2017-04-21,27373
2017-04-22,27373
2017-04-23,26252
2017-04-24,26252
2017-04-25,26252
2017-04-26,25062
2017-04-27,25062
2017-04-28,25062
2017-04-29,24177
2017-04-30,24177
2017-05-01,24177
2017-05-02,24097
2017-05-03,24097
2017-05-04,24097
2017-05-05,23647
2017-05-06,23647
2017-05-07,23647
2017-05-08,24031
2017-05-09,24031
2017-05-10,24031
2017-05-11,23639
2017-05-12,23639
2017-05-13,23639
2017-05-14,23275
2017-05-15,23275
2017-05-16,23275
2017-05-17,23628
2017-05-18,23628
2017-05-19,23628
2017-05-20,22989
2017-05-21,22989
2017-05-22,22989
2017-05-23,22989
2017-05-24,22177
2017-05-25,22177
2017-05-26,22177
2017-05-27,22177
2017-05-28,21682
2017-05-29,21682
2017-05-30,21682
2017-05-31,21682
2017-06-01,21068
2017-06-02,21068
2017-06-03,21068
2017-06-06,21082
2017-06-07,21082
2017-06-08,21082
2017-06-09,21011
2017-06-10,21011
2017-06-11,20249
2017-06-12,20249
2017-06-13,20249
2017-06-14,20249
2017-06-15,19841
2017-06-16,19841
2017-06-17,19841
2017-06-18,19566
2017-06-19,19566
2017-06-20,19566
2017-06-21,19566
2017-06-22,19429
2017-06-23,19429
2017-06-24,19429
2017-06-25,19429
2017-06-26,19429
2017-06-27,18795
2017-06-28,18795
2017-06-29,18795
2017-06-30,18795
2017-07-01,18692
2017-07-02,18692
2017-07-03,18692
2017-07-04,18430
2017-07-05,18430
2017-07-06,18430
2017-07-07,18430
2017-07-08,18430
2017-07-13,18478
2017-07-14,18478
2017-07-15,18478
2017-07-16,19021
2017-07-17,19021
2017-07-18,19021
2017-07-19,19203
2017-07-20,19203
2017-07-21,19203
2017-07-22,19203
2017-07-23,18715
2017-07-24,18715
2017-07-25,18715
2017-07-26,18715
2017-07-27,18332
2017-07-28,18332
2017-07-29,18332
2017-07-30,17608
2017-07-31,17608
2017-08-01,17608
2017-08-02,17608
2017-08-03,17501
2017-08-04,17501
2017-08-05,17501
2017-08-06,17501
2017-08-09,17818
2017-08-10,17818
2017-08-11,17692
2017-08-12,17692
2017-08-13,17692
2017-08-14,17692
2017-08-15,17692
2017-08-16,17917
2017-08-17,17917
2017-08-18,17917
2017-08-19,17256
2017-08-20,17256
2017-08-22,17256
2017-08-23,16396
2017-08-24,16396
2017-08-25,16396
2017-08-26,15858
2017-08-27,15858
2017-08-28,15858
2017-08-29,15858
2017-08-30,15146
2017-08-31,15146
2017-09-01,15146
2017-09-02,15146
2017-09-03,14540
2017-09-04,14540
2017-09-05,14540
2017-09-06,14185
2017-09-07,14185
2017-09-08,14185
2017-09-09,13932
2017-09-10,13932
2017-09-11,13932
2017-09-12,14261
2017-09-13,14261
2017-09-14,14261
2017-09-15,14261
2017-09-16,14108
2017-09-17,14108
2017-09-19,14108
2017-09-20,14357
2017-09-21,14357
2017-09-22,14357
2017-09-23,14357
2017-09-24,14790
2017-09-25,14790
2017-09-26,14790
2017-09-27,14790
2017-09-28,15305
2017-09-29,15305
2017-09-30,15305
2017-10-01,15305
2017-10-02,15304
2017-10-03,15304
2017-10-04,15304
2017-10-05,15304
2017-10-06,14899
2017-10-07,14899
2017-10-08,14899
2017-10-09,14899
2017-10-10,15036
2017-10-11,15036
2017-10-12,15036
2017-10-13,15036
2017-10-14,15669
2017-10-15,15669
2017-10-16,15669
2017-10-17,15669
2017-10-18,16431
2017-10-19,16431
2017-10-20,16431
2017-10-21,16431
2017-10-22,17246
2017-10-23,17246
2017-10-24,17246
2017-10-25,17246
2017-10-26,18043
2017-10-27,18043
2017-10-28,18043
2017-10-29,18043
2017-10-30,18158
2017-10-31,18158
2017-11-01,18158
2017-11-02,18158
2017-11-03,17795
2017-11-04,17795
2017-11-05,17795
2017-11-06,17572
2017-11-07,17572
2017-11-08,17572
2017-11-09,17572
2017-11-10,17229
2017-11-11,17229
2017-11-12,17229
2017-11-13,17229
2017-11-14,16664
2017-11-15,16664
2017-11-16,16664
2017-11-17,16664
2017-11-18,16244
2017-11-19,16244
2017-11-20,16244
2017-11-21,15814
2017-11-22,15814
2017-11-23,15814
2017-11-24,15814
2017-11-25,15308
2017-11-26,15308
2017-11-27,15308
2017-11-28,15308
2017-11-29,15239
2017-11-30,15239
2017-12-01,15239
2017-12-02,15239
2017-12-03,14868
2017-12-04,14868
2017-12-05,14868
2017-12-06,14868
2017-12-07,14865
2017-12-08,14865
2017-12-09,14865
2017-12-10,14865
2017-12-11,14619
2017-12-12,14619
2017-12-14,14619
2017-12-15,14619
2017-12-16,14598
2017-12-17,14598
2017-12-18,14598
2017-12-19,14598
2017-12-20,14943
2017-12-21,14943
2017-12-22,14943
2017-12-23,15574
2017-12-24,15574
2017-12-25,15574
2017-12-26,15574
2017-12-27,16022
2017-12-28,16022
2017-12-29,16022
2017-12-30,16022
2017-12-31,16022
2018-01-01,16653
2018-01-02,16653
2018-01-03,16653
2018-01-04,16653
2018-01-05,17324
2018-01-06,17324
2018-01-07,17324
2018-01-08,18183
2018-01-09,18183
2018-01-10,18183
2018-01-11,18183
2018-01-12,19069
2018-01-13,19069
2018-01-14,19069
2018-01-15,18645
2018-01-16,18645
2018-01-17,18253
2018-01-18,18253
2018-01-19,18253
2018-01-20,18253
2018-01-21,17749
2018-01-22,17749
2018-01-23,17749
2018-01-24,17689
2018-01-25,17689
2018-01-26,17689
2018-01-27,17689
2018-01-28,17759
2018-01-29,17759
2018-01-31,17759
2018-02-01,17891
2018-02-02,17891
2018-02-03,17891
2018-02-04,18752
2018-02-05,18752
2018-02-06,18752
2018-02-07,19642
2018-02-08,19642
2018-02-09,19642
2018-02-10,20615
2018-02-11,20615
2018-02-12,20615
2018-02-13,21589
2018-02-14,21589
2018-02-15,22636
2018-02-16,22636
2018-02-17,22636
2018-02-18,23724
2018-02-19,23724
2018-02-20,23724
2018-02-21,24874
2018-02-22,24874
2018-02-23,24874
2018-02-24,24874
2018-02-25,25975
2018-02-26,25975
2018-02-27,27165
2018-02-28,27165
2018-03-01,27165
2018-03-02,28475
2018-03-03,28475
2018-03-04,28475
2018-03-05,29781
2018-03-06,29781
2018-03-07,29781
2018-03-08,31232
2018-03-09,31232
2018-03-10,31232
2018-03-11,32758
2018-03-12,32758
2018-03-13,32758
2018-03-14,34275
2018-03-15,34275
2018-03-16,34275
2018-03-17,34275
2018-03-18,35843
2018-03-19,35843
2018-03-20,35843
2018-03-21,35843
2018-03-23,36313
2018-03-24,36313
2018-03-26,36623
2018-03-27,36623
2018-03-28,36623
2018-03-29,36075
2018-03-30,36075
2018-03-31,36075
2018-04-01,36075
2018-04-02,35665
2018-04-03,35665
2018-04-04,35665
2018-04-05,35820
2018-04-06,35820
2018-04-08,35820
2018-04-09,36312
2018-04-10,36312
2018-04-11,36312
2018-04-12,36312
2018-04-13,36312
2018-04-14,35936
2018-04-15,35936
2018-04-16,35936
2018-04-17,35936
2018-04-18,35984
2018-04-19,35984
2018-04-20,35984
2018-04-21,35984
2018-04-22,35978
2018-04-23,35978
2018-04-24,35978
2018-04-25,35978
2018-04-26,35978
2018-04-27,35476
2018-04-28,35476
2018-04-29,35476
2018-04-30,35476
2018-05-01,35476
2018-05-02,35721
2018-05-03,35721
2018-05-04,35721
2018-05-05,35721
2018-05-06,35665
2018-05-07,35665
2018-05-08,35665
2018-05-09,35665
2018-05-10,36102
2018-05-11,36102
2018-05-12,36102
2018-05-13,36102
2018-05-14,36102
2018-05-15,35200
2018-05-16,35200
2018-05-17,35200
2018-05-18,35200
2018-05-19,34886
2018-05-20,34886
2018-05-21,34886
2018-05-22,34886
2018-05-23,34742
2018-05-24,34742
2018-05-25,34742
2018-05-26,34742
2018-05-27,36125
2018-05-28,36125
2018-05-29,36125
2018-05-30,36125
2018-05-31,37111
2018-06-01,37111
2018-06-02,37111
2018-06-03,37111
2018-06-04,37749
2018-06-05,37749
2018-06-06,37749
2018-06-07,37749
2018-06-08,38898
2018-06-09,38898
2018-06-10,38898
2018-06-11,38898
2018-06-12,38898
2018-06-13,40248
2018-06-14,40248
2018-06-15,40248
2018-06-16,40248
2018-06-17,41357
2018-06-18,41357
2018-06-19,41357
2018-06-20,41357
2018-06-21,42473
2018-06-22,42473
2018-06-23,42473
2018-06-24,42473
2018-06-25,43368
2018-06-26,43368
2018-06-27,43368
2018-06-28,43368
2018-06-29,43368
2018-06-30,44266
2018-07-01,44266
2018-07-02,44266
2018-07-03,44266
2018-07-04,44266
2018-07-05,44266
2018-07-06,44265
2018-07-07,44265
2018-07-08,44265
2018-07-09,44265
2018-07-10,44561
2018-07-11,44561
2018-07-12,44561
2018-07-13,44561
2018-07-14,44561
2018-07-15,45143
2018-07-16,45143
2018-07-17,45143
2018-07-18,45914
