date_obj,Red%20headband price
2016-10-17,9716
2016-10-18,9716
2016-10-19,9716
2016-10-20,9716
2016-10-21,9447
2016-10-22,9447
2016-10-23,9447
2016-10-24,9447
2016-10-25,9447
2016-10-26,9392
2016-10-27,9392
2016-10-28,9392
2016-10-29,9392
2016-10-30,9392
2016-10-31,9377
2016-11-01,9377
2016-11-02,9377
2016-11-03,9377
2016-11-04,9377
2016-11-05,9377
2016-11-06,9480
2016-11-07,9480
2016-11-08,9480
2016-11-09,9480
2016-11-10,9480
2016-11-11,9480
2016-11-12,9480
2016-11-13,9305
2016-11-14,9305
2016-12-08,9065
2016-12-09,9065
2016-12-10,9075
2016-12-11,9075
2016-12-12,9075
2016-12-13,9075
2016-12-14,9129
2016-12-15,9129
2016-12-16,9129
2016-12-17,9129
2016-12-18,9129
2016-12-19,9300
2016-12-20,9300
2016-12-21,9300
2016-12-22,9300
2016-12-23,9300
2016-12-24,9300
2016-12-25,8933
2016-12-26,8933
2016-12-27,8933
2016-12-28,8933
2016-12-29,8933
2016-12-30,8827
2016-12-31,8827
2017-01-01,8827
2017-01-02,8827
2017-01-03,8759
2017-01-04,8759
2017-01-05,8759
2017-01-06,8759
2017-01-07,8759
2017-01-08,8517
2017-01-09,8517
2017-01-10,8517
2017-01-11,8517
2017-01-12,8329
2017-01-13,8329
2017-01-14,8329
2017-01-15,8329
2017-01-16,8278
2017-01-17,8278
2017-01-18,8278
2017-01-19,8278
2017-01-20,8170
2017-01-21,8170
2017-01-22,8170
2017-01-27,8154
2017-01-28,8038
2017-01-29,8038
2017-01-30,8038
2017-01-31,8038
2017-02-01,7774
2017-02-02,7774
2017-02-03,7774
2017-02-04,7765
2017-02-05,7765
2017-02-06,7765
2017-02-07,7765
2017-02-08,7734
2017-02-09,7734
2017-02-10,7734
2017-02-11,7734
2017-02-12,7783
2017-02-13,7783
2017-02-14,7783
2017-02-15,7783
2017-02-16,7825
2017-02-18,7825
2017-02-19,7825
2017-02-20,7905
2017-02-21,7905
2017-02-22,7905
2017-02-23,7905
2017-02-24,7905
2017-02-25,8089
2017-02-26,8089
2017-02-27,8089
2017-02-28,8089
2017-03-01,8108
2017-03-02,8108
2017-03-03,8108
2017-03-04,8108
2017-03-05,8168
2017-03-06,8168
2017-03-07,8168
2017-03-08,8168
2017-03-09,8133
2017-03-10,8133
2017-03-11,8133
2017-03-12,8133
2017-03-13,8139
2017-03-14,8139
2017-03-15,8139
2017-03-16,8139
2017-03-17,7884
2017-03-18,7884
2017-03-19,7884
2017-03-20,7884
2017-03-21,7685
2017-03-22,7685
2017-03-23,7685
2017-03-24,7685
2017-03-25,7685
2017-03-26,7456
2017-03-27,7456
2017-03-28,7456
2017-03-29,7456
2017-03-30,7199
2017-03-31,7199
2017-04-01,7199
2017-04-02,7199
2017-04-03,7199
2017-04-04,7209
2017-04-12,6953
2017-04-13,6953
2017-04-14,6614
2017-04-15,6614
2017-04-16,6614
2017-04-17,6369
2017-04-18,6369
2017-04-19,6369
2017-04-20,6369
2017-04-21,6366
2017-04-22,6366
2017-04-23,6366
2017-04-24,6366
2017-04-25,6164
2017-04-26,6164
2017-04-27,6164
2017-04-28,6164
2017-04-29,5997
2017-04-30,5997
2017-05-01,5997
2017-05-02,5997
2017-05-03,5997
2017-05-04,5845
2017-05-05,5845
2017-05-06,5845
2017-05-07,5845
2017-05-08,5699
2017-05-09,5699
2017-05-10,5699
2017-05-11,5699
2017-05-12,5611
2017-05-13,5611
2017-05-14,5611
2017-05-15,5611
2017-05-16,5450
2017-05-17,5450
2017-05-18,5450
2017-05-19,5450
2017-05-20,5277
2017-05-21,5277
2017-05-22,5277
2017-05-23,5277
2017-05-24,5277
2017-05-25,5142
2017-05-26,5142
2017-05-27,5142
2017-05-28,5142
2017-05-29,5049
2017-05-30,5049
2017-05-31,5049
2017-06-01,5049
2017-06-02,4943
2017-06-03,4943
2017-06-06,4805
2017-06-07,4805
2017-06-08,4805
