date_obj,Helm%20of%20neitiznot price
2019-03-28,30235
2019-03-29,31134
2019-03-30,31233
2019-03-31,31002
2019-04-01,30515
2019-04-02,30988
2019-04-03,31035
2019-04-04,30981
2019-04-05,31189
2019-04-06,31559
2019-04-07,31682
2019-04-08,31623
2019-04-09,31244
2019-04-10,31982
2019-04-11,31797
2019-04-12,31463
2019-04-13,31303
2019-04-14,31742
2019-04-15,32025
2019-04-16,31942
2019-04-17,31166
2019-04-18,31077
2019-04-19,31148
2019-04-20,31785
2019-04-21,32110
2019-04-22,32734
2019-04-23,32141
2019-04-24,31955
2019-04-25,31647
2019-04-26,31616
2019-04-27,31659
2019-04-28,31499
2019-04-29,31428
2019-04-30,31420
2019-05-01,31346
2019-05-02,31382
2019-05-03,31653
2019-05-04,32173
2019-05-05,32562
2019-05-06,32447
2019-05-07,32284
2019-05-08,32183
2019-05-09,31928
2019-05-10,31624
2019-05-11,31426
2019-05-12,31411
2019-05-13,31298
2019-05-14,31286
2019-05-15,31325
2019-05-16,31343
2019-05-17,31460
2019-05-18,31637
2019-05-19,31806
2019-05-20,31773
2019-05-21,31917
2019-05-22,33084
2019-05-23,34583
2019-05-24,36303
2019-05-25,38109
2019-05-26,40015
2019-05-27,41916
2019-05-28,43875
2019-05-29,44498
2019-05-30,44851
2019-05-31,44416
2019-06-01,43053
2019-06-02,41019
2019-06-03,38968
2019-06-04,37072
2019-06-05,36508
2019-06-06,36409
2019-06-07,35986
2019-06-08,36157
2019-06-09,36743
2019-06-10,36777
2019-06-11,37227
2019-06-12,37372
2019-06-13,38272
2019-06-14,38182
2019-06-15,39090
2019-06-16,40871
2019-06-17,42389
2019-06-18,42673
2019-06-19,42485
2019-06-20,43668
2019-06-21,45488
2019-06-22,45519
2019-06-23,44339
2019-06-24,45434
2019-06-25,46697
2019-06-26,46388
2019-06-27,47634
2019-06-28,48700
2019-06-29,48115
2019-06-30,48917
2019-07-01,50242
2019-07-02,51278
2019-07-03,50663
2019-07-04,50279
2019-07-05,50476
2019-07-06,50140
2019-07-07,49782
2019-07-08,48969
2019-07-09,48706
2019-07-10,48858
2019-07-11,49676
2019-07-12,51794
2019-07-13,54161
2019-07-14,52738
2019-07-15,52113
2019-07-16,51380
2019-07-17,51496
2019-07-18,52176
2019-07-19,51625
2019-07-20,50905
2019-07-21,50093
2019-07-22,49194
2019-07-23,48367
2019-07-24,47499
2019-07-25,47012
2019-07-26,45722
2019-07-27,43946
2019-07-28,42134
2019-07-29,40126
2019-07-30,38146
2019-07-31,36364
2019-08-01,36154
2019-08-02,37564
2019-08-03,39000
2019-08-04,40588
2019-08-05,41488
2019-08-06,41551
2019-08-07,41977
2019-08-08,43443
2019-08-09,44482
2019-08-10,46228
2019-08-11,47426
2019-08-12,47884
2019-08-13,46613
2019-08-14,46287
2019-08-15,45148
2019-08-16,46320
2019-08-17,45578
2019-08-18,46554
2019-08-19,45767
2019-08-20,45494
2019-08-21,45666
2019-08-22,46518
2019-08-23,48548
2019-08-24,50150
2019-08-24,50150
2019-08-25,51142
2019-08-25,51142
2019-08-26,53639
2019-08-26,53639
2019-08-27,55631
2019-08-27,55631
2019-08-28,55655
2019-08-29,54557
2019-08-30,54611
2019-08-31,53899
2019-09-01,54315
2019-09-02,53049
2019-09-03,53636
2019-09-04,53912
2019-09-05,54473
2019-09-06,54906
2019-09-07,54169
2019-09-08,53632
2019-09-09,53517
2019-09-10,52389
2019-09-11,51904
2019-09-12,50329
2019-09-13,49447
2019-09-14,49919
2019-09-15,50080
2019-09-16,51006
2019-09-17,51934
2019-09-18,53669
2019-09-19,55912
2019-09-20,57175
2019-09-21,56945
2019-09-22,55458
2019-09-23,53683
2019-09-24,54936
2019-09-25,55153
2019-09-26,52816
2019-09-27,50175
2019-09-28,47666
2019-09-29,45282
2019-09-30,43017
2019-10-01,40871
2019-10-02,38844
2019-10-03,37242
2019-10-04,37488
2019-10-05,38409
2019-10-06,38819
2019-10-07,39143
2019-10-08,39564
2019-10-09,39891
2019-10-10,39750
2019-10-11,39759
2019-10-12,39511
2019-10-13,39815
2019-10-14,39542
2019-10-15,39322
2019-10-16,39163
2019-10-17,38606
2019-10-18,37932
2019-10-19,37876
2019-10-20,37163
2019-10-21,37647
2019-10-22,37806
2019-10-23,37530
2019-10-24,37588
2019-10-25,37858
2019-10-26,38170
2019-10-27,38725
2019-10-28,38738
2019-10-29,37505
2019-10-30,36736
2019-10-31,37332
2019-11-01,38097
2019-11-02,38541
2019-11-03,39007
2019-11-04,39212
2019-11-05,39173
2019-11-06,39782
2019-11-07,40735
2019-11-08,41041
2019-11-09,42644
2019-11-10,43422
2019-11-11,43415
2019-11-12,44347
2019-11-13,43432
2019-11-14,43495
2019-11-15,44864
2019-11-16,46727
2019-11-17,49064
2019-11-18,51191
2019-11-19,53331
2019-11-20,55070
2019-11-21,56627
2019-11-22,54899
2019-11-23,52866
2019-11-24,52519
2019-11-25,53299
2019-11-26,54733
2019-11-27,54784
2019-11-28,54290
2019-11-29,53294
2019-11-30,52022
2019-12-01,50888
2019-12-02,50224
2019-12-03,48233
2019-12-04,46879
2019-12-05,46304
2019-12-06,46195
2019-12-07,45169
2019-12-08,43877
2019-12-09,43065
2019-12-10,42161
2019-12-11,41369
2019-12-12,40871
2019-12-13,41385
2019-12-14,41749
2019-12-15,41719
2019-12-16,41817
2019-12-17,41772
2019-12-18,41966
2019-12-19,42226
2019-12-20,42246
2019-12-21,41367
2019-12-22,41825
2019-12-23,42731
2019-12-24,43129
2019-12-25,43049
2019-12-26,42820
2019-12-27,42089
2019-12-28,41202
2019-12-29,39908
2019-12-30,38551
2019-12-31,37947
2020-01-01,38687
2020-01-02,40596
2020-01-03,42626
2020-01-04,44063
2020-01-05,45634
2020-01-06,45629
2020-01-07,44624
2020-01-08,45136
2020-01-09,44432
2020-01-10,45029
2020-01-11,44389
2020-01-12,42967
2020-01-13,42791
2020-01-14,42744
2020-01-15,42771
2020-01-16,42184
2020-01-17,42194
2020-01-18,41652
2020-01-19,41518
2020-01-20,40836
2020-01-21,40604
2020-01-22,40970
2020-01-23,41300
2020-01-24,40897
2020-01-25,40801
2020-01-26,41001
2020-01-27,41375
2020-01-28,41384
2020-01-29,41006
2020-01-30,41040
2020-01-31,41390
2020-02-01,40994
2020-02-02,41063
2020-02-03,41175
2020-02-04,41567
2020-02-05,41575
2020-02-06,41110
2020-02-07,40376
2020-02-08,38829
2020-02-09,37582
2020-02-10,36995
2020-02-11,36882
2020-02-12,36416
2020-02-13,36378
2020-02-14,35905
2020-02-15,36617
2020-02-16,36995
2020-02-17,37807
2020-02-18,39514
2020-02-19,40727
2020-02-20,41665
2020-02-21,40797
2020-02-22,41888
2020-02-23,40941
2020-02-24,41181
2020-02-25,41370
2020-02-26,41621
2020-02-27,41069
2020-02-28,41173
2020-02-29,42202
2020-03-01,42807
2020-03-02,42828
2020-03-03,41987
2020-03-04,42152
2020-03-05,42232
2020-03-06,42158
2020-03-07,42492
2020-03-08,42819
2020-03-09,44547
2020-03-10,46492
2020-03-11,48725
2020-03-12,50556
2020-03-13,51135
2020-03-14,51020
2020-03-15,51196
2020-03-16,53551
2020-03-17,54007
2020-03-18,54291
2020-03-19,52285
2020-03-20,53722
2020-03-21,52451
2020-03-22,52277
2020-03-23,51563
2020-03-24,50776
2020-03-25,49144
2020-03-26,48374
2020-03-27,46778
2020-03-28,44701
2020-03-29,43581
2020-03-30,43967
2020-03-31,44674
2020-04-01,45644
2020-04-02,47879
2020-04-03,49267
2020-04-04,49608
2020-04-05,51248
2020-04-06,51649
2020-04-07,51891
2020-04-08,51656
2020-04-09,53245
2020-04-10,52639
2020-04-11,51962
2020-04-12,51641
2020-04-13,51347
2020-04-14,51796
2020-04-15,52535
2020-04-16,54216
2020-04-17,54935
2020-04-18,53713
2020-04-19,52742
2020-04-20,52321
2020-04-21,52049
2020-04-22,52337
2020-04-23,54783
2020-04-24,53456
2020-04-25,53668
2020-04-26,54408
2020-04-27,52649
2020-04-28,51645
2020-04-29,51432
2020-04-30,52003
2020-05-01,51592
2020-05-02,51490
2020-05-03,52173
2020-05-04,52152
2020-05-05,52231
2020-05-06,51328
2020-05-07,52096
2020-05-08,52720
2020-05-09,53508
2020-05-10,52892
2020-05-11,51814
2020-05-12,52585
2020-05-13,52772
