date_obj,Amulet%20of%20glory price
2019-03-17,12322
2019-03-18,12331
2019-03-19,12538
2019-03-20,12514
2019-03-21,12622
2019-03-22,12601
2019-03-23,12700
2019-03-24,12778
2019-03-25,12869
2019-03-26,13049
2019-03-27,13065
2019-03-28,13080
2019-03-29,12829
2019-03-30,12318
2019-03-31,12270
2019-04-01,12271
2019-04-02,12399
2019-04-03,12402
2019-04-04,12547
2019-04-05,12410
2019-04-06,12270
2019-04-07,12252
2019-04-08,12217
2019-04-09,12135
2019-04-10,12081
2019-04-11,12103
2019-04-12,12156
2019-04-13,12350
2019-04-14,12340
2019-04-15,12428
2019-04-16,12730
2019-04-17,12613
2019-04-18,12591
2019-04-19,12492
2019-04-20,12490
2019-04-21,12441
2019-04-22,12370
2019-04-23,12363
2019-04-24,12462
2019-04-25,12537
2019-04-26,12507
2019-04-27,12367
2019-04-28,12187
2019-04-29,12270
2019-04-30,12272
2019-05-01,12265
2019-05-02,12258
2019-05-03,12317
2019-05-04,12407
2019-05-05,12332
2019-05-06,12343
2019-05-07,12324
2019-05-08,12263
2019-05-09,12216
2019-05-10,12131
2019-05-11,11950
2019-05-12,11801
2019-05-13,11939
2019-05-14,12050
2019-05-15,12081
2019-05-16,12193
2019-05-17,12208
2019-05-18,12139
2019-05-19,12083
2019-05-20,12057
2019-05-21,12121
2019-05-22,12226
2019-05-23,12359
2019-05-24,12305
2019-05-25,12253
2019-05-26,12189
2019-05-27,12194
2019-05-28,12229
2019-05-29,12284
2019-05-30,12319
2019-05-31,12254
2019-06-01,12182
2019-06-02,12192
2019-06-03,12185
2019-06-04,12273
2019-06-05,12236
2019-06-06,12196
2019-06-07,12154
2019-06-08,12072
2019-06-09,12168
2019-06-10,12429
2019-06-11,12382
2019-06-12,12191
2019-06-13,12117
2019-06-14,12131
2019-06-15,12141
2019-06-16,12111
2019-06-17,12163
2019-06-18,12256
2019-06-19,12261
2019-06-20,12288
2019-06-21,12267
2019-06-22,12254
2019-06-23,12336
2019-06-24,12389
2019-06-25,12422
2019-06-26,12300
2019-06-27,12274
2019-06-28,12353
2019-06-29,12370
2019-06-30,12334
2019-07-01,12339
2019-07-02,12292
2019-07-03,12290
2019-07-04,12296
2019-07-05,12332
2019-07-06,12339
2019-07-07,12310
2019-07-08,12312
2019-07-09,12284
2019-07-10,12277
2019-07-11,12276
2019-07-12,12269
2019-07-13,12259
2019-07-14,12164
2019-07-15,12109
2019-07-16,12142
2019-07-17,12193
2019-07-18,12159
2019-07-19,12152
2019-07-20,12228
2019-07-21,12290
2019-07-22,12343
2019-07-23,12520
2019-07-24,12495
2019-07-25,12572
2019-07-26,12730
2019-07-27,12473
2019-07-28,12229
2019-07-29,12300
2019-07-30,12320
2019-07-31,12373
2019-08-01,12327
2019-08-02,12325
2019-08-03,12311
2019-08-04,12281
2019-08-05,12292
2019-08-06,12288
2019-08-07,12262
2019-08-08,12215
2019-08-09,12218
2019-08-10,12179
2019-08-11,12118
2019-08-12,12064
2019-08-13,11814
2019-08-14,11806
2019-08-15,11711
2019-08-16,11421
2019-08-17,11439
2019-08-18,11315
2019-08-19,11309
2019-08-20,11325
2019-08-21,11370
2019-08-22,11388
2019-08-23,11432
2019-08-24,11376
2019-08-24,11376
2019-08-25,11376
2019-08-25,11376
2019-08-26,11452
2019-08-26,11452
2019-08-27,11429
2019-08-27,11429
2019-08-28,11396
2019-08-29,11509
2019-08-30,11670
2019-08-31,11640
2019-09-01,11725
2019-09-02,11714
2019-09-03,11727
2019-09-04,11793
2019-09-05,11779
2019-09-06,11763
2019-09-07,11728
2019-09-08,11764
2019-09-09,11873
2019-09-10,11873
2019-09-11,11881
2019-09-12,11948
2019-09-13,12163
2019-09-14,12360
2019-09-15,12217
2019-09-16,12265
2019-09-17,12672
2019-09-18,12741
2019-09-19,12737
2019-09-20,12481
2019-09-21,12491
2019-09-22,12783
2019-09-23,12918
2019-09-24,12814
2019-09-25,12841
2019-09-26,12829
2019-09-27,12674
2019-09-28,12583
2019-09-29,12271
2019-09-30,12114
2019-10-01,12108
2019-10-02,12131
2019-10-03,12142
2019-10-04,12115
2019-10-05,11900
2019-10-06,11807
2019-10-07,11917
2019-10-08,11949
2019-10-09,11982
2019-10-10,11926
2019-10-11,11789
2019-10-12,11747
2019-10-13,11668
2019-10-14,11882
2019-10-15,11955
2019-10-16,12139
2019-10-17,12219
2019-10-18,12316
2019-10-19,11822
2019-10-20,11846
2019-10-21,11987
2019-10-22,12107
2019-10-23,12194
2019-10-24,11880
2019-10-25,11957
2019-10-26,12004
2019-10-27,11892
2019-10-28,11972
2019-10-29,12018
2019-10-30,12043
2019-10-31,11996
2019-11-01,11994
2019-11-02,11693
2019-11-03,11626
2019-11-04,11598
2019-11-05,11635
2019-11-06,11633
2019-11-07,11511
2019-11-08,11515
2019-11-09,11514
2019-11-10,11634
2019-11-11,11706
2019-11-12,11776
2019-11-13,11932
2019-11-14,12040
2019-11-15,12032
2019-11-16,11829
2019-11-17,11834
2019-11-18,11985
2019-11-19,11887
2019-11-20,11871
2019-11-21,11875
2019-11-22,11924
2019-11-23,11851
2019-11-24,11743
2019-11-25,11793
2019-11-26,11952
2019-11-27,12119
2019-11-28,12206
2019-11-29,12150
2019-11-30,12060
2019-12-01,12122
2019-12-02,12129
2019-12-03,12093
2019-12-04,11992
2019-12-05,12123
2019-12-06,12122
2019-12-07,12117
2019-12-08,12171
2019-12-09,12228
2019-12-10,12132
2019-12-11,12129
2019-12-12,12146
2019-12-13,12183
2019-12-14,12196
2019-12-15,12172
2019-12-16,12105
2019-12-17,12037
2019-12-18,11980
2019-12-19,11816
2019-12-20,11668
2019-12-21,11314
2019-12-22,11543
2019-12-23,11492
2019-12-24,11508
2019-12-25,11638
2019-12-26,11703
2019-12-27,11998
2019-12-28,11973
2019-12-29,11958
2019-12-30,12072
2019-12-31,12151
2020-01-01,12159
2020-01-02,12086
2020-01-03,12091
2020-01-04,12048
2020-01-05,11966
2020-01-06,11956
2020-01-07,12024
2020-01-08,12117
2020-01-09,12162
2020-01-10,12106
2020-01-11,12028
2020-01-12,11961
2020-01-13,11965
2020-01-14,12115
2020-01-15,12183
2020-01-16,12171
2020-01-17,12085
2020-01-18,12029
2020-01-19,12043
2020-01-20,12082
2020-01-21,12095
2020-01-22,12193
2020-01-23,12238
2020-01-24,12213
2020-01-25,12205
2020-01-26,12174
2020-01-27,12200
2020-01-28,12263
2020-01-29,12155
2020-01-30,12043
2020-01-31,11958
2020-02-01,11921
2020-02-02,11923
2020-02-03,12037
2020-02-04,12053
2020-02-05,12032
2020-02-06,11944
2020-02-07,11950
2020-02-08,11780
2020-02-09,11704
2020-02-10,11794
2020-02-11,11929
2020-02-12,12021
2020-02-13,11934
2020-02-14,11809
2020-02-15,11781
2020-02-16,11834
2020-02-17,11761
2020-02-18,11661
2020-02-19,11671
2020-02-20,11782
2020-02-21,11814
2020-02-22,11833
2020-02-23,11747
2020-02-24,11701
2020-02-25,11710
2020-02-26,11701
2020-02-27,11754
2020-02-28,11768
2020-02-29,11784
2020-03-01,11823
2020-03-02,11815
2020-03-03,11845
2020-03-04,11924
2020-03-05,11976
2020-03-06,11832
2020-03-07,11786
2020-03-08,11768
2020-03-09,11746
2020-03-10,11800
2020-03-11,11753
2020-03-12,11670
2020-03-13,11719
2020-03-14,11762
2020-03-15,11726
2020-03-16,11693
2020-03-17,11735
2020-03-18,11786
2020-03-19,11849
2020-03-20,11978
2020-03-21,11918
2020-03-22,12012
2020-03-23,12026
2020-03-24,12032
2020-03-25,11971
2020-03-26,11976
2020-03-27,12039
2020-03-28,12087
2020-03-29,12130
2020-03-30,12137
2020-03-31,12184
2020-04-01,12235
2020-04-02,12306
2020-04-03,12275
2020-04-04,12210
2020-04-05,12185
2020-04-06,12225
2020-04-07,12159
2020-04-08,12114
2020-04-09,12000
2020-04-10,12015
2020-04-11,12065
2020-04-12,12084
2020-04-13,11990
2020-04-14,12096
2020-04-15,12083
2020-04-16,12067
2020-04-17,12107
2020-04-18,12094
2020-04-19,12155
2020-04-20,12126
2020-04-21,12081
2020-04-22,12043
2020-04-23,12050
2020-04-24,12010
2020-04-25,11963
2020-04-26,12111
2020-04-27,12111
2020-04-28,12149
2020-04-29,12092
2020-04-30,12129
2020-05-01,12107
2020-05-02,12068
2020-05-03,12121
2020-05-04,12108
2020-05-05,12098
2020-05-06,12072
2020-05-07,12074
2020-05-08,11984
2020-05-09,12000
2020-05-10,12145
2020-05-11,12262
2020-05-12,12325
2020-05-13,12453
