date_obj,Black%20spiky%20vambraces price
2017-10-29,3414
2017-10-30,3437
2017-10-31,3436
2017-11-01,3436
2017-11-02,3486
2017-11-03,3486
2017-11-04,3510
2017-11-05,3510
2017-11-06,3604
2017-11-07,3604
2017-11-08,3593
2017-11-09,3516
2017-11-10,3516
2017-11-11,3391
2017-11-12,3281
2017-11-13,3223
2017-11-14,3223
2017-11-15,3258
2017-11-16,3372
2017-11-17,3384
2017-11-18,3384
2017-11-19,3417
2017-11-20,3430
2017-11-21,3473
2017-11-22,3473
2017-11-23,3536
2017-11-24,3655
2017-11-25,3828
2017-11-26,4020
2017-11-27,4020
2017-11-28,4168
2017-11-29,4349
2017-11-30,4349
2017-12-01,4360
2017-12-02,4360
2017-12-03,4142
2017-12-04,4142
2017-12-05,3957
2017-12-06,3885
2017-12-07,3904
2017-12-08,3904
2017-12-09,3829
2017-12-10,3765
2017-12-11,3744
2017-12-12,3744
2017-12-13,3718
2017-12-14,3718
2017-12-15,3621
2017-12-16,3621
2017-12-17,3551
2017-12-18,3516
2017-12-19,3516
2017-12-20,3514
2017-12-21,3478
2017-12-22,3478
2017-12-23,3543
2017-12-24,3543
2017-12-25,3589
2017-12-26,3621
2017-12-27,3612
2017-12-28,3612
2017-12-29,3631
2017-12-30,3641
2017-12-31,3641
2018-01-01,3715
2018-01-02,3715
2018-01-03,3715
2018-01-04,3715
2018-01-05,3839
2018-01-06,3858
2018-01-07,3858
2018-01-08,3939
2018-01-09,3867
2018-01-10,3867
2018-01-11,3830
2018-01-12,3745
2018-01-13,3722
2018-01-14,3688
2018-01-15,3753
2018-01-16,3774
2018-01-17,3754
2018-01-18,3626
2018-01-19,3626
2018-01-20,3471
2018-01-21,3471
2018-01-22,3353
2018-01-23,3258
2018-01-24,3374
2018-01-25,3378
2018-01-26,3486
2018-01-27,3483
2018-01-28,3532
2018-01-29,3570
2018-01-30,3604
2018-01-31,3645
2018-02-01,3722
2018-02-02,3871
2018-02-03,3781
2018-02-04,3825
2018-02-05,3810
2018-02-06,3835
2018-02-07,3812
2018-02-08,3788
2018-02-09,3825
2018-02-10,3909
2018-02-11,4052
2018-02-12,3991
2018-02-13,3810
2018-02-14,3642
2018-02-15,3587
2018-02-16,3525
2018-02-17,3595
2018-02-18,3478
2018-02-19,3537
2018-02-20,3487
2018-02-21,3496
2018-02-22,3510
2018-02-23,3600
2018-02-24,3600
2018-02-25,3552
2018-02-26,3557
2018-02-27,3583
2018-02-28,3610
2018-03-01,3561
2018-03-02,3554
2018-03-03,3629
2018-03-04,3629
2018-03-05,3527
2018-03-06,3513
2018-03-07,3506
2018-03-08,3511
2018-03-09,3591
2018-03-10,3630
2018-03-11,3679
2018-03-12,3612
2018-03-13,3586
2018-03-14,3688
2018-03-15,3765
2018-03-16,3738
2018-03-17,3753
2018-03-18,3824
2018-03-20,3827
2018-03-21,3822
2018-03-22,3732
2018-03-23,3780
2018-03-24,3770
2018-03-25,3701
2018-03-26,3580
2018-03-27,3496
2018-03-28,3377
2018-03-29,3287
2018-03-30,3308
2018-03-31,3232
2018-04-01,3208
2018-04-02,3133
2018-04-03,3048
2018-04-04,3181
2018-04-05,3181
2018-04-06,3172
2018-04-07,3172
2018-04-08,3254
2018-04-09,3308
2018-04-10,3398
2018-04-11,3450
2018-04-12,3372
2018-04-13,3244
2018-04-14,3207
2018-04-15,3273
2018-04-16,3273
2018-04-17,3360
2018-04-18,3370
2018-04-19,3395
2018-04-20,3416
2018-04-21,3413
2018-04-22,3380
2018-04-23,3397
2018-04-24,3456
2018-04-25,3442
2018-04-26,3442
2018-04-27,3389
2018-04-28,3415
2018-04-29,3404
2018-04-30,3406
2018-05-01,3429
2018-05-02,3388
2018-05-03,3430
2018-05-04,3404
2018-05-05,3451
2018-05-06,3451
2018-05-07,3483
2018-05-08,3573
2018-05-09,3442
