date_obj,Amethyst%20broad%20bolts price
2019-08-26,276
2019-08-27,275
2019-08-27,275
2019-08-28,274
2019-08-29,274
2019-08-30,274
2019-08-31,274
2019-09-01,278
2019-09-02,278
2019-09-03,278
2019-09-04,277
2019-09-05,277
2019-09-06,283
2019-09-07,284
2019-09-08,280
2019-09-09,280
2019-09-10,278
2019-09-11,273
2019-09-12,273
2019-09-13,274
2019-09-14,273
2019-09-15,273
2019-09-16,274
2019-09-17,276
2019-09-18,278
2019-09-19,278
2019-09-20,275
2019-09-21,277
2019-09-22,279
2019-09-23,277
2019-09-24,277
2019-09-25,273
2019-09-26,281
2019-09-27,293
2019-09-28,305
2019-09-29,305
2019-09-30,311
2019-10-01,318
2019-10-02,318
2019-10-03,309
2019-10-04,298
2019-10-05,287
2019-10-06,282
2019-10-07,286
2019-10-08,292
2019-10-09,292
2019-10-10,289
2019-10-11,289
2019-10-12,282
2019-10-13,277
2019-10-14,271
2019-10-15,271
2019-10-16,274
2019-10-17,274
2019-10-18,272
2019-10-19,270
2019-10-20,278
2019-10-21,288
2019-10-22,296
2019-10-23,298
2019-10-24,298
2019-10-25,289
2019-10-26,275
2019-10-27,264
2019-10-28,257
2019-10-29,257
2019-10-30,255
2019-10-31,260
2019-11-01,264
2019-11-02,261
2019-11-03,265
2019-11-04,264
2019-11-05,264
2019-11-06,265
2019-11-07,270
2019-11-08,278
2019-11-09,286
2019-11-10,287
2019-11-11,282
2019-11-12,282
2019-11-13,290
2019-11-14,300
2019-11-15,300
2019-11-16,300
2019-11-17,300
2019-11-18,296
2019-11-19,296
2019-11-20,293
2019-11-21,293
2019-11-22,285
2019-11-23,283
2019-11-24,279
2019-11-25,279
2019-11-26,277
2019-11-27,277
2019-11-28,278
2019-11-29,278
2019-11-30,281
2019-12-01,290
2019-12-02,286
2019-12-03,281
2019-12-04,276
2019-12-05,276
2019-12-06,274
2019-12-07,273
2019-12-08,273
2019-12-09,272
2019-12-10,273
2019-12-11,275
2019-12-12,275
2019-12-13,277
2019-12-14,278
2019-12-15,280
2019-12-16,280
2019-12-17,282
2019-12-18,282
2019-12-19,284
2019-12-20,286
2019-12-21,281
2019-12-22,281
2019-12-23,281
2019-12-24,291
2019-12-25,298
2019-12-26,298
2019-12-27,305
2019-12-28,294
2019-12-29,294
2019-12-30,287
2019-12-31,282
2020-01-01,278
2020-01-02,275
2020-01-03,277
2020-01-04,281
2020-01-05,281
2020-01-06,283
2020-01-07,292
2020-01-08,292
2020-01-09,300
2020-01-10,303
2020-01-11,307
2020-01-12,302
2020-01-13,302
2020-01-14,292
2020-01-15,294
2020-01-16,292
2020-01-17,297
2020-01-18,297
2020-01-19,310
2020-01-20,301
2020-01-21,301
2020-01-22,296
2020-01-23,289
2020-01-24,282
2020-01-25,280
2020-01-26,279
2020-01-27,279
2020-01-28,279
2020-01-29,282
2020-01-30,286
2020-01-31,288
2020-02-01,294
2020-02-02,307
2020-02-03,314
2020-02-04,311
2020-02-05,310
2020-02-06,304
2020-02-07,297
2020-02-08,297
2020-02-09,295
2020-02-10,298
2020-02-11,306
2020-02-12,313
2020-02-13,313
2020-02-14,305
2020-02-15,296
2020-02-16,293
2020-02-17,291
2020-02-18,290
2020-02-19,292
2020-02-20,298
2020-02-21,298
2020-02-22,298
2020-02-23,299
2020-02-24,307
2020-02-25,307
2020-02-26,297
2020-02-27,291
2020-02-28,286
2020-02-29,286
2020-03-01,289
2020-03-02,298
2020-03-03,296
2020-03-04,288
2020-03-05,291
2020-03-06,294
2020-03-07,293
2020-03-08,294
2020-03-09,292
2020-03-10,292
2020-03-11,291
2020-03-12,290
2020-03-13,291
2020-03-14,294
2020-03-15,297
2020-03-16,301
2020-03-17,301
2020-03-18,300
2020-03-19,294
2020-03-20,294
2020-03-21,294
2020-03-22,297
2020-03-23,309
2020-03-24,311
2020-03-25,305
2020-03-26,299
2020-03-27,291
2020-03-28,284
2020-03-29,287
2020-03-30,293
2020-03-31,296
2020-04-01,298
2020-04-02,295
2020-04-03,295
2020-04-04,286
2020-04-05,278
2020-04-06,276
2020-04-07,276
2020-04-08,280
2020-04-09,280
2020-04-10,280
2020-04-11,281
2020-04-12,276
2020-04-13,276
2020-04-14,279
2020-04-15,287
2020-04-16,289
2020-04-17,287
2020-04-18,286
2020-04-19,290
2020-04-20,291
2020-04-21,288
2020-04-22,287
2020-04-23,286
2020-04-24,282
2020-04-25,281
2020-04-26,284
2020-04-27,287
2020-04-28,290
2020-04-29,291
2020-04-30,291
2020-05-01,288
2020-05-02,288
2020-05-03,289
2020-05-04,292
2020-05-05,295
2020-05-06,294
2020-05-07,292
2020-05-08,290
2020-05-09,286
2020-05-10,284
2020-05-11,283
2020-05-12,283
2020-05-13,281
