date_obj,Cooked%20slimy%20eel price
2019-01-10,183
2019-01-11,183
2019-01-12,183
2019-01-13,183
2019-01-14,173
2019-01-15,173
2019-01-16,173
2019-01-17,173
2019-01-18,173
2019-01-19,164
2019-01-20,164
2019-01-21,164
2019-01-22,164
2019-01-23,161
2019-01-24,161
2019-01-25,161
2019-01-26,161
2019-01-27,161
2019-01-28,161
2019-01-29,156
2019-01-30,156
2019-01-31,156
2019-02-01,156
2019-02-02,156
2019-02-03,152
2019-02-04,152
2019-02-05,152
2019-02-06,152
2019-02-07,152
2019-02-08,156
2019-02-09,156
2019-02-10,156
2019-02-11,156
2019-02-12,156
2019-02-13,153
2019-02-14,153
2019-02-15,153
2019-02-16,153
2019-02-17,153
2019-02-18,153
2019-02-19,151
2019-02-20,151
2019-02-21,151
2019-02-22,151
2019-02-23,151
2019-02-24,156
2019-02-25,156
2019-02-26,156
2019-02-27,156
2019-02-28,156
2019-03-01,156
2019-03-02,156
2019-03-03,156
2019-03-04,156
2019-03-05,151
2019-03-06,151
2019-03-07,151
2019-03-08,151
2019-03-09,151
2019-03-10,151
2019-03-11,151
2019-03-12,150
2019-03-13,150
2019-03-14,150
2019-03-15,150
2019-03-16,150
2019-03-17,150
2019-03-18,150
2019-03-19,145
2019-03-20,145
2019-03-21,145
2019-03-22,145
2019-03-23,145
2019-03-24,145
2019-03-25,145
2019-03-26,138
2019-03-27,138
2019-03-28,138
2019-03-29,138
2019-03-30,138
2019-03-31,138
2019-04-01,138
2019-04-02,131
2019-04-03,131
2019-04-04,131
2019-04-05,131
2019-04-06,131
2019-04-07,131
2019-04-08,131
2019-04-09,125
2019-04-10,125
2019-04-11,125
2019-04-12,125
2019-04-13,125
2019-04-14,125
2019-04-15,125
2019-04-16,130
2019-04-17,130
2019-04-18,130
2019-04-19,130
2019-04-20,130
2019-04-21,130
2019-04-22,130
2019-04-23,133
2019-04-24,133
2019-04-25,133
2019-04-26,133
2019-04-27,133
2019-04-28,133
2019-04-29,133
2019-04-30,132
2019-05-01,132
2019-05-02,132
2019-05-03,132
2019-05-04,132
2019-05-05,132
2019-05-06,132
2019-05-07,132
2019-05-08,138
2019-05-09,138
2019-05-10,138
2019-05-11,138
2019-05-12,138
2019-05-13,138
2019-05-14,138
2019-05-15,134
2019-05-16,134
2019-05-17,134
2019-05-18,134
2019-05-19,134
2019-05-20,134
2019-05-21,134
2019-05-22,133
2019-05-23,133
2019-05-24,133
2019-05-25,133
2019-05-26,133
2019-05-27,133
2019-05-28,133
2019-05-29,128
2019-05-30,128
2019-05-31,128
2019-06-01,128
2019-06-02,128
2019-06-03,128
2019-06-04,128
2019-06-05,128
2019-06-06,125
2019-06-07,125
2019-06-08,125
2019-06-09,125
2019-06-10,125
2019-06-11,125
2019-06-12,125
2019-06-13,125
2019-06-14,125
2019-06-15,125
2019-06-16,125
2019-06-17,125
2019-06-18,125
2019-06-19,125
2019-06-20,125
2019-06-21,122
2019-06-22,122
2019-06-23,122
2019-06-24,122
2019-06-25,122
2019-06-26,122
2019-06-27,122
2019-06-28,122
2019-06-29,122
2019-06-30,126
2019-07-01,126
2019-07-02,126
2019-07-03,126
2019-07-04,126
2019-07-05,126
2019-07-06,126
2019-07-07,126
2019-07-08,125
2019-07-09,125
2019-07-10,125
2019-07-11,125
2019-07-12,125
2019-07-13,125
2019-07-14,125
2019-07-15,125
2019-07-16,129
2019-07-17,129
2019-07-18,129
2019-07-19,129
2019-07-20,129
2019-07-21,129
2019-07-22,129
2019-07-23,129
2019-07-24,129
2019-07-25,129
2019-07-26,131
2019-07-27,131
2019-07-28,131
2019-07-29,131
2019-07-30,131
2019-07-31,131
2019-08-01,131
2019-08-02,131
2019-08-03,127
2019-08-04,127
2019-08-05,127
2019-08-06,127
2019-08-07,127
2019-08-08,127
2019-08-09,127
2019-08-10,127
2019-08-11,127
2019-08-12,127
2019-08-13,127
2019-08-14,127
2019-08-15,127
2019-08-16,127
2019-08-17,127
2019-08-18,127
2019-08-19,127
