date_obj,Diamond%20amulet%20(u) price
2017-10-03,2264
2017-10-04,2264
2017-10-05,2264
2017-10-06,2264
2017-10-07,2264
2017-10-08,2264
2017-10-09,2264
2017-10-10,2264
2017-10-11,2264
2017-10-12,2264
2017-10-13,2264
2017-10-14,2264
2017-10-15,2264
2017-10-16,2264
2017-10-17,2264
2017-10-18,2264
2017-10-19,2294
2017-10-20,2294
2017-10-21,2294
2017-10-22,2294
2017-10-23,2294
2017-10-24,2294
2017-10-25,2294
2017-10-26,2294
2017-10-27,2294
2017-10-28,2294
2017-10-29,2294
2017-10-30,2294
2017-10-31,2294
2017-11-01,2294
2017-11-02,2294
2017-11-03,2294
2017-11-04,2294
2017-11-05,2294
2017-11-06,2294
2017-11-07,2294
2017-11-08,2294
2017-11-09,2294
2017-11-10,2294
2017-11-11,2294
2017-11-12,2294
2017-11-13,2294
2017-11-14,2294
2017-11-15,2294
2017-11-16,2294
2017-11-17,2294
2017-11-18,2294
2017-11-19,2294
2017-11-20,2294
2017-11-21,2294
2017-11-22,2294
2017-11-23,2294
2017-11-24,2294
2017-11-25,2294
2017-11-26,2294
2017-11-27,2294
2017-11-28,2294
2017-11-29,2204
2017-11-30,2204
2017-12-01,2204
2017-12-02,2204
2017-12-03,2204
2017-12-04,2204
2017-12-05,2204
2017-12-06,2204
2017-12-07,2204
2017-12-08,2204
2017-12-09,2204
2017-12-10,2204
2017-12-11,2204
2017-12-12,2204
2017-12-13,2204
2017-12-14,2204
2017-12-15,2204
2017-12-16,2204
2017-12-17,2204
2017-12-18,2204
2017-12-19,2204
2017-12-20,2204
2017-12-21,2204
2017-12-22,2204
2017-12-23,2204
2017-12-24,2204
2017-12-25,2204
2017-12-26,2204
2017-12-27,2204
2017-12-28,2204
2017-12-29,2204
2017-12-30,2204
2017-12-31,2204
2018-01-01,2204
2018-01-02,2204
2018-01-03,2204
2018-01-04,2204
2018-01-05,2204
2018-01-06,2204
2018-01-07,2204
2018-01-08,2124
2018-01-09,2124
2018-01-10,2124
2018-01-11,2124
2018-01-12,2124
2018-01-13,2124
2018-01-14,2124
2018-01-15,2124
2018-01-16,2124
2018-01-17,2124
2018-01-18,2124
2018-01-19,2124
2018-01-20,2124
2018-01-21,2124
2018-01-22,2124
2018-01-23,2124
2018-01-25,2124
2018-01-26,2124
2018-01-27,2124
2018-01-28,2124
2018-01-29,2124
2018-01-30,2124
2018-01-31,2124
2018-02-01,2124
2018-02-02,2124
2018-02-03,2124
2018-02-04,2091
2018-02-05,2091
2018-02-06,2091
2018-02-07,2091
2018-02-08,2091
2018-02-09,2091
2018-02-10,2091
2018-02-11,2091
2018-02-12,2091
2018-02-13,2091
2018-02-14,2091
2018-02-15,2091
2018-02-16,2091
2018-02-17,2091
2018-02-18,2091
2018-02-19,2091
2018-02-20,2091
2018-02-21,2091
2018-02-22,2091
2018-02-23,2091
2018-02-24,2091
2018-02-25,2091
2018-02-26,2091
2018-02-27,2091
2018-02-28,2091
2018-03-01,2091
2018-03-02,2146
2018-03-03,2146
2018-03-04,2146
2018-03-05,2146
2018-03-06,2146
2018-03-07,2146
2018-03-08,2146
2018-03-09,2146
2018-03-10,2146
2018-03-11,2146
2018-03-12,2146
2018-03-13,2146
2018-03-14,2146
2018-03-15,2146
2018-03-16,2146
2018-03-17,2146
2018-03-18,2146
2018-03-19,2146
2018-03-20,2146
2018-03-21,2146
2018-03-23,2146
2018-03-24,2146
