date_obj,Mystic%20robe%20top%20(light) price
2017-07-17,71485
2017-07-18,71485
2017-07-19,71590
2017-07-20,71528
2017-07-21,71564
2017-07-22,71706
2017-07-23,71478
2017-07-24,71478
2017-07-25,71728
2017-07-26,71577
2017-07-27,71150
2017-07-28,71556
2017-07-29,71556
2017-07-30,71512
2017-07-31,71512
2017-08-01,71541
2017-08-02,71576
2017-08-03,71576
2017-08-04,71659
2017-08-05,71565
2017-08-06,71565
2017-08-09,71427
2017-08-10,71485
2017-08-11,71485
2017-08-12,71537
2017-08-13,71537
2017-08-14,71602
2017-08-15,71557
2017-08-16,71512
2017-08-17,71442
2017-08-18,71442
2017-08-19,71603
2017-08-20,72398
2017-08-22,72164
2017-08-23,72164
2017-08-24,71545
2017-08-25,71545
2017-08-26,71486
2017-08-27,71520
2017-08-28,71520
2017-08-29,71480
2017-08-30,71578
2017-08-31,71578
2017-09-01,71636
2017-09-02,71584
2017-09-03,71584
2017-09-04,71497
2017-09-05,71544
2017-09-06,71293
2017-09-07,71510
2017-09-08,71510
2017-09-09,71467
2017-09-10,71405
2017-09-11,71405
2017-09-12,71246
2017-09-13,72353
2017-09-14,73034
2017-09-15,73034
2017-09-16,72818
2017-09-17,71629
2017-09-19,71804
2017-09-20,72058
2017-09-21,72058
2017-09-22,71837
2017-09-23,71837
2017-09-24,72329
2017-09-25,71542
2017-09-26,70929
2017-09-27,70929
2017-09-28,71619
2017-09-29,72075
2017-09-30,72075
2017-10-01,72019
2017-10-02,71730
2017-10-03,71730
2017-10-04,71591
2017-10-05,71376
2017-10-06,71569
2017-10-07,71327
2017-10-08,71491
2017-10-09,71588
2017-10-10,71550
2017-10-11,71550
2017-10-12,71486
2017-10-13,71530
2017-10-14,71455
2017-10-15,71455
2017-10-16,71551
2017-10-17,71551
2017-10-18,71405
2017-10-19,71405
2017-10-20,71504
2017-10-21,72426
2017-10-22,72397
2017-10-23,72397
2017-10-24,71669
2017-10-25,71329
2017-10-26,71712
2017-10-27,71525
2017-10-28,71525
2017-10-29,71656
2017-10-30,71481
2017-10-31,71644
2017-11-01,71644
2017-11-02,71656
2017-11-03,71656
2017-11-04,71979
2017-11-05,71979
2017-11-06,72460
2017-11-07,72460
2017-11-08,71460
2017-11-09,71552
2017-11-10,71552
2017-11-11,71400
2017-11-12,71142
2017-11-13,71446
2017-11-14,71446
2017-11-15,71455
2017-11-16,72334
2017-11-17,72334
2017-11-18,72298
2017-11-19,71787
2017-11-20,72315
2017-11-21,72256
2017-11-22,72256
2017-11-23,72031
2017-11-24,72673
2017-11-25,72401
2017-11-26,71637
2017-11-27,71637
2017-11-28,71563
2017-11-29,71613
2017-11-30,71613
2017-12-01,71379
2017-12-02,71379
2017-12-03,71322
2017-12-04,71322
2017-12-05,71542
2017-12-06,71690
2017-12-07,71918
2017-12-08,71918
2017-12-09,72329
2017-12-10,71646
2017-12-11,71650
2017-12-12,71599
2017-12-14,71535
2017-12-15,71554
2017-12-17,71567
2017-12-18,71553
2017-12-19,71553
2017-12-20,71522
2017-12-21,71853
2017-12-22,71783
2017-12-23,72090
2017-12-24,72606
2017-12-25,72606
2017-12-26,72601
2017-12-27,73222
2017-12-28,73077
2017-12-29,72600
2017-12-30,72024
2017-12-31,72024
2018-01-01,72309
2018-01-02,71663
2018-01-03,72536
2018-01-04,71684
2018-01-05,71530
2018-01-06,71223
2018-01-07,71253
2018-01-08,71266
2018-01-09,71492
2018-01-10,71492
2018-01-11,71427
2018-01-12,71680
2018-01-13,71750
2018-01-14,72504
2018-01-15,72567
2018-01-16,72491
2018-01-17,73148
2018-01-18,73011
2018-01-19,73011
2018-01-20,71996
2018-01-21,71560
2018-01-22,71884
2018-01-23,71959
2018-01-25,71473
2018-01-26,71496
2018-01-27,71462
2018-01-28,71824
2018-01-29,71964
2018-01-31,71224
2018-02-01,71221
2018-02-02,71553
2018-02-03,72450
