date_obj,Bob's%20black%20shirt price
2017-06-19,31865
2017-06-20,32567
2017-06-21,32567
2017-06-22,32567
2017-06-23,32803
2017-06-24,32803
2017-06-25,33348
2017-06-26,33348
2017-06-27,33772
2017-06-28,33772
2017-06-29,34143
2017-06-30,34143
2017-07-01,34143
2017-07-02,34395
2017-07-03,34395
2017-07-04,34962
2017-07-05,34962
2017-07-06,34962
2017-07-07,34968
2017-07-08,34968
2017-07-13,35102
2017-07-14,34738
2017-07-15,34738
2017-07-16,34738
2017-07-17,34591
2017-07-18,34591
2017-07-19,34865
2017-07-20,34865
2017-07-21,34865
2017-07-22,34628
2017-07-23,34628
2017-07-24,34628
2017-07-25,34147
2017-07-26,34147
2017-07-27,34128
2017-07-28,34128
2017-07-29,34128
2017-07-30,33616
2017-07-31,33616
2017-08-01,33616
2017-08-02,33746
2017-08-03,33746
2017-08-04,33746
2017-08-05,33417
2017-08-06,33417
2017-08-09,33496
2017-08-10,32824
2017-08-11,32824
2017-08-12,32824
2017-08-13,32254
2017-08-14,32254
2017-08-15,31542
2017-08-16,31542
2017-08-17,30866
2017-08-18,30866
2017-08-19,30866
2017-08-20,30584
2017-08-21,30584
2017-08-22,30470
2017-08-23,30470
2017-08-24,30512
2017-08-25,30512
2017-08-26,30595
2017-08-27,30595
2017-08-28,30595
2017-08-29,30188
2017-08-30,30188
2017-08-31,30269
2017-09-01,30269
2017-09-02,30769
2017-09-03,30769
2017-09-04,31279
2017-09-05,31279
2017-09-06,30891
2017-09-07,30891
2017-09-08,30714
2017-09-09,30714
2017-09-10,30107
2017-09-11,30107
2017-09-12,30304
2017-09-13,30304
2017-09-14,29901
2017-09-15,29901
2017-09-16,29901
2017-09-17,29603
2017-09-18,29603
2017-09-19,29603
2017-09-20,29526
2017-09-22,29735
2017-09-23,29735
2017-09-24,29735
2017-09-25,29869
2017-09-26,29869
2017-09-27,29869
2017-09-28,30042
2017-09-29,30042
2017-09-30,30699
2017-10-01,30699
2017-10-02,30994
2017-10-03,30994
2017-10-04,30994
2017-10-05,31304
2017-10-06,31304
2017-10-07,31895
2017-10-08,31895
2017-10-09,31895
2017-10-10,31743
2017-10-11,31743
2017-10-12,31743
2017-10-13,32211
2017-10-14,32211
2017-10-15,32405
2017-10-16,32405
2017-10-17,32556
2017-10-18,32556
2017-10-19,32416
2017-10-20,32416
2017-10-21,32081
2017-10-22,32081
2017-10-23,32910
2017-10-24,32910
2017-10-25,33767
2017-10-26,33767
2017-10-27,33767
2017-10-28,34219
2017-10-29,34219
2017-10-30,34753
2017-10-31,34753
2017-11-01,34753
2017-11-02,35180
2017-11-03,35180
2017-11-04,35299
2017-11-05,35299
2017-11-06,35217
2017-11-07,35217
2017-11-08,35217
2017-11-09,34535
2017-11-10,34535
2017-11-11,34535
2017-11-12,32943
2017-11-13,32943
2017-11-14,32943
2017-11-15,32753
2017-11-16,32753
2017-11-17,32186
2017-11-18,32186
2017-11-19,32186
2017-11-20,31915
2017-11-21,31915
2017-11-22,32026
2017-11-23,32026
2017-11-24,32198
2017-11-25,32198
2017-11-26,31810
2017-11-27,31810
2017-11-28,31810
2017-11-29,31841
2017-11-30,31841
2017-12-01,30892
2017-12-02,30892
2017-12-03,30892
2017-12-04,30980
2017-12-05,30980
2017-12-06,30478
2017-12-07,30478
2017-12-08,30478
2017-12-09,29275
2017-12-10,29275
2017-12-11,28016
2017-12-12,28016
2017-12-13,28016
2017-12-14,27827
2017-12-15,27827
2017-12-16,27575
2017-12-17,27575
2017-12-18,27328
2017-12-19,27328
2017-12-20,27328
2017-12-21,27437
2017-12-22,27437
2017-12-23,27450
2017-12-24,27450
2017-12-25,27968
2017-12-26,27968
2017-12-27,28409
2017-12-28,28409
2017-12-29,28409
2017-12-30,28946
2017-12-31,28946
2018-01-01,28957
2018-01-02,28957
2018-01-03,29595
2018-01-04,29595
2018-01-05,29595
2018-01-06,29631
2018-01-07,29631
2018-01-08,29175
2018-01-09,29574
2018-01-10,29574
2018-01-11,29789
2018-01-12,29789
2018-01-13,28940
2018-01-14,28940
2018-01-15,28864
2018-01-16,29318
2018-01-17,29318
2018-01-18,28630
2018-01-19,28630
2018-01-20,28800
2018-01-21,28800
2018-01-22,29178
2018-01-23,29178
2018-01-24,29838
2018-01-25,29838
2018-01-26,30627
2018-01-27,30627
2018-01-28,30893
2018-01-29,30893
2018-01-30,31104
2018-01-31,31104
2018-02-01,31104
2018-02-02,30938
2018-02-03,30938
2018-02-04,30994
2018-02-05,30994
2018-02-06,31249
2018-02-07,31249
2018-02-08,31249
2018-02-09,31688
2018-02-10,31688
2018-02-11,31459
2018-02-12,31459
2018-02-13,31556
2018-02-14,31556
2018-02-15,31911
2018-02-16,31911
2018-02-17,32227
2018-02-18,32227
2018-02-19,32481
2018-02-20,32481
2018-02-21,32495
2018-02-22,32495
2018-02-23,32525
2018-02-24,32525
2018-02-25,32751
2018-02-26,32751
2018-02-27,32850
2018-02-28,32850
2018-03-01,33415
2018-03-02,33646
2018-03-03,33646
2018-03-04,34157
2018-03-05,34157
2018-03-06,34297
2018-03-07,34297
2018-03-08,34159
2018-03-09,34159
2018-03-10,34146
2018-03-11,34146
2018-03-12,34035
2018-03-13,34035
2018-03-14,33811
2018-03-15,33811
2018-03-16,33811
2018-03-17,33900
2018-03-18,33900
2018-03-20,34066
2018-03-21,33992
2018-03-23,33992
2018-03-24,34224
2018-03-25,34224
2018-03-26,34269
