date_obj,Pottery%20scarab price
2017-07-20,73
2017-07-21,73
2017-07-22,73
2017-07-23,73
2017-07-24,73
2017-07-25,72
2017-07-26,72
2017-07-27,72
2017-07-28,72
2017-07-29,72
2017-07-30,72
2017-07-31,72
2017-08-01,72
2017-08-02,72
2017-08-03,72
2017-08-04,72
2017-08-05,72
2017-08-06,72
2017-08-09,72
2017-08-10,72
2017-08-11,72
2017-08-12,73
2017-08-13,73
2017-08-14,73
2017-08-15,73
2017-08-17,73
2017-08-18,70
2017-08-19,70
2017-08-20,70
2017-08-22,70
2017-08-23,70
2017-08-24,69
2017-08-25,69
2017-08-26,69
2017-08-27,69
2017-08-28,69
2017-08-29,69
2017-08-30,65
2017-08-31,65
2017-09-01,65
2017-09-02,65
2017-09-03,65
2017-09-04,65
2017-09-05,68
2017-09-06,68
2017-09-07,68
2017-09-08,68
2017-09-09,68
2017-09-10,68
2017-09-11,69
2017-09-12,69
2017-09-13,69
2017-09-14,69
2017-09-15,69
2017-09-16,69
2017-09-17,69
2017-09-19,66
2017-09-20,66
2017-09-21,66
2017-09-22,66
2017-09-23,66
2017-09-24,66
2017-09-25,69
2017-09-26,69
2017-09-27,69
2017-09-28,69
2017-09-29,69
2017-09-30,69
2017-10-01,69
2017-10-02,69
2017-10-03,69
2017-10-04,69
2017-10-05,69
2017-10-06,69
2017-10-07,69
2017-10-08,69
2017-10-09,70
2017-10-10,70
2017-10-11,70
2017-10-12,70
2017-10-13,70
2017-10-14,70
2017-10-15,71
2017-10-16,71
2017-10-17,71
2017-10-18,71
2017-10-19,71
2017-10-20,71
2017-10-21,71
2017-10-22,70
2017-10-23,70
2017-10-24,70
2017-10-25,70
2017-10-26,70
2017-10-27,70
2017-10-28,70
2017-10-29,70
2017-10-30,70
2017-10-31,70
2017-11-01,70
2017-11-02,70
2017-11-03,70
2017-11-04,70
2017-11-05,70
2017-11-06,70
2017-11-07,70
2017-11-08,70
2017-11-09,70
2017-11-10,70
2017-11-11,70
2017-11-12,70
2017-11-13,70
2017-11-14,70
2017-11-15,70
2017-11-16,70
2017-11-17,70
2017-11-18,70
2017-11-19,70
2017-11-20,70
2017-11-21,70
2017-11-22,70
2017-11-23,70
2017-11-24,70
2017-11-25,72
2017-11-26,72
2017-11-27,72
2017-11-28,72
2017-11-29,72
2017-11-30,72
2017-12-01,72
2017-12-02,70
2017-12-03,70
2017-12-04,70
2017-12-05,70
2017-12-06,70
2017-12-07,70
2017-12-08,67
2017-12-09,67
2017-12-10,67
2017-12-11,67
2017-12-12,67
2017-12-14,67
2017-12-15,67
2017-12-16,67
2017-12-17,67
2017-12-18,67
2017-12-19,67
2017-12-20,64
2017-12-21,64
2017-12-22,64
2017-12-23,64
2017-12-24,64
2017-12-25,64
2017-12-26,64
2017-12-27,64
2017-12-28,64
2017-12-29,64
2017-12-30,64
2017-12-31,64
2018-01-01,67
2018-01-02,67
2018-01-03,67
2018-01-04,67
2018-01-05,67
2018-01-06,70
2018-01-07,70
2018-01-08,70
2018-01-09,70
2018-01-10,70
2018-01-11,70
2018-01-12,70
2018-01-13,70
2018-01-14,70
2018-01-15,70
2018-01-16,70
2018-01-17,68
2018-01-18,68
2018-01-19,68
2018-01-20,68
2018-01-21,68
2018-01-22,68
2018-01-23,68
2018-01-24,68
2018-01-25,70
2018-01-26,70
2018-01-27,70
2018-01-28,67
2018-01-29,67
2018-01-31,66
2018-02-01,66
2018-02-02,66
2018-02-03,68
2018-02-04,68
2018-02-05,68
2018-02-06,68
2018-02-07,70
2018-02-08,70
2018-02-09,70
2018-02-10,70
2018-02-11,72
2018-02-12,72
2018-02-13,72
2018-02-14,73
2018-02-15,73
2018-02-16,73
2018-02-17,75
2018-02-18,75
2018-02-19,75
2018-02-20,75
2018-02-21,75
2018-02-22,75
2018-02-23,75
2018-02-24,75
2018-02-25,75
2018-02-26,74
2018-02-27,74
2018-02-28,74
2018-03-01,74
2018-03-02,74
2018-03-03,74
2018-03-05,74
2018-03-06,74
2018-03-07,74
2018-03-08,74
2018-03-09,74
2018-03-10,74
2018-03-11,75
2018-03-12,75
2018-03-13,75
2018-03-14,75
2018-03-15,75
2018-03-16,75
2018-03-17,75
2018-03-18,75
2018-03-19,75
2018-03-20,78
2018-03-21,78
2018-03-23,78
2018-03-24,78
2018-03-26,77
2018-03-27,77
2018-03-28,77
2018-03-29,77
2018-03-30,77
2018-03-31,77
2018-04-01,77
2018-04-02,76
2018-04-03,76
2018-04-04,76
2018-04-05,76
2018-04-06,74
2018-04-08,74
2018-04-09,74
2018-04-10,74
2018-04-11,74
2018-04-12,74
2018-04-13,74
2018-04-14,74
2018-04-15,74
2018-04-16,74
2018-04-17,74
2018-04-18,74
2018-04-19,74
2018-04-20,74
2018-04-21,74
2018-04-22,74
2018-04-23,74
2018-04-24,74
2018-04-25,74
2018-04-26,74
2018-04-27,74
2018-04-28,74
2018-04-29,74
2018-04-30,74
2018-05-01,74
2018-05-02,74
2018-05-03,74
2018-05-04,74
2018-05-05,72
2018-05-06,72
2018-05-07,72
2018-05-08,72
2018-05-09,72
2018-05-10,69
2018-05-11,69
2018-05-12,69
2018-05-13,69
2018-05-14,69
2018-05-15,67
2018-05-16,67
2018-05-17,67
