date_obj,Bowl%20of%20hot%20water price
2018-02-02,288
2018-02-03,286
2018-02-04,291
2018-02-05,286
2018-02-06,271
2018-02-07,273
2018-02-08,273
2018-02-09,282
2018-02-10,282
2018-02-11,291
2018-02-12,304
2018-02-13,316
2018-02-14,322
2018-02-15,313
2018-02-16,300
2018-02-17,290
2018-02-18,275
2018-02-19,266
2018-02-20,263
2018-02-21,260
2018-02-22,260
2018-02-23,261
2018-02-24,261
2018-02-25,254
2018-02-26,245
2018-02-27,236
2018-02-28,236
2018-03-01,228
2018-03-02,216
2018-03-03,205
2018-03-04,205
2018-03-05,198
2018-03-06,191
2018-03-07,192
2018-03-08,202
2018-03-09,193
2018-03-10,183
2018-03-11,182
2018-03-12,177
2018-03-13,184
2018-03-14,175
2018-03-15,166
2018-03-16,170
2018-03-17,171
2018-03-18,176
2018-03-19,176
2018-03-20,177
2018-03-21,175
2018-03-23,173
2018-03-24,177
2018-03-25,181
2018-03-26,181
2018-03-27,183
2018-03-28,183
2018-03-29,193
2018-03-30,192
2018-03-31,191
2018-04-01,183
2018-04-02,191
2018-04-03,198
2018-04-04,193
2018-04-05,193
2018-04-06,195
2018-04-07,195
2018-04-08,205
2018-04-09,204
2018-04-10,210
2018-04-11,212
2018-04-12,216
2018-04-13,216
2018-04-14,218
2018-04-15,221
2018-04-16,221
2018-04-17,220
2018-04-18,220
2018-04-19,211
2018-04-20,202
2018-04-21,191
2018-04-22,191
2018-04-23,182
2018-04-24,182
2018-04-25,181
2018-04-26,181
2018-04-27,182
2018-04-28,186
2018-04-29,191
2018-04-30,197
2018-05-01,206
2018-05-02,206
2018-05-03,208
2018-05-04,208
2018-05-05,210
2018-05-06,210
2018-05-07,219
2018-05-08,229
2018-05-09,237
2018-05-10,234
2018-05-11,234
2018-05-12,241
2018-05-13,241
2018-05-14,246
2018-05-15,246
2018-05-16,250
2018-05-17,249
2018-05-18,237
2018-05-19,243
2018-05-20,256
2018-05-21,265
2018-05-22,265
2018-05-23,259
2018-05-24,259
2018-05-25,252
2018-05-26,239
2018-05-27,239
2018-05-28,228
2018-05-29,216
2018-05-30,205
2018-05-31,201
2018-06-01,193
2018-06-02,188
2018-06-03,194
2018-06-04,204
2018-06-05,214
2018-06-06,208
2018-06-07,208
2018-06-08,200
2018-06-09,201
2018-06-10,201
2018-06-11,198
2018-06-12,188
2018-06-13,190
2018-06-14,187
2018-06-15,181
2018-06-16,180
2018-06-17,172
2018-06-18,178
2018-06-19,182
2018-06-20,182
2018-06-21,180
2018-06-22,171
2018-06-23,171
2018-06-24,175
2018-06-25,176
2018-06-26,167
2018-06-27,158
2018-06-28,150
2018-06-29,142
2018-06-30,134
2018-07-01,127
2018-07-02,127
2018-07-03,120
2018-07-04,114
