date_obj,Treasonous%20ring price
2016-01-14,2589916
2016-01-15,2589916
2016-01-16,2589916
2016-01-17,2610210
2016-01-18,2610210
2016-01-19,2610210
2016-01-20,2734317
2016-01-21,2734317
2016-01-22,2734317
2016-01-23,2833340
2016-01-24,2833340
2016-01-25,2833340
2016-01-26,2960247
2016-01-27,2960247
2016-01-28,2960247
2016-01-29,3048738
2016-01-30,3048738
2016-01-31,3048738
2016-02-01,3081474
2016-02-02,3081474
2016-02-03,3081474
2016-02-04,3081474
2016-02-05,2967298
2016-02-06,2967298
2016-02-07,2967298
2016-02-08,2818933
2016-02-09,2818933
2016-02-10,2818933
2016-02-11,2680931
2016-02-12,2680931
2016-02-13,2680931
2016-02-14,2666286
2016-02-15,2666286
2016-02-16,2666286
2016-02-17,2601157
2016-02-18,2601157
2016-02-19,2601157
2016-02-20,2601157
2016-02-21,2494116
2016-02-22,2494116
2016-02-23,2494116
2016-02-24,2494116
2016-02-25,2413699
2016-02-26,2413699
2016-02-27,2413699
2016-02-28,2296077
2016-02-29,2296077
2016-03-01,2296077
2016-03-02,2182998
2016-03-03,2182998
2016-03-04,2182998
2016-03-05,2074043
2016-03-06,2074043
2016-03-07,2074043
2016-03-08,1975665
2016-03-09,1975665
2016-03-10,1975665
2016-03-11,1965768
2016-03-12,1965768
2016-03-13,1965768
2016-03-14,2002489
2016-03-15,2002489
2016-03-16,2002489
2016-03-17,1953048
2016-03-18,1953048
2016-03-19,1953048
2016-03-20,1883198
2016-03-21,1883198
2016-03-22,1883198
2016-03-23,1883198
2016-03-24,1874628
2016-03-25,1874628
2016-03-26,1874628
2016-03-27,1954082
2016-03-28,1954082
2016-03-29,1954082
2016-03-30,1954082
2016-03-31,2048646
2016-04-01,2048646
2016-04-02,2048646
2016-04-03,2048646
2016-04-04,2033542
2016-04-05,2033542
2016-04-06,2033542
2016-04-07,2033542
2016-04-08,2084679
2016-04-09,2084679
2016-04-10,2084679
2016-04-11,2084679
2016-04-12,2099386
2016-04-13,2099386
2016-04-14,2099386
2016-04-15,2190629
2016-04-16,2190629
2016-04-17,2190629
2016-04-18,2151866
2016-04-19,2151866
2016-04-20,2151866
2016-04-21,2151866
2016-04-22,2135071
2016-04-23,2135071
2016-04-24,2135071
2016-04-25,2085452
2016-04-26,2085452
2016-04-27,2085452
2016-04-28,2025953
2016-04-29,2025953
2016-04-30,2025953
2016-05-01,2042341
2016-05-02,2042341
2016-05-03,2042341
2016-05-04,2042341
2016-05-05,1983403
2016-05-06,1983403
2016-05-07,1983403
2016-05-08,1893788
2016-05-09,1893788
2016-05-10,1893788
2016-05-11,1815502
2016-05-12,1815502
2016-05-13,1763802
2016-05-14,1763802
2016-05-15,1763802
2016-05-16,1690488
2016-05-17,1690488
2016-05-18,1742246
2016-05-19,1742246
2016-05-22,1785340
2016-05-23,1821016
2016-05-24,1821016
2016-05-25,1821016
2016-05-26,1823580
2016-05-27,1823580
2016-05-28,1823580
2016-05-29,1848202
2016-05-30,1848202
2016-05-31,1848202
2016-06-01,1764773
2016-06-02,1764773
2016-06-03,1764773
2016-06-04,1748912
2016-06-05,1748912
2016-06-06,1748912
2016-06-07,1735318
2016-06-08,1735318
2016-06-09,1735318
2016-06-10,1781469
2016-06-11,1781469
2016-06-12,1781469
2016-06-13,1752802
2016-06-14,1752802
2016-06-15,1752802
2016-06-16,1749047
2016-06-17,1749047
2016-06-18,1749047
2016-06-19,1736146
2016-06-20,1736146
2016-06-21,1736146
2016-06-22,1796722
2016-06-23,1796722
2016-06-24,1796722
2016-06-25,1765585
2016-06-26,1765585
2016-06-27,1765585
2016-06-28,1765585
2016-06-29,1717046
2016-06-30,1717046
2016-07-01,1644808
2016-07-02,1644808
2016-07-03,1644808
2016-07-04,1622994
2016-07-05,1622994
2016-07-06,1622994
2016-07-07,1622994
2016-07-08,1596191
2016-07-09,1596191
2016-07-10,1596191
2016-07-11,1573499
2016-07-12,1573499
2016-07-13,1573499
2016-07-14,1574906
2016-07-15,1574906
2016-07-16,1574906
2016-07-17,1562644
2016-07-18,1562644
2016-07-24,1547857
2016-07-25,1547857
2016-07-26,1623610
2016-07-27,1623610
2016-07-28,1623610
2016-07-29,1659150
2016-07-30,1659150
2016-07-31,1659150
2016-08-01,1659150
2016-08-02,1578704
2016-08-03,1578704
2016-08-04,1578704
2016-08-05,1578704
2016-08-06,1505268
2016-08-07,1505268
2016-08-08,1505268
2016-08-09,1447992
2016-08-10,1447992
2016-08-11,1447992
2016-08-12,1447992
2016-08-13,1380067
2016-08-14,1380067
2016-08-15,1380067
2016-08-16,1337935
2016-08-17,1337935
2016-08-18,1337935
2016-08-19,1273089
2016-08-20,1273089
2016-08-21,1273089
2016-08-22,1299677
2016-08-23,1299677
2016-08-24,1299677
2016-08-25,1364025
2016-08-26,1364025
2016-08-28,1347164
2016-08-31,1323034
2016-09-01,1323034
2016-09-02,1323034
2016-09-03,1373343
2016-09-04,1373343
2016-09-05,1373343
2016-09-06,1396842
2016-09-07,1396842
2016-09-08,1396842
2016-09-09,1396842
2016-09-10,1342863
2016-09-11,1342863
2016-09-12,1342863
2016-09-13,1342863
2016-09-14,1275719
2016-09-15,1275719
2016-09-16,1275719
2016-09-17,1213930
2016-09-18,1213930
2016-09-19,1213930
2016-09-20,1213930
2016-09-21,1183598
2016-09-22,1183598
2016-09-23,1183598
2016-09-24,1183598
2016-09-25,1208058
2016-09-26,1208058
2016-09-27,1208058
2016-09-28,1208058
2016-09-29,1215483
2016-09-30,1215483
2016-10-01,1215483
2016-10-02,1190851
2016-10-03,1190851
2016-10-04,1190851
2016-10-05,1190851
2016-10-06,1227060
2016-10-07,1227060
2016-10-08,1227060
2016-10-09,1237078
2016-10-10,1237078
2016-10-11,1237078
2016-10-12,1237078
2016-10-13,1227062
2016-10-14,1227062
2016-10-15,1227062
2016-10-16,1262457
2016-10-17,1262457
2016-10-18,1262457
2016-10-19,1252722
2016-10-20,1252722
2016-10-21,1252722
2016-10-22,1252722
2016-10-23,1190085
2016-10-24,1190085
2016-10-25,1190085
2016-10-26,1150326
2016-10-27,1150326
2016-10-28,1150326
2016-10-29,1136192
2016-10-30,1136192
2016-10-31,1136192
2016-11-01,1191639
2016-11-02,1191639
2016-11-03,1191639
2016-11-04,1169150
2016-11-05,1169150
2016-11-06,1169150
2016-11-07,1138421
2016-11-08,1138421
2016-11-09,1138421
2016-11-10,1137021
2016-11-11,1137021
2016-11-12,1137021
2016-11-13,1137021
2016-11-14,1177925
2016-12-08,1123599
2016-12-09,1123599
2016-12-10,1123599
2016-12-11,1084342
2016-12-12,1084342
2016-12-13,1084342
2016-12-14,1039497
2016-12-15,1039497
2016-12-16,1039497
2016-12-17,1005964
2016-12-18,1005964
2016-12-19,1005964
2016-12-20,1044101
2016-12-21,1044101
2016-12-22,1044101
2016-12-23,1031173
2016-12-24,1031173
2016-12-25,1031173
2016-12-26,1031173
2016-12-27,1013889
2016-12-28,1013889
2016-12-29,1013889
2016-12-30,1045051
2016-12-31,1045051
2017-01-01,1045051
2017-01-02,1044217
2017-01-03,1044217
2017-01-04,1044217
2017-01-05,1012125
2017-01-06,1012125
2017-01-07,974680
2017-01-08,974680
2017-01-09,974680
2017-01-10,941243
2017-01-11,941243
2017-01-12,938872
2017-01-13,938872
2017-01-14,938872
2017-01-15,985813
2017-01-16,985813
2017-01-17,956509
2017-01-18,956509
2017-01-19,956509
2017-01-20,909301
2017-01-21,909301
2017-01-22,909301
2017-01-27,848184
2017-01-28,848184
2017-01-29,834257
2017-01-30,834257
2017-01-31,834257
2017-02-01,793700
2017-02-02,793700
2017-02-03,793700
2017-02-04,754701
2017-02-05,754701
2017-02-06,754701
2017-02-07,742255
2017-02-08,742255
2017-02-09,742255
2017-02-10,750166
2017-02-11,750166
2017-02-12,750166
2017-02-13,777558
2017-02-14,777558
2017-02-15,777558
2017-02-16,797664
