date_obj,Raw%20dark%20crab price
2016-04-02,1581
2016-04-03,1581
2016-04-04,1581
2016-04-05,1581
2016-04-06,1568
2016-04-07,1568
2016-04-08,1568
2016-04-09,1568
2016-04-10,1568
2016-04-11,1568
2016-04-12,1568
2016-04-13,1568
2016-04-14,1589
2016-04-15,1589
2016-04-16,1589
2016-04-17,1589
2016-04-18,1589
2016-04-19,1589
2016-04-20,1639
2016-04-21,1639
2016-04-22,1639
2016-04-23,1639
2016-04-24,1639
2016-04-25,1639
2016-04-26,1639
2016-04-27,1639
2016-04-28,1675
2016-04-29,1675
2016-04-30,1675
2016-05-01,1675
2016-05-02,1675
2016-05-03,1675
2016-05-04,1675
2016-05-05,1675
2016-05-06,1690
2016-05-07,1690
2016-05-08,1690
2016-05-09,1690
2016-05-10,1690
2016-05-11,1690
2016-05-12,1719
2016-05-13,1719
2016-05-14,1719
2016-05-15,1719
2016-05-16,1719
2016-05-17,1719
2016-05-18,1788
2016-05-19,1788
2016-05-22,1788
2016-05-23,1788
2016-05-24,1788
2016-05-25,1729
2016-05-26,1729
2016-05-27,1729
2016-05-28,1729
2016-05-29,1729
2016-05-30,1729
2016-05-31,1681
2016-06-01,1681
2016-06-02,1681
2016-06-03,1681
2016-06-04,1681
2016-06-05,1681
2016-06-06,1708
2016-06-07,1708
2016-06-08,1708
2016-06-09,1708
2016-06-10,1708
2016-06-11,1708
2016-06-12,1708
2016-06-13,1752
2016-06-14,1752
2016-06-15,1752
2016-06-16,1752
2016-06-17,1752
2016-06-18,1752
2016-06-19,1702
2016-06-20,1702
2016-06-21,1702
2016-06-22,1702
2016-06-23,1702
2016-06-24,1702
2016-06-25,1666
2016-06-26,1666
2016-06-27,1666
2016-06-28,1666
2016-06-29,1666
2016-06-30,1666
2016-07-01,1666
2016-07-02,1683
2016-07-03,1683
2016-07-04,1683
2016-07-05,1683
2016-07-06,1683
2016-07-07,1739
2016-07-08,1739
2016-07-09,1739
2016-07-10,1739
2016-07-11,1739
2016-07-12,1739
2016-07-13,1782
2016-07-14,1782
2016-07-15,1782
2016-07-16,1782
2016-07-17,1782
2016-07-18,1782
2016-07-23,1717
