date_obj,Mystic%20gloves%20(dark) price
2017-09-22,6019
2017-09-23,6019
2017-09-24,6048
2017-09-25,6048
2017-09-26,6063
2017-09-27,6063
2017-09-28,6063
2017-09-29,6079
2017-09-30,6079
2017-10-01,6043
2017-10-02,6104
2017-10-03,6104
2017-10-04,6125
2017-10-05,6125
2017-10-06,6313
2017-10-07,6427
2017-10-08,6427
2017-10-09,6698
2017-10-10,6709
2017-10-11,6709
2017-10-12,6597
2017-10-13,6418
2017-10-14,6451
2017-10-15,6451
2017-10-16,6365
2017-10-17,6365
2017-10-18,6369
2017-10-19,6369
2017-10-20,6419
2017-10-21,6419
2017-10-22,6353
2017-10-23,6353
2017-10-24,6340
2017-10-25,6541
2017-10-26,6541
2017-10-27,6474
2017-10-28,6474
2017-10-29,6419
2017-10-30,6419
2017-10-31,6300
2017-11-01,6300
2017-11-02,6127
2017-11-03,6127
2017-11-04,6098
2017-11-05,6098
2017-11-06,6252
2017-11-07,6252
2017-11-08,6104
2017-11-09,6041
2017-11-10,6041
2017-11-11,6138
2017-11-12,6281
2017-11-13,6281
2017-11-14,6355
2017-11-15,6355
2017-11-16,6289
2017-11-17,6289
2017-11-18,6186
2017-11-19,6220
2017-11-20,6220
2017-11-21,6115
2017-11-22,6115
2017-11-23,6035
2017-11-24,6035
2017-11-25,6245
2017-11-26,6539
2017-11-27,6539
2017-11-28,6482
2017-11-29,6482
2017-11-30,6395
2017-12-01,6453
2017-12-02,6453
2017-12-03,6509
2017-12-04,6509
2017-12-05,6362
2017-12-06,6267
2017-12-07,6203
2017-12-08,6203
2017-12-09,6177
2017-12-10,6121
2017-12-11,6060
2017-12-12,6060
2017-12-14,5982
2017-12-15,5913
2017-12-17,6048
2017-12-18,5992
2017-12-19,5992
2017-12-20,5848
2017-12-21,5857
2017-12-22,5857
2017-12-23,5852
2017-12-24,5852
2017-12-25,6094
2017-12-26,6046
2017-12-27,5937
2017-12-28,5937
2017-12-29,6083
2017-12-30,6371
2017-12-31,6371
2018-01-01,6608
2018-01-02,6608
2018-01-03,6608
2018-01-04,6608
2018-01-05,6354
2018-01-06,6221
2018-01-07,6168
2018-01-08,6186
2018-01-09,6260
2018-01-10,6260
2018-01-11,6282
2018-01-12,6459
2018-01-13,6617
2018-01-14,6419
2018-01-15,6363
2018-01-16,6260
2018-01-17,6212
2018-01-18,6164
2018-01-19,6164
2018-01-20,6199
2018-01-21,6199
2018-01-22,6153
2018-01-23,6225
2018-01-25,6165
2018-01-26,6097
2018-01-27,6113
2018-01-28,6110
2018-01-29,6133
2018-01-31,6189
2018-02-01,6154
2018-02-02,6103
2018-02-03,6121
2018-02-04,6399
2018-02-05,6690
2018-02-06,6524
2018-02-07,6391
2018-02-08,6391
2018-02-09,6361
2018-02-10,6213
2018-02-11,6168
2018-02-12,6290
2018-02-13,6605
2018-02-14,6840
2018-02-15,6870
2018-02-16,6778
2018-02-17,6638
2018-02-18,6568
2018-02-19,6523
2018-02-20,6670
2018-02-21,6691
2018-02-22,6686
2018-02-23,6628
2018-02-24,6705
2018-02-25,6576
2018-02-26,6567
2018-02-27,6651
2018-03-01,6819
2018-03-02,6880
2018-03-03,7030
2018-03-04,7030
2018-03-05,6946
2018-03-06,6733
2018-03-07,6514
2018-03-08,6297
2018-03-09,6232
2018-03-10,6241
2018-03-11,6201
2018-03-12,6138
2018-03-13,6086
2018-03-14,6071
2018-03-15,6051
2018-03-16,5972
2018-03-17,5970
2018-03-18,5907
2018-03-19,5982
2018-03-20,6022
2018-03-21,6035
2018-03-23,5968
2018-03-24,6023
2018-03-26,6120
2018-03-27,6281
2018-03-28,6590
2018-03-29,6918
2018-03-30,7160
2018-03-31,7202
2018-04-01,6960
2018-04-02,6821
2018-04-03,6679
2018-04-04,6789
2018-04-05,6789
2018-04-06,6848
2018-04-07,6848
2018-04-08,6544
2018-04-09,6411
2018-04-10,6296
2018-04-11,6366
2018-04-12,6396
2018-04-13,6349
2018-04-14,6422
2018-04-15,6474
2018-04-16,6474
2018-04-17,6300
2018-04-18,6300
2018-04-19,6166
2018-04-20,6080
2018-04-21,6029
2018-04-22,6029
2018-04-23,6238
2018-04-24,6310
2018-04-25,6325
2018-04-26,6325
2018-04-27,6445
2018-04-28,6752
2018-04-29,6885
2018-04-30,6994
2018-05-01,7067
2018-05-04,6912
2018-05-05,6837
2018-05-06,6837
2018-05-07,6967
2018-05-08,6998
2018-05-09,6951
2018-05-10,7012
2018-05-11,6831
2018-05-12,6732
2018-05-13,6732
2018-05-14,6747
2018-05-15,6713
2018-05-16,7024
2018-05-17,7042
2018-05-18,6796
2018-05-19,6684
2018-05-20,6558
2018-05-21,6507
2018-05-22,6507
2018-05-23,6383
2018-05-24,6386
2018-05-25,6258
2018-05-26,6214
2018-05-27,6214
2018-05-28,6384
2018-05-29,6675
2018-05-30,6592
2018-05-31,6578
2018-06-01,6516
2018-06-02,6639
2018-06-03,6588
2018-06-04,6449
2018-06-05,6399
2018-06-06,6314
2018-06-07,6314
2018-06-08,6390
2018-06-09,6519
2018-06-10,6516
2018-06-11,6554
2018-06-12,6487
2018-06-13,6480
2018-06-14,6695
2018-06-15,6692
2018-06-16,6935
2018-06-17,7282
2018-06-18,7647
2018-06-19,7891
2018-06-20,7891
2018-06-21,7831
2018-06-22,7726
2018-06-23,7726
2018-06-24,7964
2018-06-25,7849
2018-06-26,7821
2018-06-27,7979
2018-06-28,7885
2018-06-29,7659
2018-06-30,7316
2018-07-01,7137
2018-07-02,6943
2018-07-03,6735
2018-07-04,6693
2018-07-05,6846
2018-07-06,6744
2018-07-07,6579
2018-07-08,6521
2018-07-09,6456
2018-07-10,6316
2018-07-11,6187
2018-07-12,6295
2018-07-13,6608
2018-07-14,6815
2018-07-15,6808
2018-07-16,6784
2018-07-17,6982
2018-07-18,7330
2018-07-19,7565
2018-07-20,7725
2018-07-21,7823
2018-07-22,7710
2018-07-23,7625
2018-07-24,7498
2018-07-25,7478
2018-07-26,7542
2018-07-27,7459
2018-07-28,7472
2018-07-29,7631
2018-07-30,7724
2018-07-31,7538
2018-08-01,7538
2018-08-02,7709
2018-08-03,7808
2018-08-04,7934
2018-08-05,8060
2018-08-06,7917
2018-08-07,7756
2018-08-08,7462
2018-08-09,7150
2018-08-10,7081
2018-08-11,6846
2018-08-12,6674
2018-08-14,6497
2018-08-16,6390
2018-08-17,6635
2018-08-18,6965
2018-08-19,7206
2018-08-20,7154
2018-08-21,7316
2018-08-22,7538
2018-08-23,7587
2018-08-24,7725
2018-08-25,7885
2018-08-26,7990
2018-08-27,8070
2018-08-28,7986
2018-08-29,8112
2018-08-30,8379
2018-08-31,8507
2018-09-01,8752
2018-09-02,9107
2018-09-03,8974
2018-09-04,8872
2018-09-05,8685
2018-09-06,8685
2018-09-07,8477
2018-09-08,8308
2018-09-09,8108
2018-09-10,7745
2018-09-11,7785
2018-09-12,7780
2018-09-13,8169
2018-09-14,8422
2018-09-15,8765
2018-09-16,9204
2018-09-17,9665
2018-09-18,10149
2018-09-19,10596
2018-09-20,10711
2018-09-21,10405
2018-09-22,10050
2018-09-23,9705
2018-09-24,9365
2018-09-25,8956
2018-09-26,8678
2018-09-27,8339
2018-09-28,7982
2018-09-29,7582
2018-09-30,7301
2018-10-02,7397
2018-10-03,7264
2018-10-04,7159
2018-10-05,7024
2018-10-06,7078
2018-10-07,7399
2018-10-08,7769
2018-10-09,8134
2018-10-10,8316
2018-10-11,8660
2018-10-12,8675
2018-10-13,8543
2018-10-14,8210
2018-10-15,8039
2018-10-16,8072
2018-10-17,7871
2018-10-18,7757
2018-10-19,7603
2018-10-20,7607
2018-10-21,7340
2018-10-22,7008
2018-10-23,6810
2018-10-24,6875
2018-10-25,7123
2018-10-26,7212
2018-10-27,7179
2018-10-28,7070
2018-10-29,6871
2018-10-30,6710
2018-10-31,6825
2018-11-01,7166
2018-11-03,7830
2018-11-04,8070
2018-11-05,8474
2018-11-06,8895
2018-11-07,9340
2018-11-08,9807
2018-11-09,10255
2018-11-10,10759
2018-11-11,11242
2018-11-12,11785
2018-11-13,12015
2018-11-15,12132
2018-11-16,12654
2018-11-17,13287
2018-11-18,13659
2018-11-19,13730
2018-11-20,14135
2018-11-21,14757
2018-11-22,15235
2018-11-23,15884
2018-11-24,16679
2018-11-25,17513
2018-11-26,18374
2018-11-27,19094
2018-11-28,18921
2018-11-29,18214
2018-12-01,17576
2018-12-02,17631
2018-12-03,17619
2018-12-04,17248
2018-12-05,16471
2018-12-07,14868
2018-12-09,13452
2018-12-10,12911
2018-12-11,12430
2018-12-12,11854
2018-12-13,11441
2018-12-14,11226
2018-12-15,10955
2018-12-16,10921
2018-12-17,10491
2018-12-18,10256
2018-12-19,10126
2018-12-20,9837
2018-12-21,9438
2018-12-22,8995
2018-12-23,8599
2018-12-24,8244
2018-12-25,7925
2018-12-26,7563
2018-12-27,7300
2018-12-28,7067
2018-12-29,6955
2018-12-30,6624
2018-12-31,6423
2019-01-01,6355
2019-01-02,6241
2019-01-03,6242
2019-01-04,6245
2019-01-05,6172
2019-01-06,6126
2019-01-08,6217
2019-01-10,5981
2019-01-11,5977
2019-01-12,6155
2019-01-13,6117
2019-01-14,5984
2019-01-15,6053
2019-01-16,6008
2019-01-17,6276
2019-01-18,6590
2019-01-19,6920
2019-01-20,7131
2019-01-21,7216
2019-01-22,7318
2019-01-23,7604
2019-01-24,7727
2019-01-25,7656
2019-01-26,7580
2019-01-27,7616
2019-01-28,7566
2019-01-29,7602
2019-01-30,7333
2019-01-31,7146
2019-02-01,7030
2019-02-02,6864
2019-02-03,6951
2019-02-04,7156
2019-02-05,7106
2019-02-06,6764
2019-02-07,6695
2019-02-08,6791
2019-02-09,6803
2019-02-10,6708
2019-02-11,6523
2019-02-12,6346
2019-02-13,6304
2019-02-14,6340
2019-02-15,6200
2019-02-16,6262
2019-02-17,6246
2019-02-18,6168
2019-02-19,6196
2019-02-20,6240
2019-02-21,6311
2019-02-22,6378
2019-02-23,6366
2019-02-24,6290
2019-02-25,6181
2019-02-26,6377
2019-02-27,6421
2019-02-28,6541
2019-03-01,6639
2019-03-02,6640
2019-03-03,6684
2019-03-04,6565
2019-03-05,6344
2019-03-06,6216
2019-03-07,6241
2019-03-08,6170
2019-03-09,6005
2019-03-10,5988
2019-03-11,5913
2019-03-12,5996
2019-03-13,5982
2019-03-14,5917
2019-03-15,5876
2019-03-16,5895
2019-03-17,5923
2019-03-18,6168
2019-03-19,6143
2019-03-20,6302
2019-03-21,6489
2019-03-22,6286
2019-03-23,6329
2019-03-24,6498
2019-03-25,6823
2019-03-26,6872
2019-03-27,6872
