date_obj,Black%20scimitar price
2017-02-05,2382
2017-02-06,2465
2017-02-07,2588
2017-02-08,2718
2017-02-09,2793
2017-02-10,2882
2017-02-11,2959
2017-02-12,3030
2017-02-13,3103
2017-02-14,3146
2017-02-15,3261
2017-02-16,3260
2017-02-18,3177
2017-02-19,3067
2017-02-20,3020
2017-02-21,3000
2017-02-22,2899
2017-02-23,2906
2017-02-24,2913
2017-02-25,2861
2017-02-26,2818
2017-02-27,2743
2017-02-28,2661
2017-03-01,2647
2017-03-02,2609
2017-03-03,2556
2017-03-04,2457
2017-03-05,2387
2017-03-06,2417
2017-03-07,2444
2017-03-08,2352
2017-03-09,2461
2017-03-10,2512
2017-03-11,2476
2017-03-12,2461
2017-03-13,2442
2017-03-14,2394
2017-03-15,2316
2017-03-16,2218
2017-03-17,2107
2017-03-18,2001
2017-03-19,1965
2017-03-20,1981
2017-03-21,2032
2017-03-22,2079
2017-03-23,2090
2017-03-24,2051
2017-03-25,2037
2017-03-26,2047
2017-03-27,2035
2017-03-28,2075
2017-03-29,2114
2017-03-30,2120
2017-03-31,2105
2017-04-01,2096
2017-04-02,2153
2017-04-03,2211
2017-04-04,2299
2017-04-12,2347
2017-04-13,2394
2017-04-14,2416
2017-04-15,2407
2017-04-16,2381
2017-04-17,2355
2017-04-18,2347
2017-04-19,2330
2017-04-20,2342
2017-04-21,2339
2017-04-22,2315
2017-04-23,2353
2017-04-24,2420
2017-04-25,2427
2017-04-26,2472
2017-04-27,2470
2017-04-28,2471
2017-04-29,2446
2017-04-30,2491
2017-05-01,2524
2017-05-02,2511
2017-05-03,2447
2017-05-04,2402
2017-05-05,2405
2017-05-06,2374
2017-05-07,2415
2017-05-08,2360
2017-05-09,2400
2017-05-10,2405
2017-05-11,2359
2017-05-12,2366
2017-05-13,2358
2017-05-14,2245
2017-05-15,2202
2017-05-16,2125
2017-05-17,2018
2017-05-18,1930
2017-05-19,1931
2017-05-20,1937
2017-05-21,1937
2017-05-22,1977
2017-05-23,2031
2017-05-24,2104
2017-05-25,2149
2017-05-26,2102
2017-05-27,2104
2017-05-28,2075
2017-05-29,2065
2017-05-30,2089
2017-05-31,2072
2017-06-01,2059
2017-06-02,2027
2017-06-03,2047
2017-06-04,2120
2017-06-05,2211
2017-06-06,2280
2017-06-07,2313
2017-06-08,2342
2017-06-09,2301
2017-06-10,2283
2017-06-11,2290
2017-06-12,2313
2017-06-13,2268
2017-06-14,2202
2017-06-15,2178
2017-06-16,2237
2017-06-17,2244
2017-06-18,2255
2017-06-19,2255
2017-06-20,2284
2017-06-21,2365
2017-06-22,2348
2017-06-23,2299
2017-06-24,2288
2017-06-25,2319
2017-06-26,2377
2017-06-27,2443
2017-06-28,2412
2017-06-29,2485
2017-06-30,2521
2017-07-01,2521
2017-07-02,2513
2017-07-03,2494
2017-07-04,2369
2017-07-05,2369
2017-07-06,2273
2017-07-07,2294
2017-07-08,2326
2017-07-13,1983
2017-07-14,1981
2017-07-15,1967
2017-07-16,1957
2017-07-17,1929
2017-07-18,1912
2017-07-19,1911
2017-07-20,1929
2017-07-21,1955
2017-07-22,1947
2017-07-23,1895
2017-07-24,1909
2017-07-25,1894
2017-07-26,1917
2017-07-27,1979
2017-07-28,2059
2017-07-29,2106
2017-07-30,2166
2017-07-31,2185
2017-08-01,2139
2017-08-02,2157
2017-08-03,2171
2017-08-04,2198
2017-08-05,2233
2017-08-06,2286
2017-08-07,2313
2017-08-08,2382
2017-08-09,2416
2017-08-10,2347
2017-08-11,2321
2017-08-12,2315
2017-08-13,2355
2017-08-14,2304
2017-08-15,2337
2017-08-16,2333
2017-08-17,2291
2017-08-18,2291
2017-08-19,2242
2017-08-20,2234
2017-08-21,2237
2017-08-22,2255
2017-08-23,2295
2017-08-24,2384
2017-08-25,2445
2017-08-26,2420
2017-08-27,2355
2017-08-28,2281
2017-08-29,2244
2017-08-30,2230
2017-08-31,2175
2017-09-01,2195
2017-09-02,2207
2017-09-03,2252
2017-09-04,2266
2017-09-05,2250
2017-09-06,2300
2017-09-07,2296
2017-09-08,2251
2017-09-09,2308
2017-09-10,2292
2017-09-11,2339
2017-09-12,2379
2017-09-13,2428
2017-09-14,2407
2017-09-15,2407
2017-09-16,2387
2017-09-17,2381
2017-09-18,2383
2017-09-19,2375
2017-09-20,2390
2017-09-22,2357
2017-09-23,2321
2017-09-24,2390
2017-09-25,2425
2017-09-26,2372
2017-09-27,2355
2017-09-28,2398
2017-09-29,2368
2017-09-30,2345
2017-10-01,2299
2017-10-02,2244
2017-10-03,2155
2017-10-04,2143
2017-10-05,2140
2017-10-06,2075
2017-10-07,2104
2017-10-08,2088
2017-10-09,2098
2017-10-10,2081
2017-10-11,2081
2017-10-12,2061
2017-10-13,2032
2017-10-14,1999
2017-10-15,1999
2017-10-16,2034
2017-10-17,2034
2017-10-18,2049
2017-10-19,2043
2017-10-20,2071
2017-10-21,2049
2017-10-22,2076
2017-10-23,2057
2017-10-24,2092
2017-10-25,2106
2017-10-26,2114
2017-10-27,2150
2017-10-28,2150
2017-10-29,2181
2017-10-30,2149
2017-10-31,2161
2017-11-01,2161
2017-11-02,2178
2017-11-03,2151
2017-11-04,2113
2017-11-05,2102
2017-11-06,2065
2017-11-07,2064
2017-11-08,2103
2017-11-09,2038
2017-11-10,2051
2017-11-11,1987
2017-11-12,2027
2017-11-13,2021
2017-11-14,2013
2017-11-15,2003
2017-11-16,1987
2017-11-17,1971
2017-11-18,1953
2017-11-19,1953
2017-11-20,1985
2017-11-21,1992
2017-11-22,2029
2017-11-23,2010
2017-11-24,1963
2017-11-25,1936
2017-11-26,1995
2017-11-27,1995
2017-11-28,1993
2017-11-29,1918
2017-11-30,1830
2017-12-01,1835
2017-12-02,1837
2017-12-03,1871
2017-12-04,1848
2017-12-05,1894
2017-12-06,1885
2017-12-07,1912
2017-12-08,1905
2017-12-09,1901
2017-12-10,1906
2017-12-11,1928
2017-12-12,1944
2017-12-13,1964
2017-12-14,1972
2017-12-15,1885
2017-12-16,1844
2017-12-17,1824
2017-12-18,1814
2017-12-19,1849
2017-12-20,1877
2017-12-21,1809
2017-12-22,1733
2017-12-23,1678
2017-12-24,1616
2017-12-25,1616
2017-12-26,1566
2017-12-27,1546
2017-12-28,1488
2017-12-29,1430
2017-12-30,1455
2017-12-31,1480
2018-01-01,1480
2018-01-02,1448
2018-01-03,1443
2018-01-04,1467
2018-01-05,1469
2018-01-06,1468
2018-01-07,1469
2018-01-08,1510
2018-01-09,1584
2018-01-10,1649
2018-01-11,1716
2018-01-12,1790
2018-01-13,1862
2018-01-14,1956
2018-01-15,2054
2018-01-16,2149
2018-01-17,2132
2018-01-18,2031
2018-01-19,2031
2018-01-20,1950
2018-01-21,2017
2018-01-22,2006
2018-01-23,1947
2018-01-24,1916
2018-01-25,1908
2018-01-26,1932
2018-01-27,1912
2018-01-28,1880
2018-01-29,1885
2018-01-30,1879
2018-01-31,1920
2018-02-01,1903
2018-02-02,1862
2018-02-03,1863
2018-02-04,1800
