date_obj,Unfired%20plant%20pot price
2016-07-08,703
2016-07-09,703
2016-07-10,703
2016-07-11,703
2016-07-12,703
2016-07-13,703
2016-07-14,703
2016-07-15,703
2016-07-16,703
2016-07-17,703
2016-07-18,703
2016-07-24,703
2016-07-25,703
2016-07-26,703
2016-07-27,703
2016-07-28,703
2016-07-29,703
2016-07-30,703
2016-07-31,703
2016-08-01,703
2016-08-02,703
2016-08-03,703
2016-08-04,703
2016-08-05,703
2016-08-06,703
2016-08-07,703
2016-08-08,703
2016-08-09,703
2016-08-10,703
2016-08-11,703
2016-08-12,703
2016-08-13,703
2016-08-14,703
2016-08-15,703
2016-08-16,703
2016-08-17,703
2016-08-18,703
2016-08-19,703
2016-08-20,703
2016-08-21,703
2016-08-22,703
2016-08-23,703
2016-08-24,703
2016-08-25,703
2016-08-26,703
2016-08-28,703
2016-08-31,703
2016-09-01,703
2016-09-02,703
2016-09-03,703
2016-09-04,703
2016-09-05,703
2016-09-06,703
2016-09-07,703
2016-09-08,703
2016-09-09,703
2016-09-10,703
2016-09-11,703
2016-09-12,703
2016-09-13,703
2016-09-14,703
2016-09-15,703
2016-09-16,703
2016-09-17,703
2016-09-18,703
2016-09-19,703
2016-09-20,703
2016-09-21,703
2016-09-22,703
2016-09-23,703
2016-09-24,703
2016-09-25,703
2016-09-26,703
2016-09-27,703
2016-09-28,703
2016-09-29,703
2016-09-30,703
2016-10-01,703
2016-10-02,703
2016-10-03,703
2016-10-04,703
2016-10-05,703
2016-10-06,703
2016-10-07,703
2016-10-08,703
2016-10-09,703
2016-10-10,703
2016-10-11,703
2016-10-12,703
2016-10-13,703
2016-10-14,703
2016-10-15,703
2016-10-16,703
2016-10-17,703
2016-10-18,703
2016-10-19,703
2016-10-20,703
2016-10-21,703
2016-10-22,703
2016-10-23,703
2016-10-24,703
2016-10-25,703
2016-10-26,703
2016-10-27,703
2016-10-28,703
2016-10-29,703
2016-10-30,703
2016-10-31,703
2016-11-01,703
2016-11-02,703
2016-11-03,703
2016-11-04,703
2016-11-05,703
2016-11-06,703
2016-11-07,703
2016-11-08,703
2016-11-09,703
2016-11-10,703
2016-11-11,703
2016-11-12,703
2016-11-13,703
2016-11-14,703
2016-12-08,703
2016-12-09,703
2016-12-10,703
2016-12-11,703
2016-12-12,703
2016-12-13,703
2016-12-14,703
2016-12-15,703
2016-12-16,703
2016-12-17,703
2016-12-18,703
2016-12-19,671
2016-12-20,671
2016-12-21,671
2016-12-22,671
2016-12-23,671
2016-12-24,671
2016-12-25,671
2016-12-26,671
2016-12-27,671
2016-12-28,671
2016-12-29,671
2016-12-30,671
2016-12-31,671
2017-01-01,671
2017-01-02,671
2017-01-03,671
2017-01-04,671
2017-01-05,671
2017-01-06,671
2017-01-07,671
2017-01-08,671
2017-01-09,671
2017-01-10,671
2017-01-11,671
2017-01-12,671
2017-01-13,671
2017-01-14,671
2017-01-15,671
2017-01-16,671
2017-01-17,671
2017-01-18,671
2017-01-19,671
2017-01-20,671
2017-01-21,671
2017-01-22,671
2017-01-27,671
2017-01-28,671
2017-01-29,671
2017-01-30,671
2017-01-31,671
2017-02-01,671
2017-02-02,671
2017-02-03,671
2017-02-04,671
2017-02-05,671
2017-02-06,671
2017-02-07,671
2017-02-08,671
2017-02-09,671
2017-02-10,671
2017-02-11,671
2017-02-12,671
2017-02-13,671
2017-02-14,671
2017-02-15,671
2017-02-16,671
2017-02-18,671
2017-02-19,671
2017-02-20,671
2017-02-21,671
2017-02-22,671
2017-02-23,671
2017-02-24,671
2017-02-25,671
2017-02-26,671
2017-02-27,671
2017-02-28,671
2017-03-01,671
2017-03-02,671
2017-03-03,671
2017-03-04,671
2017-03-05,671
2017-03-06,671
2017-03-07,671
2017-03-08,671
2017-03-09,671
2017-03-10,671
2017-03-11,671
2017-03-12,671
2017-03-13,671
2017-03-14,671
2017-03-15,671
2017-03-16,671
2017-03-17,671
2017-03-18,671
2017-03-19,671
2017-03-20,671
2017-03-21,671
2017-03-22,671
2017-03-23,671
2017-03-24,671
2017-03-25,671
2017-03-26,671
2017-03-27,671
2017-03-28,671
2017-03-29,671
2017-03-30,671
2017-03-31,671
2017-04-01,671
2017-04-02,671
2017-04-03,671
2017-04-04,671
2017-04-12,671
2017-04-13,671
2017-04-14,671
2017-04-15,671
2017-04-16,671
2017-04-17,671
2017-04-18,671
2017-04-19,671
2017-04-20,671
2017-04-21,671
2017-04-22,671
2017-04-23,671
2017-04-24,671
2017-04-25,671
2017-04-26,671
2017-04-27,671
2017-04-28,671
2017-04-29,671
2017-04-30,671
2017-05-01,671
2017-05-02,671
2017-05-03,671
2017-05-04,671
2017-05-05,671
2017-05-06,671
2017-05-07,671
2017-05-08,671
2017-05-09,671
2017-05-10,671
2017-05-11,671
2017-05-12,671
2017-05-13,671
2017-05-14,671
2017-05-15,671
2017-05-16,671
2017-05-17,671
2017-05-18,671
2017-05-19,671
2017-05-20,671
2017-05-21,671
2017-05-22,671
2017-05-23,671
2017-05-24,671
2017-05-25,671
2017-05-26,671
2017-05-27,671
2017-05-28,671
2017-05-29,671
2017-05-30,671
2017-05-31,671
2017-06-01,671
2017-06-02,671
2017-06-03,671
2017-06-06,671
2017-06-07,671
2017-06-08,671
2017-06-09,639
2017-06-10,639
2017-06-11,639
2017-06-12,639
2017-06-13,639
2017-06-14,639
2017-06-15,639
2017-06-16,639
2017-06-17,639
2017-06-18,639
2017-06-19,639
2017-06-20,639
2017-06-21,639
2017-06-22,639
2017-06-23,639
2017-06-24,639
2017-06-25,639
2017-06-26,639
2017-06-27,639
2017-06-28,639
2017-06-29,639
2017-06-30,639
2017-07-01,639
2017-07-02,639
2017-07-03,639
2017-07-04,639
2017-07-05,639
2017-07-06,639
2017-07-07,639
2017-07-08,639
2017-07-13,639
2017-07-14,639
2017-07-15,639
2017-07-16,639
2017-07-17,639
2017-07-18,639
2017-07-19,639
2017-07-20,639
2017-07-21,639
2017-07-22,639
2017-07-23,639
2017-07-24,639
2017-07-25,639
2017-07-26,639
2017-07-27,639
2017-07-28,639
2017-07-29,639
2017-07-30,639
2017-07-31,639
2017-08-01,639
2017-08-02,639
2017-08-03,639
2017-08-04,639
2017-08-05,639
2017-08-06,639
2017-08-09,639
2017-08-10,639
2017-08-11,639
2017-08-12,639
2017-08-13,639
2017-08-14,639
2017-08-15,639
2017-08-16,639
2017-08-17,639
2017-08-18,639
2017-08-19,639
2017-08-20,639
2017-08-21,639
2017-08-22,639
2017-08-23,639
2017-08-24,639
2017-08-25,639
2017-08-26,639
2017-08-27,639
2017-08-28,639
2017-08-29,639
2017-08-30,639
2017-08-31,639
2017-09-01,639
2017-09-02,639
2017-09-03,639
2017-09-04,639
2017-09-05,639
2017-09-06,639
2017-09-07,639
2017-09-08,639
2017-09-09,639
2017-09-10,639
2017-09-11,639
2017-09-12,639
2017-09-13,639
2017-09-14,639
2017-09-15,639
2017-09-16,639
2017-09-17,639
2017-09-19,639
2017-09-20,639
2017-09-21,639
2017-09-22,639
2017-09-23,639
2017-09-24,639
2017-09-25,639
2017-09-26,639
