date_obj,Holy%20sandals price
2017-03-24,600750
2017-03-25,609630
2017-03-26,611041
2017-03-27,612445
2017-03-28,610163
2017-03-29,605603
2017-03-30,599842
2017-03-31,600143
2017-04-01,595692
2017-04-02,598162
2017-04-03,595403
2017-04-04,596528
2017-04-12,524850
2017-04-13,527762
2017-04-14,523815
2017-04-15,520405
2017-04-16,523445
2017-04-17,521439
2017-04-18,518436
2017-04-19,515469
2017-04-20,518150
2017-04-21,518308
2017-04-22,520785
2017-04-23,521074
2017-04-24,519992
2017-04-25,519404
2017-04-26,512800
2017-04-27,504051
2017-04-28,507430
2017-04-29,526675
2017-04-30,524027
2017-05-01,529882
2017-05-02,546333
2017-05-03,562077
2017-05-04,569472
2017-05-05,573011
2017-05-06,570328
2017-05-07,566890
2017-05-08,567058
2017-05-09,559172
2017-05-10,549406
2017-05-11,546811
2017-05-12,544276
2017-05-13,555655
2017-05-14,567126
2017-05-15,581818
2017-05-16,603654
2017-05-17,615177
2017-05-18,603621
2017-05-19,579384
2017-05-20,581272
2017-05-21,570332
2017-05-22,577317
2017-05-23,565756
2017-05-24,559006
2017-05-25,538405
2017-05-26,524491
2017-05-27,512600
2017-05-28,495246
2017-05-29,479465
2017-05-30,486614
2017-05-31,494435
2017-06-01,486879
2017-06-02,481736
2017-06-03,483006
2017-06-04,481010
2017-06-06,475247
2017-06-07,474468
2017-06-08,470823
2017-06-09,469908
2017-06-10,449363
2017-06-11,430604
2017-06-12,412558
2017-06-13,398100
2017-06-14,385116
2017-06-15,385244
2017-06-16,382996
2017-06-17,390943
2017-06-18,397885
2017-06-19,404378
2017-06-20,416396
2017-06-21,428933
2017-06-22,433713
2017-06-23,436792
2017-06-24,441851
2017-06-25,444216
2017-06-26,439411
2017-06-27,436531
2017-06-28,427801
2017-06-29,420787
2017-06-30,418146
2017-07-01,416434
2017-07-02,416824
2017-07-03,412298
2017-07-04,415953
2017-07-05,414407
2017-07-06,412306
2017-07-07,412101
2017-07-08,410662
2017-07-13,361132
2017-07-14,355433
2017-07-15,353051
2017-07-16,352218
2017-07-17,346852
2017-07-18,351889
2017-07-19,357077
2017-07-20,357049
2017-07-21,362244
2017-07-22,373806
2017-07-23,386041
2017-07-24,380935
2017-07-25,382281
2017-07-26,391584
2017-07-27,396237
2017-07-28,397245
2017-07-29,393481
2017-07-30,388740
2017-07-31,378855
2017-08-01,378032
2017-08-02,374375
2017-08-03,369008
2017-08-04,370945
2017-08-05,371301
2017-08-06,361450
2017-08-09,369776
2017-08-10,373997
2017-08-11,377270
2017-08-12,375928
2017-08-13,377054
2017-08-14,378244
2017-08-15,388831
2017-08-16,392148
2017-08-17,394387
2017-08-18,410841
2017-08-19,416546
2017-08-20,433316
2017-08-21,440149
2017-08-22,449310
2017-08-23,461785
2017-08-24,461632
2017-08-25,463614
2017-08-26,455652
2017-08-27,460371
2017-08-28,444276
2017-08-29,431369
2017-08-30,417575
2017-08-31,405580
2017-09-01,389633
2017-09-02,373406
2017-09-03,363881
2017-09-04,356063
2017-09-05,345045
2017-09-06,334203
2017-09-07,331016
2017-09-08,332114
2017-09-09,334686
2017-09-10,341140
2017-09-11,344714
2017-09-12,348690
2017-09-13,347347
2017-09-14,342835
2017-09-15,340973
2017-09-16,346636
2017-09-17,352575
2017-09-18,354828
2017-09-19,360112
2017-09-20,359447
2017-09-21,351770
2017-09-22,352726
2017-09-23,345774
2017-09-24,346657
2017-09-25,342668
2017-09-26,337056
2017-09-27,336602
2017-09-28,333130
2017-09-29,333655
2017-09-30,340354
2017-10-01,332973
2017-10-02,327592
2017-10-03,326608
2017-10-04,331363
2017-10-05,335996
2017-10-06,336391
2017-10-07,333609
2017-10-08,336958
2017-10-09,341445
2017-10-10,345267
2017-10-11,350449
2017-10-12,358453
2017-10-13,363113
2017-10-14,367943
2017-10-15,372598
2017-10-16,372680
2017-10-17,373655
2017-10-18,388616
2017-10-19,407954
2017-10-20,428352
2017-10-21,449770
2017-10-22,468717
2017-10-23,478402
2017-10-24,486173
2017-10-25,491189
2017-10-26,491008
2017-10-27,487380
2017-10-28,477669
2017-10-29,477590
2017-10-30,478144
2017-10-31,481226
2017-11-01,480610
2017-11-02,493718
2017-11-03,510720
2017-11-04,530454
2017-11-05,549104
2017-11-06,566398
2017-11-07,556270
2017-11-08,554214
2017-11-09,548305
2017-11-10,552942
2017-11-11,553856
2017-11-12,566976
2017-11-13,559793
2017-11-14,557506
2017-11-15,546828
2017-11-16,532036
2017-11-17,513203
2017-11-18,509056
2017-11-19,503100
2017-11-20,493669
2017-11-21,475310
2017-11-22,465248
2017-11-23,450433
2017-11-24,435316
2017-11-25,421485
2017-11-26,405945
2017-11-27,401467
2017-11-28,393332
2017-11-29,392427
2017-11-30,384261
2017-12-01,391340
2017-12-02,407649
2017-12-03,421605
2017-12-04,422472
2017-12-05,437057
2017-12-06,455663
2017-12-07,474036
2017-12-08,483748
2017-12-09,495367
2017-12-10,487180
2017-12-11,466379
2017-12-12,456158
2017-12-13,455220
2017-12-14,463507
2017-12-15,464669
2017-12-16,465057
2017-12-17,463159
2017-12-18,465157
2017-12-19,480045
2017-12-20,482320
2017-12-21,484528
2017-12-22,485863
2017-12-23,487985
2017-12-24,488851
2017-12-25,491834
2017-12-26,493695
2017-12-27,496137
2017-12-28,498912
2017-12-29,499769
2017-12-30,492801
2017-12-31,484847
2018-01-01,477125
2018-01-02,474151
2018-01-03,461914
2018-01-04,447246
2018-01-05,428566
2018-01-06,418388
2018-01-07,401930
2018-01-08,391150
2018-01-09,391509
2018-01-10,403515
2018-01-11,409966
2018-01-12,408131
2018-01-13,414715
2018-01-14,425499
2018-01-15,439457
2018-01-16,452507
2018-01-17,469591
2018-01-18,467098
2018-01-19,474759
2018-01-20,481326
2018-01-21,483623
2018-01-22,489169
2018-01-23,491338
2018-01-25,494650
2018-01-26,498990
2018-01-27,499617
2018-01-28,498401
2018-01-29,488799
2018-01-30,479191
2018-01-31,481991
2018-02-01,473886
2018-02-02,469615
2018-02-03,465574
2018-02-04,449003
2018-02-05,436546
2018-02-06,431434
2018-02-07,427355
2018-02-08,419073
2018-02-09,425443
2018-02-10,414958
2018-02-11,414120
2018-02-12,410700
2018-02-13,400887
2018-02-14,401736
2018-02-15,402721
2018-02-16,415338
2018-02-17,414561
2018-02-18,418103
2018-02-19,406611
2018-02-20,400184
2018-02-21,404972
2018-02-22,403385
2018-02-23,408431
2018-02-24,413127
2018-02-25,426221
2018-02-26,440056
2018-02-27,435012
2018-02-28,425251
2018-03-01,428990
2018-03-02,428491
2018-03-03,421002
2018-03-04,410816
2018-03-05,415352
2018-03-06,412891
2018-03-07,404349
2018-03-08,402109
2018-03-09,410261
2018-03-10,419864
2018-03-11,419813
2018-03-12,419863
2018-03-13,414256
2018-03-14,418551
2018-03-15,418566
2018-03-16,418831
2018-03-17,416914
2018-03-18,407936
2018-03-19,398340
2018-03-20,393633
2018-03-21,389377
2018-03-23,397504
