date_obj,Ruby price
2018-05-23,1043
2018-05-24,1041
2018-05-25,1041
2018-05-26,1042
2018-05-27,1030
2018-05-28,1022
2018-05-29,1025
2018-05-30,1043
2018-05-31,1069
2018-06-01,1051
2018-06-02,1038
2018-06-03,1036
2018-06-04,1032
2018-06-05,1023
2018-06-06,1026
2018-06-07,1024
2018-06-08,1006
2018-06-09,1012
2018-06-10,1018
2018-06-11,1004
2018-06-12,1001
2018-06-13,986
2018-06-14,971
2018-06-15,957
2018-06-16,955
2018-06-17,969
2018-06-18,992
2018-06-19,1001
2018-06-20,1001
2018-06-21,1012
2018-06-22,999
2018-06-23,992
2018-06-24,987
2018-06-25,997
2018-06-26,1002
2018-06-27,1006
2018-06-28,1004
2018-06-29,1005
2018-06-30,1004
2018-07-01,1011
2018-07-02,1010
2018-07-03,1007
2018-07-04,1024
2018-07-05,1026
2018-07-06,1009
2018-07-07,997
2018-07-08,1005
2018-07-09,1003
2018-07-10,1000
2018-07-11,1007
2018-07-12,1021
2018-07-13,1042
2018-07-14,1052
2018-07-15,1049
2018-07-16,1043
2018-07-17,1058
2018-07-18,1079
2018-07-19,1096
2018-07-20,1106
2018-07-21,1070
2018-07-22,1034
2018-07-23,1028
2018-07-24,1032
2018-07-25,1042
2018-07-26,1033
2018-07-27,1031
2018-07-28,1027
2018-07-29,1028
2018-07-30,1020
2018-07-31,1036
2018-08-01,1048
2018-08-02,1063
2018-08-03,1064
2018-08-04,1053
2018-08-05,1049
2018-08-06,1079
2018-08-07,1130
2018-08-08,1130
2018-08-09,1127
2018-08-10,1130
2018-08-11,1131
2018-08-12,1117
2018-08-14,1064
2018-08-16,1046
2018-08-17,1062
2018-08-18,1065
2018-08-19,1081
2018-08-20,1114
2018-08-21,1102
2018-08-22,1086
2018-08-23,1088
2018-08-24,1091
2018-08-25,1102
2018-08-26,1115
2018-08-27,1119
2018-08-28,1101
2018-08-29,1091
2018-08-30,1078
2018-08-31,1077
2018-09-01,1079
2018-09-02,1081
2018-09-03,1073
2018-09-04,1074
2018-09-05,1085
2018-09-06,1098
2018-09-07,1091
2018-09-08,1089
2018-09-09,1086
2018-09-10,1070
2018-09-11,1097
2018-09-12,1127
2018-09-13,1159
2018-09-14,1173
2018-09-15,1122
2018-09-16,1090
2018-09-17,1093
2018-09-18,1092
2018-09-19,1089
2018-09-20,1087
2018-09-21,1092
2018-09-22,1100
2018-09-23,1104
2018-09-24,1095
2018-09-25,1089
2018-09-26,1074
2018-09-27,1038
2018-09-28,1056
2018-09-29,1075
2018-09-30,1110
2018-10-02,1054
2018-10-03,1070
2018-10-04,1079
2018-10-05,1085
2018-10-06,1073
2018-10-07,1068
2018-10-08,1062
2018-10-09,1079
2018-10-10,1083
2018-10-11,1092
2018-10-12,1091
2018-10-13,1084
2018-10-14,1098
2018-10-15,1084
2018-10-16,1081
2018-10-17,1088
2018-10-18,1102
2018-10-19,1087
2018-10-20,1064
2018-10-21,1069
2018-10-22,1081
2018-10-23,1097
2018-10-24,1105
2018-10-25,1114
2018-10-26,1101
2018-10-27,1080
2018-10-28,1082
2018-10-29,1084
2018-10-30,1083
2018-10-31,1072
