date_obj,Verac's%20flail price
2018-02-09,153116
2018-02-10,152494
2018-02-11,152133
2018-02-12,146386
2018-02-13,147771
2018-02-14,147333
2018-02-15,145230
2018-02-16,149774
2018-02-17,155387
2018-02-18,160874
2018-02-19,161853
2018-02-20,153763
2018-02-21,147585
2018-02-22,150709
2018-02-23,155878
2018-02-24,153296
2018-02-25,153400
2018-02-26,151159
2018-02-27,150336
2018-02-28,157090
2018-03-01,163145
2018-03-02,165058
2018-03-03,166046
2018-03-04,162852
2018-03-05,165483
2018-03-06,163949
2018-03-07,158977
2018-03-08,156644
2018-03-09,157432
2018-03-10,161203
2018-03-11,164678
2018-03-12,162120
2018-03-13,159716
2018-03-14,156585
2018-03-15,157737
2018-03-16,160969
2018-03-17,160152
2018-03-18,158176
2018-03-19,156692
2018-03-20,158919
2018-03-21,156022
2018-03-23,155751
2018-03-24,157967
2018-03-26,163831
2018-03-27,159945
2018-03-28,160415
2018-03-29,161632
2018-03-30,165591
2018-03-31,165184
2018-04-01,165984
2018-04-02,163332
2018-04-03,160606
2018-04-04,163511
2018-04-05,160372
2018-04-06,156634
2018-04-08,161574
2018-04-09,159111
2018-04-10,153971
2018-04-11,155274
2018-04-12,156941
2018-04-13,157983
2018-04-14,162186
2018-04-16,158812
2018-04-17,153252
2018-04-18,154052
2018-04-19,158605
2018-04-20,159925
2018-04-21,159365
2018-04-22,157373
2018-04-23,153399
2018-04-24,154875
2018-04-25,156135
2018-04-26,152964
2018-04-27,153762
2018-04-28,154335
2018-04-29,153157
2018-04-30,156575
2018-05-02,155912
2018-05-03,155679
2018-05-04,152267
2018-05-05,152316
2018-05-06,158042
2018-05-07,159486
2018-05-08,164517
2018-05-09,164689
2018-05-10,159498
2018-05-11,151745
2018-05-12,153923
2018-05-13,156727
2018-05-14,158553
2018-05-15,155595
2018-05-16,160362
2018-05-17,166223
2018-05-18,165508
2018-05-19,161097
2018-05-20,161796
2018-05-21,158111
2018-05-22,156936
2018-05-23,155253
2018-05-24,158593
2018-05-25,162102
2018-05-26,167427
2018-05-27,174928
2018-05-28,178319
2018-05-29,169860
2018-05-30,162194
2018-05-31,161089
2018-06-01,163843
2018-06-02,160480
2018-06-03,156304
2018-06-04,156203
2018-06-05,156991
2018-06-06,156655
2018-06-07,152042
2018-06-08,151855
2018-06-09,150447
2018-06-10,150969
2018-06-11,147360
2018-06-12,145239
2018-06-13,144869
2018-06-14,147773
2018-06-15,145658
2018-06-16,146733
2018-06-17,151691
2018-06-18,155919
2018-06-19,154041
2018-06-20,152254
2018-06-21,149232
2018-06-22,146967
2018-06-23,147010
2018-06-24,149563
2018-06-25,151645
2018-06-26,153268
2018-06-27,150390
2018-06-28,146838
2018-06-29,147514
2018-06-30,148103
2018-07-01,152215
2018-07-02,154771
2018-07-03,156228
2018-07-04,151739
2018-07-05,151324
2018-07-06,150368
2018-07-07,151269
2018-07-08,149592
2018-07-09,149439
2018-07-10,149856
2018-07-11,147703
2018-07-12,147683
2018-07-13,148467
2018-07-14,149722
2018-07-15,154621
2018-07-16,153850
2018-07-17,150524
2018-07-18,151900
2018-07-19,150210
2018-07-20,147554
2018-07-21,145554
2018-07-22,145603
2018-07-23,143303
2018-07-24,148295
2018-07-25,151709
2018-07-26,148337
2018-07-27,148689
2018-07-28,151103
2018-07-29,155817
2018-07-30,156679
2018-07-31,154538
2018-08-01,151605
2018-08-02,149212
2018-08-03,148164
2018-08-04,149842
2018-08-05,155484
2018-08-06,152750
2018-08-07,148757
2018-08-08,145033
2018-08-09,149174
2018-08-10,150401
2018-08-11,155551
2018-08-12,158978
2018-08-14,152580
2018-08-16,148000
2018-08-17,152222
2018-08-18,159007
2018-08-19,154045
2018-08-20,154856
2018-08-21,149425
2018-08-22,152876
2018-08-23,156654
2018-08-24,161007
2018-08-25,168699
2018-08-26,176529
2018-08-27,181909
2018-08-28,178196
2018-08-29,170508
2018-08-30,166157
2018-08-31,169269
2018-09-01,168431
2018-09-02,168448
2018-09-03,175230
2018-09-04,174971
2018-09-05,171420
2018-09-06,169144
2018-09-07,167165
2018-09-08,163867
2018-09-09,162838
2018-09-10,159481
2018-09-11,164940
2018-09-12,162999
2018-09-13,164067
2018-09-14,162253
2018-09-15,162460
2018-09-16,162545
2018-09-17,162804
2018-09-18,168023
2018-09-19,173971
2018-09-20,171158
2018-09-21,173339
2018-09-22,178082
2018-09-23,185238
2018-09-24,179373
2018-09-25,176824
2018-09-26,176051
2018-09-27,176710
2018-09-28,169769
2018-09-29,162738
2018-09-30,160775
2018-10-02,156727
2018-10-03,154995
2018-10-04,155617
2018-10-05,155693
2018-10-06,155521
2018-10-07,155449
2018-10-08,150735
2018-10-09,148943
2018-10-10,151805
2018-10-11,154335
2018-10-12,156187
2018-10-13,153988
2018-10-14,153711
2018-10-15,150891
2018-10-16,149967
2018-10-17,152591
2018-10-18,154074
2018-10-19,152303
2018-10-20,152021
2018-10-21,149853
2018-10-22,147826
2018-10-23,149045
2018-10-24,149249
2018-10-25,149404
2018-10-26,151301
2018-10-27,154711
2018-10-28,153580
2018-10-29,153377
2018-10-30,153836
2018-10-31,154688
2018-11-01,157167
2018-11-03,157588
2018-11-04,154560
2018-11-05,158418
2018-11-06,162173
2018-11-07,163214
2018-11-08,166449
2018-11-09,164639
2018-11-10,164791
2018-11-11,170582
2018-11-12,172227
2018-11-13,171676
2018-11-14,170211
2018-11-15,174285
2018-11-16,171490
2018-11-17,169661
2018-11-18,173316
2018-11-19,171323
2018-11-20,169146
2018-11-21,165216
2018-11-22,165099
2018-11-23,159168
2018-11-24,160204
2018-11-25,161774
2018-11-26,165845
2018-11-27,163637
2018-11-28,161509
2018-11-29,161553
2018-12-01,172164
2018-12-02,173160
2018-12-03,164715
2018-12-04,162903
2018-12-05,160499
2018-12-07,159159
2018-12-09,153847
2018-12-10,154074
2018-12-11,152058
2018-12-12,152702
2018-12-13,150012
2018-12-14,147487
2018-12-15,146761
2018-12-16,148175
2018-12-17,149601
2018-12-18,147700
2018-12-19,145218
2018-12-20,145658
2018-12-21,141949
2018-12-22,141133
2018-12-23,145145
2018-12-24,148417
2018-12-25,149860
2018-12-26,151139
2018-12-27,150391
2018-12-28,147939
2018-12-29,145561
2018-12-30,145044
2018-12-31,144741
2019-01-01,146320
2019-01-02,149394
2019-01-03,151477
2019-01-04,151061
2019-01-05,146010
2019-01-06,145683
2019-01-08,145376
2019-01-10,141152
2019-01-11,136040
2019-01-12,134913
2019-01-13,133155
2019-01-14,133417
2019-01-15,137375
2019-01-16,140871
2019-01-17,146576
2019-01-18,143053
2019-01-19,143827
2019-01-20,141885
2019-01-21,144229
2019-01-22,148184
2019-01-23,145441
2019-01-24,146907
2019-01-25,143797
2019-01-26,145487
2019-01-27,145229
2019-01-28,148137
2019-01-29,149525
2019-01-30,149910
2019-01-31,149925
2019-02-01,150405
2019-02-02,153106
2019-02-03,153459
2019-02-04,148063
2019-02-05,146601
2019-02-06,145645
2019-02-07,147032
2019-02-08,149176
2019-02-09,150237
2019-02-10,147413
2019-02-11,146643
2019-02-12,144209
2019-02-13,144509
2019-02-14,141967
2019-02-15,142450
2019-02-16,143983
2019-02-17,144109
2019-02-18,145670
2019-02-19,145815
2019-02-20,145766
2019-02-21,150289
2019-02-22,153383
2019-02-23,155728
2019-02-24,156055
2019-02-25,152525
2019-02-26,152149
2019-02-27,150796
2019-02-28,146504
2019-03-01,142326
2019-03-02,139956
2019-03-03,140659
2019-03-04,144070
2019-03-05,148301
2019-03-06,149367
2019-03-07,148382
2019-03-08,147830
2019-03-09,149280
2019-03-10,150937
2019-03-11,147372
2019-03-12,144677
2019-03-13,144073
2019-03-14,146458
2019-03-15,149701
2019-03-16,154187
2019-03-17,154573
2019-03-18,151847
2019-03-19,149114
2019-03-20,146456
2019-03-21,147457
2019-03-22,149918
2019-03-23,148903
2019-03-24,149829
2019-03-25,149808
2019-03-26,146463
2019-03-27,145883
2019-03-28,145923
2019-03-29,145655
2019-03-30,146480
2019-03-31,149788
2019-04-01,147800
2019-04-02,145971
