date_obj,Light%20trousers price
2017-03-18,1897252
2017-03-19,1897252
2017-03-20,1897252
2017-03-21,1897252
2017-03-22,1897252
2017-03-23,1897252
2017-03-24,1897252
2017-03-25,1897252
2017-03-26,1897252
2017-03-27,1897252
2017-03-28,1897252
2017-03-29,1897252
2017-03-30,1897252
2017-03-31,1897252
2017-04-01,1897252
2017-04-02,1897252
2017-04-03,1897252
2017-04-04,1897252
2017-04-12,1897252
2017-04-13,1897252
2017-04-14,1804016
2017-04-15,1804016
2017-04-16,1804016
2017-04-17,1804016
2017-04-18,1804016
2017-04-19,1804016
2017-04-20,1804016
2017-04-21,1804016
2017-04-22,1804016
2017-04-23,1804016
2017-04-24,1804016
2017-04-25,1804016
2017-04-26,1804016
2017-04-27,1804016
2017-04-28,1804016
2017-04-29,1804016
2017-04-30,1804016
2017-05-01,1804016
2017-05-02,1804016
2017-05-03,1804016
2017-05-04,1804016
2017-05-05,1804016
2017-05-06,1804016
2017-05-07,1804016
2017-05-08,1804016
2017-05-09,1804016
2017-05-10,1804016
2017-05-11,1804016
2017-05-12,1804016
2017-05-13,1804016
2017-05-14,1804016
2017-05-15,1804016
2017-05-16,1804016
2017-05-17,1804016
2017-05-18,1804016
2017-05-19,1804016
2017-05-20,1804016
2017-05-21,1804016
2017-05-22,1804016
2017-05-23,1804016
2017-05-24,1804016
2017-05-25,1804016
2017-05-26,1804016
2017-05-27,1804016
2017-05-28,1804016
2017-05-29,1804016
2017-05-30,1804016
2017-05-31,1804016
2017-06-01,1804016
2017-06-02,1804016
2017-06-03,1804016
2017-06-06,1804016
2017-06-07,1804016
2017-06-08,1804016
2017-06-09,1804016
2017-06-10,1804016
2017-06-11,1714682
2017-06-12,1714682
2017-06-13,1714682
2017-06-14,1714682
2017-06-15,1714682
2017-06-16,1714682
2017-06-17,1714682
2017-06-18,1714682
2017-06-19,1714682
2017-06-20,1714682
2017-06-21,1714682
2017-06-22,1714682
2017-06-23,1714682
2017-06-24,1714682
2017-06-25,1714682
2017-06-26,1714682
2017-06-27,1714682
2017-06-28,1714682
2017-06-29,1714682
2017-06-30,1714682
2017-07-01,1714682
2017-07-02,1714682
2017-07-03,1714682
2017-07-04,1714682
2017-07-05,1714682
