date_obj,Maple%20blackjack(d) price
2017-04-17,1641
2017-04-18,1641
2017-04-19,1641
2017-04-20,1641
2017-04-21,1641
2017-04-22,1641
2017-04-23,1641
2017-04-24,1641
2017-04-25,1641
2017-04-26,1641
2017-04-27,1697
2017-04-28,1697
2017-04-29,1697
2017-04-30,1697
2017-05-01,1697
2017-05-02,1697
2017-05-03,1697
2017-05-04,1697
2017-05-05,1697
2017-05-06,1697
2017-05-07,1697
2017-05-08,1697
2017-05-09,1697
2017-05-10,1697
2017-05-11,1779
2017-05-12,1779
2017-05-13,1779
2017-05-14,1779
2017-05-15,1779
2017-05-16,1779
2017-05-17,1779
2017-05-18,1779
2017-05-19,1779
2017-05-20,1779
2017-05-21,1779
2017-05-22,1779
2017-05-23,1779
2017-05-24,1779
2017-05-25,1779
2017-05-26,1823
2017-05-27,1823
2017-05-28,1823
2017-05-29,1823
2017-05-30,1823
2017-05-31,1823
2017-06-01,1823
2017-06-02,1823
2017-06-03,1823
2017-06-06,1845
2017-06-07,1845
2017-06-08,1845
2017-06-09,1845
2017-06-10,1845
2017-06-11,1845
2017-06-12,1845
2017-06-13,1845
2017-06-14,1845
2017-06-15,1845
2017-06-16,1845
2017-06-17,1845
2017-06-18,1903
2017-06-19,1903
2017-06-20,1903
2017-06-21,1903
2017-06-22,1903
2017-06-23,1903
2017-06-24,1903
2017-06-25,1903
2017-06-26,1903
2017-06-27,1903
2017-06-28,1903
2017-06-29,1903
2017-06-30,1903
2017-07-01,1903
2017-07-02,1903
2017-07-03,1903
2017-07-04,1948
2017-07-05,1948
2017-07-06,1948
2017-07-07,1948
2017-07-08,1948
2017-07-13,1948
2017-07-14,1948
2017-07-15,1948
2017-07-16,1948
2017-07-17,1948
2017-07-18,1948
2017-07-19,1948
2017-07-20,1948
2017-07-21,1948
2017-07-22,2004
2017-07-23,2004
2017-07-24,2004
2017-07-25,2004
2017-07-26,2004
2017-07-27,2004
2017-07-28,2004
2017-07-29,2004
2017-07-30,2004
2017-07-31,2004
2017-08-01,2004
2017-08-02,2004
2017-08-03,2004
2017-08-04,2004
2017-08-05,2004
2017-08-06,2004
2017-08-09,2075
2017-08-10,2075
2017-08-11,2075
2017-08-12,2075
2017-08-13,2075
2017-08-14,2075
2017-08-15,2075
2017-08-16,2075
2017-08-17,2075
2017-08-18,2075
2017-08-19,2075
2017-08-20,2075
2017-08-21,2075
2017-08-22,2075
2017-08-23,2075
2017-08-24,2075
2017-08-25,2075
2017-08-26,2142
2017-08-27,2142
2017-08-28,2142
2017-08-29,2142
2017-08-30,2142
2017-08-31,2142
2017-09-01,2142
2017-09-02,2142
2017-09-03,2142
2017-09-04,2142
2017-09-05,2142
2017-09-06,2142
2017-09-07,2142
2017-09-08,2142
2017-09-10,2142
2017-09-11,2214
2017-09-12,2214
2017-09-13,2214
2017-09-14,2214
2017-09-15,2214
2017-09-16,2214
2017-09-17,2214
2017-09-19,2214
2017-09-20,2214
2017-09-21,2214
2017-09-22,2214
2017-09-23,2214
2017-09-24,2214
2017-09-25,2214
2017-09-26,2214
2017-09-27,2214
2017-09-28,2214
2017-09-29,2214
2017-09-30,2214
2017-10-01,2281
2017-10-02,2281
2017-10-03,2281
2017-10-04,2281
2017-10-05,2281
2017-10-06,2281
2017-10-07,2281
2017-10-08,2281
2017-10-09,2281
2017-10-10,2281
2017-10-11,2281
2017-10-12,2281
2017-10-13,2281
2017-10-14,2281
2017-10-15,2281
2017-10-16,2281
2017-10-17,2281
2017-10-18,2377
2017-10-19,2377
2017-10-20,2377
2017-10-21,2377
2017-10-22,2377
2017-10-23,2377
2017-10-24,2377
2017-10-25,2377
2017-10-26,2377
2017-10-27,2377
2017-10-28,2377
2017-10-29,2377
2017-10-30,2377
2017-10-31,2377
2017-11-02,2377
2017-11-03,2377
2017-11-04,2377
2017-11-05,2377
2017-11-06,2377
2017-11-07,2377
2017-11-08,2486
2017-11-09,2486
2017-11-10,2486
2017-11-11,2486
2017-11-12,2486
2017-11-13,2486
2017-11-14,2486
2017-11-15,2486
2017-11-16,2486
2017-11-17,2486
2017-11-18,2486
2017-11-19,2486
2017-11-20,2486
2017-11-21,2486
2017-11-22,2486
2017-11-23,2486
2017-11-24,2486
2017-11-25,2486
2017-11-26,2486
2017-11-27,2486
2017-11-28,2529
2017-11-29,2529
2017-11-30,2529
2017-12-01,2529
2017-12-02,2529
2017-12-03,2529
2017-12-04,2529
2017-12-05,2529
2017-12-06,2529
2017-12-07,2529
2017-12-08,2529
2017-12-09,2529
2017-12-10,2529
2017-12-11,2529
2017-12-12,2529
2017-12-14,2529
2017-12-15,2529
2017-12-17,2610
2017-12-18,2610
2017-12-19,2610
2017-12-20,2610
2017-12-21,2610
2017-12-22,2610
2017-12-23,2610
2017-12-24,2610
2017-12-25,2610
2017-12-26,2610
2017-12-27,2610
2017-12-28,2610
2017-12-29,2610
2017-12-30,2610
2017-12-31,2610
2018-01-01,2610
2018-01-02,2610
2018-01-03,2602
2018-01-04,2602
2018-01-05,2602
2018-01-06,2602
2018-01-07,2602
2018-01-08,2602
2018-01-09,2602
2018-01-10,2602
2018-01-11,2602
2018-01-12,2602
2018-01-13,2602
2018-01-14,2602
2018-01-15,2602
2018-01-16,2611
2018-01-17,2611
2018-01-18,2611
2018-01-19,2611
2018-01-20,2611
2018-01-21,2611
2018-01-22,2611
2018-01-23,2611
2018-01-25,2735
2018-01-26,2735
2018-01-27,2735
2018-01-28,2735
2018-01-29,2735
2018-01-31,2857
2018-02-01,2857
2018-02-02,2857
2018-02-03,2857
2018-02-04,2857
2018-02-05,2857
2018-02-06,2857
2018-02-07,2979
2018-02-08,2979
2018-02-09,2979
2018-02-10,2979
2018-02-11,2979
2018-02-12,2979
2018-02-13,2979
2018-02-14,3053
2018-02-15,3053
2018-02-16,3053
2018-02-17,3053
2018-02-18,3053
2018-02-19,3053
2018-02-20,3085
2018-02-21,3085
2018-02-22,3085
2018-02-23,3085
2018-02-24,3085
2018-02-25,3085
2018-02-26,3085
2018-02-27,3118
2018-02-28,3118
2018-03-01,3118
2018-03-02,3118
2018-03-03,3118
2018-03-04,3118
2018-03-05,3118
2018-03-06,3140
2018-03-07,3140
2018-03-08,3140
2018-03-09,3140
2018-03-10,3140
2018-03-11,3140
2018-03-12,3055
2018-03-13,3055
2018-03-14,3055
2018-03-15,3055
2018-03-16,3055
2018-03-17,3055
2018-03-18,3043
2018-03-19,3043
2018-03-20,3043
2018-03-21,3043
2018-03-23,3043
2018-03-24,3108
2018-03-26,3108
2018-03-27,3108
2018-03-28,3189
2018-03-29,3189
2018-03-30,3189
2018-03-31,3189
2018-04-01,3189
2018-04-02,3307
2018-04-03,3307
2018-04-04,3307
2018-04-05,3307
2018-04-06,3362
2018-04-07,3362
2018-04-08,3362
2018-04-09,3362
2018-04-10,3362
2018-04-11,3444
2018-04-12,3444
2018-04-13,3444
2018-04-14,3444
2018-04-15,3444
2018-04-16,3504
2018-04-17,3504
2018-04-18,3504
2018-04-19,3504
2018-04-20,3504
2018-04-21,3629
2018-04-22,3629
2018-04-23,3629
2018-04-24,3629
2018-04-25,3629
2018-04-26,3629
2018-04-27,3689
2018-04-28,3689
2018-04-29,3689
2018-04-30,3689
2018-05-01,3689
2018-05-04,3714
2018-05-05,3714
2018-05-06,3714
2018-05-07,3721
2018-05-08,3721
2018-05-09,3721
2018-05-10,3721
2018-05-11,3670
2018-05-12,3670
2018-05-13,3670
2018-05-14,3670
2018-05-15,3670
2018-05-16,3755
2018-05-17,3755
2018-05-18,3755
2018-05-19,3755
2018-05-20,3788
2018-05-21,3788
2018-05-22,3788
2018-05-23,3788
2018-05-24,3845
2018-05-25,3845
2018-05-26,3845
2018-05-27,3845
2018-05-28,3891
2018-05-29,3891
2018-05-30,3891
2018-05-31,3891
2018-06-01,3926
2018-06-02,3926
2018-06-03,3926
2018-06-04,3926
2018-06-05,4115
2018-06-06,4115
2018-06-07,4115
2018-06-08,4115
2018-06-09,4295
2018-06-10,4295
2018-06-11,4295
2018-06-12,4295
2018-06-13,4329
2018-06-14,4329
2018-06-15,4329
2018-06-16,4329
2018-06-17,4263
2018-06-18,4263
2018-06-19,4263
2018-06-20,4263
2018-06-21,4160
2018-06-22,4160
2018-06-23,4160
2018-06-24,4160
2018-06-25,4120
2018-06-26,4120
2018-06-27,4120
2018-06-28,4120
2018-06-29,4107
2018-06-30,4107
2018-07-01,4107
2018-07-02,4107
2018-07-03,4038
2018-07-04,4038
2018-07-05,4038
2018-07-06,4038
2018-07-07,4067
2018-07-08,4067
2018-07-09,4067
2018-07-10,4067
2018-07-11,4101
2018-07-12,4101
2018-07-13,4101
2018-07-14,4101
2018-07-15,4128
2018-07-16,4128
2018-07-17,4128
2018-07-18,4128
2018-07-19,4173
2018-07-20,4173
2018-07-21,4173
2018-07-22,4173
2018-07-23,4250
2018-07-24,4250
2018-07-25,4250
2018-07-26,4250
2018-07-27,4071
2018-07-28,4071
2018-07-29,4071
2018-07-30,4071
2018-07-31,3919
2018-08-01,3919
2018-08-02,3919
2018-08-03,3919
2018-08-04,3948
2018-08-05,3948
2018-08-06,3948
2018-08-07,3948
2018-08-08,4140
2018-08-09,4140
2018-08-10,4140
2018-08-11,4140
2018-08-12,4121
2018-08-14,4121
2018-08-16,3978
2018-08-17,3978
2018-08-18,3978
2018-08-19,3781
2018-08-20,3781
2018-08-21,3781
2018-08-22,3676
2018-08-23,3676
2018-08-24,3676
2018-08-25,3857
2018-08-26,3857
2018-08-27,3857
2018-08-28,4017
2018-08-29,4017
2018-08-30,4017
2018-08-31,4017
2018-09-01,4091
2018-09-02,4091
2018-09-03,4091
2018-09-04,4199
2018-09-05,4199
2018-09-06,4199
2018-09-07,4199
2018-09-08,4339
2018-09-09,4339
2018-09-10,4339
2018-09-11,4339
2018-09-12,4416
2018-09-13,4416
2018-09-14,4416
2018-09-15,4456
2018-09-16,4456
2018-09-17,4456
2018-09-18,4456
2018-09-19,4384
2018-09-20,4384
2018-09-21,4384
2018-09-22,4316
2018-09-23,4316
2018-09-24,4316
2018-09-25,4316
2018-09-26,4100
2018-09-27,4100
2018-09-28,4100
2018-09-29,3898
2018-09-30,3898
2018-10-02,3716
2018-10-03,3716
2018-10-04,3716
2018-10-05,3716
2018-10-06,3530
2018-10-07,3530
2018-10-08,3530
2018-10-09,3530
2018-10-10,3353
2018-10-11,3353
2018-10-12,3353
2018-10-13,3353
2018-10-14,3185
2018-10-15,3185
2018-10-16,3185
2018-10-17,3185
2018-10-18,3033
2018-10-19,3033
2018-10-20,3033
2018-10-21,3044
2018-10-22,3044
2018-10-23,3044
2018-10-24,2898
2018-10-25,2898
2018-10-26,2898
2018-10-27,2898
2018-10-28,2951
2018-10-29,2951
2018-10-30,2951
2018-10-31,2951
2018-11-01,2951
2018-11-03,3008
2018-11-04,3008
2018-11-05,2992
2018-11-06,2992
2018-11-07,2992
2018-11-08,2992
2018-11-09,3073
2018-11-10,3073
2018-11-11,3073
2018-11-12,3126
2018-11-13,3126
2018-11-14,3126
2018-11-15,3127
2018-11-16,3127
2018-11-17,3127
2018-11-18,3145
2018-11-19,3145
2018-11-20,3251
2018-11-21,3251
2018-11-22,3251
2018-11-23,3357
2018-11-24,3357
2018-11-25,3479
2018-11-26,3479
2018-11-27,3548
2018-11-28,3548
2018-11-29,3598
2018-12-01,3499
2018-12-02,3499
2018-12-03,3499
2018-12-04,3419
2018-12-05,3419
2018-12-07,3471
2018-12-09,3476
2018-12-10,3476
2018-12-11,3317
2018-12-12,3317
2018-12-13,3317
2018-12-14,3343
2018-12-15,3343
2018-12-16,3487
2018-12-17,3487
2018-12-18,3507
2018-12-19,3507
2018-12-20,3507
2018-12-21,3618
2018-12-22,3618
2018-12-23,3732
2018-12-24,3732
2018-12-25,3732
2018-12-26,3838
2018-12-27,3838
2018-12-28,3898
2018-12-29,3898
2018-12-30,3934
2018-12-31,3934
2019-01-01,3934
2019-01-02,3986
2019-01-03,3986
2019-01-04,3986
2019-01-05,4038
2019-01-06,4038
2019-01-08,4152
2019-01-10,4094
2019-01-11,4094
2019-01-12,3992
2019-01-13,3992
2019-01-14,3916
2019-01-15,3916
2019-01-16,3916
2019-01-17,3808
2019-01-18,3808
2019-01-19,3674
2019-01-20,3674
2019-01-22,3667
2019-01-23,3718
2019-01-24,3718
