date_obj,Tribal%20top%20(blue) price
2017-05-31,6378
2017-06-01,6378
2017-06-02,6378
2017-06-03,6378
2017-06-04,6378
2017-06-05,6378
2017-06-06,6378
2017-06-07,6378
2017-06-08,6059
2017-06-09,6059
2017-06-10,6059
2017-06-11,6059
2017-06-12,6059
2017-06-13,5799
2017-06-14,5799
2017-06-15,5799
2017-06-16,5799
2017-06-17,5799
2017-06-18,5799
2017-06-19,5799
2017-06-20,5799
2017-06-21,5799
2017-06-22,5799
2017-06-23,5921
2017-06-24,5921
2017-06-25,5921
2017-06-26,5921
2017-06-27,5921
2017-06-28,5921
2017-06-29,5921
2017-06-30,5921
2017-07-01,5921
2017-07-02,5921
2017-07-03,6009
2017-07-04,6009
2017-07-05,6009
2017-07-06,6009
2017-07-07,6009
2017-07-08,6009
2017-07-09,6009
2017-07-10,6009
2017-07-11,6009
2017-07-12,6009
2017-07-13,6009
2017-07-14,6009
2017-07-15,6009
2017-07-16,5831
2017-07-17,5831
2017-07-18,5831
2017-07-19,5831
2017-07-20,5831
2017-07-21,5831
2017-07-22,5831
2017-07-23,5831
2017-07-24,5831
2017-07-25,5831
2017-07-26,5831
2017-07-27,5895
2017-07-28,5895
2017-07-29,5895
2017-07-30,5895
2017-07-31,5895
2017-08-01,5895
2017-08-02,5895
2017-08-03,5895
2017-08-04,5895
2017-08-05,5895
2017-08-06,5895
2017-08-07,5655
2017-08-08,5655
2017-08-09,5655
2017-08-10,5655
2017-08-11,5655
2017-08-12,5655
2017-08-13,5655
2017-08-14,5655
2017-08-15,5655
2017-08-16,5541
2017-08-17,5541
2017-08-18,5541
2017-08-19,5541
2017-08-20,5541
2017-08-21,5541
2017-08-22,5541
2017-08-23,5541
2017-08-24,5541
2017-08-25,5388
2017-08-26,5388
2017-08-27,5388
2017-08-28,5388
2017-08-29,5388
2017-08-30,5388
2017-08-31,5388
2017-09-01,5388
2017-09-02,5388
2017-09-03,5388
2017-09-04,5206
2017-09-05,5206
2017-09-06,5206
2017-09-07,5206
2017-09-08,5206
2017-09-09,5206
2017-09-10,5206
2017-09-11,5206
2017-09-12,5206
2017-09-13,5206
2017-09-14,5360
2017-09-15,5360
2017-09-16,5360
2017-09-17,5360
2017-09-18,5360
2017-09-19,5360
2017-09-20,5360
2017-09-21,5360
2017-09-22,5360
2017-09-23,5360
2017-09-24,5360
2017-09-25,5360
2017-09-26,5360
2017-09-27,5496
2017-09-28,5496
2017-09-29,5496
2017-09-30,5496
2017-10-01,5496
2017-10-02,5496
2017-10-03,5496
2017-10-04,5496
2017-10-05,5496
2017-10-06,5496
2017-10-07,5496
2017-10-08,5496
2017-10-09,5623
2017-10-10,5623
2017-10-11,5623
2017-10-12,5623
2017-10-13,5623
2017-10-14,5623
2017-10-15,5623
2017-10-16,5623
2017-10-17,5623
2017-10-18,5623
2017-10-19,5578
2017-10-20,5578
2017-10-21,5578
2017-10-22,5578
2017-10-23,5578
2017-10-24,5578
2017-10-25,5578
2017-10-26,5578
2017-10-27,5578
2017-10-28,5653
2017-10-29,5653
2017-10-30,5653
2017-10-31,5653
2017-11-01,5653
2017-11-02,5653
2017-11-03,5653
2017-11-04,5653
2017-11-05,5637
2017-11-06,5637
2017-11-07,5637
2017-11-08,5637
2017-11-09,5637
2017-11-10,5637
2017-11-11,5637
2017-11-12,5637
2017-11-13,5637
2017-11-14,5637
2017-11-15,5637
2017-11-16,5637
2017-11-17,5672
2017-11-18,5672
2017-11-19,5672
2017-11-20,5672
2017-11-21,5672
2017-11-22,5672
2017-11-23,5672
2017-11-24,5672
2017-11-25,5672
