date_obj,Gloves%20of%20silence price
2019-03-25,2722
2019-03-26,2614
2019-03-27,2614
2019-03-28,2648
2019-03-29,2699
2019-03-30,2699
2019-03-31,2829
2019-04-01,2906
2019-04-02,2849
2019-04-03,2789
2019-04-04,2808
2019-04-05,2942
2019-04-06,2942
2019-04-07,2976
2019-04-08,2897
2019-04-09,2796
2019-04-10,2770
2019-04-11,2802
2019-04-12,2809
2019-04-13,2768
2019-04-14,2704
2019-04-15,2630
2019-04-16,2559
2019-04-17,2515
2019-04-18,2496
2019-04-19,2426
2019-04-20,2395
2019-04-21,2343
2019-04-22,2296
2019-04-23,2209
2019-04-24,2099
2019-04-25,2077
2019-04-26,2134
2019-04-27,2201
2019-04-28,2190
2019-04-29,2161
2019-04-30,2169
2019-05-01,2204
2019-05-02,2233
2019-05-03,2235
2019-05-04,2241
2019-05-05,2340
2019-05-06,2380
2019-05-07,2416
2019-05-08,2399
2019-05-09,2427
2019-05-10,2484
2019-05-11,2469
2019-05-12,2535
2019-05-13,2537
2019-05-14,2481
2019-05-15,2481
2019-05-16,2424
2019-05-17,2424
2019-05-18,2431
2019-05-19,2374
2019-05-20,2342
2019-05-21,2254
2019-05-22,2174
2019-05-23,2160
2019-05-24,2132
2019-05-25,2145
2019-05-26,2196
2019-05-27,2129
2019-05-28,2078
2019-05-29,2085
2019-05-30,2099
2019-05-31,2099
2019-06-01,2150
2019-06-02,2148
2019-06-03,2112
2019-06-04,2100
2019-06-05,2110
2019-06-06,2110
2019-06-07,2152
2019-06-08,2178
2019-06-09,2220
2019-06-10,2220
2019-06-11,2213
2019-06-12,2206
2019-06-13,2178
2019-06-14,2140
2019-06-15,2127
2019-06-16,2130
2019-06-17,2075
2019-06-18,2075
2019-06-19,2082
2019-06-20,2121
2019-06-21,2222
2019-06-22,2222
2019-06-23,2330
2019-06-24,2400
2019-06-25,2391
2019-06-26,2445
2019-06-27,2488
2019-06-28,2488
2019-06-29,2572
2019-06-30,2668
2019-07-01,2668
2019-07-02,2768
2019-07-03,2907
2019-07-04,2907
2019-07-05,3045
2019-07-06,3198
2019-07-07,3308
2019-07-08,3415
2019-07-09,3443
2019-07-10,3519
2019-07-11,3519
2019-07-12,3551
2019-07-13,3551
2019-07-14,3580
2019-07-15,3580
2019-07-16,3755
2019-07-17,3848
2019-07-18,3848
2019-07-19,3872
2019-07-20,3862
2019-07-21,3973
2019-07-22,4015
2019-07-23,4068
2019-07-24,4068
2019-07-25,3898
2019-07-26,3816
2019-07-27,3675
2019-07-28,3571
2019-07-29,3405
2019-07-30,3274
2019-07-31,3155
2019-08-01,3155
2019-08-02,3006
2019-08-03,2900
2019-08-04,2809
2019-08-05,2734
2019-08-06,2717
2019-08-07,2675
2019-08-08,2675
2019-08-09,2745
2019-08-10,2650
2019-08-11,2541
2019-08-12,2476
2019-08-13,2526
2019-08-14,2569
2019-08-15,2624
2019-08-16,2716
2019-08-17,2716
2019-08-18,2758
2019-08-19,2629
2019-08-20,2629
2019-08-21,2525
2019-08-22,2416
2019-08-23,2416
2019-08-24,2309
2019-08-24,2309
2019-08-25,2309
2019-08-25,2309
2019-08-26,2251
2019-08-26,2251
2019-08-27,2214
2019-08-27,2214
2019-08-28,2162
2019-08-29,2162
2019-08-30,2138
2019-08-31,2138
2019-09-01,2045
2019-09-02,2045
2019-09-03,1945
2019-09-04,1859
2019-09-05,1859
2019-09-06,1870
2019-09-07,1961
2019-09-08,2050
2019-09-09,2050
2019-09-10,2137
2019-09-11,2244
2019-09-12,2329
2019-09-13,2329
2019-09-14,2323
2019-09-15,2206
2019-09-16,2202
2019-09-17,2202
2019-09-18,2245
2019-09-19,2245
2019-09-20,2321
2019-09-21,2418
2019-09-22,2523
2019-09-23,2619
2019-09-24,2619
2019-09-25,2742
2019-09-26,2853
2019-09-27,2853
2019-09-28,2991
2019-09-29,2991
2019-09-30,3080
2019-10-01,3074
2019-10-02,3074
2019-10-03,3015
2019-10-04,3015
2019-10-05,3035
2019-10-06,3163
2019-10-07,3163
2019-10-08,3317
2019-10-09,3317
2019-10-10,3454
2019-10-11,3454
2019-10-12,3627
2019-10-13,3643
2019-10-14,3503
2019-10-15,3503
2019-10-16,3468
2019-10-17,3468
2019-10-18,3444
2019-10-19,3476
2019-10-20,3476
2019-10-21,3338
2019-10-22,3338
2019-10-23,3191
2019-10-24,3032
2019-10-25,2946
2019-10-26,3053
2019-10-27,3053
2019-10-28,3179
2019-10-29,3179
2019-10-30,3260
2019-10-31,3296
2019-11-01,3296
2019-11-02,3309
2019-11-03,3322
2019-11-04,3264
2019-11-05,3264
2019-11-06,3333
2019-11-07,3400
2019-11-08,3432
2019-11-09,3381
2019-11-10,3335
2019-11-11,3345
2019-11-12,3345
2019-11-13,3353
2019-11-14,3353
2019-11-15,3366
2019-11-16,3445
2019-11-17,3445
2019-11-18,3364
2019-11-19,3364
2019-11-20,3395
2019-11-21,3395
2019-11-22,3339
2019-11-23,3339
2019-11-24,3237
2019-11-25,3237
2019-11-26,3082
2019-11-27,3082
2019-11-28,3094
2019-11-29,3094
2019-11-30,3048
2019-12-01,3048
2019-12-02,3056
2019-12-03,3056
2019-12-04,3107
2019-12-05,3107
2019-12-06,3084
2019-12-07,3084
2019-12-08,3084
2019-12-09,3030
2019-12-10,3102
2019-12-11,3102
2019-12-12,3151
2019-12-13,3151
2019-12-14,3151
2019-12-15,3195
2019-12-16,3195
2019-12-17,3202
2019-12-18,3202
2019-12-19,3231
2019-12-20,3171
2019-12-21,3157
2019-12-22,3206
2019-12-23,3206
2019-12-24,3167
2019-12-25,3221
2019-12-26,3221
2019-12-27,3153
2019-12-28,3178
2019-12-29,3178
2019-12-30,3230
2019-12-31,3320
2020-01-01,3386
2020-01-02,3386
2020-01-03,3386
2020-01-04,3459
2020-01-05,3466
2020-01-06,3466
2020-01-07,3565
2020-01-08,3565
2020-01-09,3692
2020-01-10,3673
2020-01-11,3679
2020-01-12,3663
2020-01-13,3663
2020-01-14,3682
2020-01-15,3602
2020-01-16,3705
2020-01-17,3891
2020-01-18,3891
2020-01-19,3891
2020-01-20,3891
2020-01-21,3875
2020-01-22,3947
2020-01-23,4025
2020-01-24,4135
2020-01-25,3979
2020-01-26,4064
2020-01-27,4186
2020-01-28,4351
2020-01-29,4468
2020-01-30,4397
2020-01-31,4312
2020-02-01,4162
2020-02-02,4124
2020-02-03,4008
2020-02-04,4117
2020-02-05,4274
2020-02-06,4321
2020-02-07,4373
2020-02-08,4302
2020-02-09,4238
2020-02-10,4194
2020-02-11,4194
2020-02-12,4195
2020-02-13,4195
2020-02-14,4129
2020-02-15,4129
2020-02-16,4073
2020-02-17,4024
2020-02-18,4134
2020-02-19,4134
2020-02-20,4144
2020-02-21,4144
2020-02-22,4054
2020-02-23,4058
2020-02-24,4149
2020-02-25,4357
2020-02-26,4530
2020-02-27,4472
2020-02-28,4451
2020-02-29,4451
2020-03-01,4419
2020-03-02,4442
2020-03-03,4241
2020-03-04,4241
2020-03-05,4245
2020-03-06,4094
2020-03-07,4069
2020-03-08,4008
2020-03-09,4008
2020-03-10,4026
2020-03-11,4018
2020-03-12,3947
2020-03-13,4005
2020-03-14,3992
2020-03-15,3968
2020-03-16,4033
2020-03-17,4081
2020-03-18,4084
2020-03-19,4067
2020-03-20,4058
2020-03-21,4044
2020-03-22,4002
2020-03-23,3936
2020-03-24,3824
2020-03-25,3769
2020-03-26,3803
2020-03-27,3836
2020-03-28,3849
2020-03-29,3850
2020-03-30,3818
2020-03-31,3773
2020-04-01,3682
2020-04-02,3629
2020-04-03,3629
2020-04-04,3644
2020-04-05,3737
2020-04-06,3735
2020-04-07,3644
2020-04-08,3512
2020-04-09,3461
2020-04-10,3480
2020-04-11,3459
2020-04-12,3621
2020-04-13,3637
2020-04-14,3559
2020-04-15,3453
2020-04-16,3363
2020-04-17,3228
2020-04-18,3098
2020-04-19,2984
2020-04-20,2930
2020-04-21,2878
2020-04-22,2803
2020-04-23,2666
2020-04-24,2589
2020-04-25,2492
2020-04-26,2405
2020-04-27,2357
2020-04-28,2446
2020-04-29,2548
2020-04-30,2632
2020-05-01,2698
2020-05-02,2613
2020-05-03,2621
2020-05-04,2620
2020-05-05,2698
2020-05-06,2790
2020-05-07,2842
2020-05-08,2966
2020-05-09,3115
2020-05-10,3197
2020-05-11,3299
2020-05-12,3464
2020-05-13,3619
