date_obj,Earth%20talisman price
2017-08-22,166
2017-08-23,168
2017-08-24,166
2017-08-25,162
2017-08-26,159
2017-08-27,158
2017-08-28,160
2017-08-29,162
2017-08-30,163
2017-08-31,160
2017-09-01,158
2017-09-03,158
2017-09-04,161
2017-09-05,169
2017-09-06,174
2017-09-07,171
2017-09-08,168
2017-09-09,168
2017-09-10,171
2017-09-11,170
2017-09-12,172
2017-09-13,167
2017-09-14,163
2017-09-15,163
2017-09-16,161
2017-09-17,161
2017-09-18,160
2017-09-19,161
2017-09-20,160
2017-09-21,162
2017-09-22,162
2017-09-23,162
2017-09-24,167
2017-09-25,171
2017-09-26,167
2017-09-27,164
2017-09-28,169
2017-09-29,166
2017-09-30,166
2017-10-01,167
2017-10-02,168
2017-10-03,170
2017-10-04,176
2017-10-05,182
2017-10-06,178
2017-10-07,173
2017-10-08,171
2017-10-09,169
2017-10-10,172
2017-10-11,172
2017-10-12,171
2017-10-13,170
2017-10-14,167
2017-10-15,168
2017-10-16,167
2017-10-17,167
2017-10-18,167
2017-10-19,164
2017-10-20,159
2017-10-21,156
2017-10-22,156
2017-10-23,156
2017-10-24,156
2017-10-25,156
2017-10-26,160
2017-10-27,160
2017-10-28,160
2017-10-29,160
2017-10-30,159
2017-10-31,159
2017-11-01,159
2017-11-02,154
2017-11-03,151
2017-11-04,152
2017-11-05,154
2017-11-06,151
2017-11-07,154
2017-11-08,153
2017-11-09,155
2017-11-10,151
2017-11-11,153
2017-11-12,154
2017-11-13,157
2017-11-14,160
2017-11-15,157
2017-11-16,155
2017-11-17,155
2017-11-18,152
2017-11-19,148
2017-11-20,152
2017-11-21,151
2017-11-22,152
2017-11-23,153
2017-11-24,148
2017-11-25,149
2017-11-26,154
2017-11-27,154
2017-11-28,153
2017-11-29,152
2017-11-30,155
2017-12-01,156
2017-12-02,152
2017-12-03,154
2017-12-04,156
2017-12-05,153
2017-12-06,152
2017-12-07,152
2017-12-08,152
2017-12-09,154
2017-12-10,151
2017-12-11,151
2017-12-12,152
2017-12-13,152
2017-12-14,151
2017-12-15,151
2017-12-16,150
2017-12-17,150
2017-12-18,147
2017-12-19,146
2017-12-20,144
2017-12-21,139
2017-12-22,141
2017-12-23,141
2017-12-24,142
2017-12-25,146
2017-12-26,154
2017-12-27,162
2017-12-28,169
2017-12-29,177
2017-12-30,182
2017-12-31,183
2018-01-01,185
2018-01-02,187
2018-01-03,191
2018-01-04,190
2018-01-05,195
2018-01-06,203
2018-01-07,207
2018-01-08,213
2018-01-09,213
2018-01-10,211
2018-01-11,200
2018-01-12,191
2018-01-13,185
2018-01-14,176
2018-01-15,172
2018-01-16,171
2018-01-17,174
2018-01-18,183
2018-01-19,183
2018-01-20,191
2018-01-21,193
2018-01-22,190
2018-01-23,198
2018-01-25,206
2018-01-26,212
2018-01-27,218
2018-01-28,219
2018-01-29,214
2018-01-30,206
2018-01-31,208
2018-02-01,208
2018-02-02,206
2018-02-03,203
2018-02-04,201
2018-02-05,198
2018-02-06,195
2018-02-07,198
2018-02-08,194
2018-02-09,193
2018-02-10,196
2018-02-11,201
2018-02-12,194
2018-02-13,198
2018-02-14,197
2018-02-15,192
2018-02-16,189
2018-02-17,182
2018-02-18,178
2018-02-19,183
2018-02-20,183
2018-02-21,180
2018-02-22,185
2018-02-23,186
2018-02-24,183
2018-02-25,188
2018-02-26,195
2018-02-27,195
2018-02-28,195
2018-03-01,195
2018-03-02,190
2018-03-03,193
2018-03-04,197
2018-03-05,205
2018-03-06,216
2018-03-07,214
2018-03-09,216
2018-03-10,214
2018-03-11,210
2018-03-12,205
2018-03-13,194
