date_obj,Ancient%20kiteshield price
2018-11-03,49588
2018-11-04,50818
2018-11-05,52401
2018-11-06,54497
2018-11-07,56969
2018-11-08,59818
2018-11-09,61944
2018-11-10,64173
2018-11-11,67102
2018-11-12,70158
2018-11-13,73467
2018-11-14,77141
2018-11-15,80659
2018-11-16,83924
2018-11-17,88072
2018-11-18,89143
2018-11-19,88220
2018-11-20,89702
2018-11-21,89543
2018-11-22,88621
2018-11-23,87646
2018-11-24,88389
2018-11-25,90892
2018-11-26,88724
2018-11-27,86287
2018-11-28,87317
2018-11-29,88638
2018-12-01,92951
2018-12-02,92757
2018-12-03,94337
2018-12-04,92490
2018-12-05,91955
2018-12-07,93420
2018-12-09,87995
2018-12-10,85722
2018-12-11,84186
2018-12-12,84296
2018-12-13,82589
2018-12-14,82648
2018-12-15,79954
2018-12-16,78066
2018-12-17,77963
2018-12-18,77640
2018-12-19,77130
2018-12-20,76411
2018-12-21,74447
2018-12-22,72521
2018-12-23,72176
2018-12-24,73491
2018-12-25,73128
2018-12-26,73037
2018-12-27,72049
2018-12-28,70617
2018-12-29,69097
2018-12-30,68725
2018-12-31,69383
2019-01-01,70426
2019-01-02,70496
2019-01-03,70937
2019-01-04,70897
2019-01-05,71042
2019-01-06,71205
2019-01-08,72426
2019-01-10,72303
2019-01-11,71635
2019-01-12,71616
2019-01-13,70124
2019-01-14,69355
2019-01-15,69708
2019-01-16,68098
2019-01-17,67463
2019-01-18,66955
2019-01-19,66315
2019-01-20,65937
2019-01-21,65887
2019-01-22,64002
2019-01-23,61900
2019-01-24,61900
2019-01-25,60771
2019-01-26,59740
2019-01-27,57716
2019-01-28,55308
2019-01-29,53343
2019-01-30,51599
2019-01-31,50198
2019-02-01,48768
2019-02-02,46967
2019-02-03,46513
2019-02-04,47190
2019-02-05,46917
2019-02-06,46285
2019-02-07,46656
2019-02-08,46504
2019-02-09,45800
2019-02-10,46315
2019-02-11,46706
2019-02-12,45461
2019-02-13,44822
2019-02-14,45383
2019-02-15,45681
2019-02-16,45351
2019-02-17,44283
2019-02-18,44657
2019-02-19,44153
2019-02-20,44019
2019-02-21,44978
2019-02-22,45413
2019-02-23,45501
2019-02-24,45351
2019-02-25,44849
2019-02-26,44652
2019-02-27,45317
2019-02-28,45069
2019-03-01,44462
2019-03-02,43349
2019-03-03,43964
2019-03-04,44496
2019-03-05,44986
2019-03-06,44925
2019-03-07,45851
2019-03-08,45109
2019-03-09,44176
2019-03-10,44315
2019-03-11,44822
2019-03-12,45030
2019-03-13,45047
2019-03-14,45787
