date_obj,Death%20rune price
2018-10-08,273
2018-10-09,271
2018-10-10,268
2018-10-11,267
2018-10-12,266
2018-10-13,264
2018-10-14,263
2018-10-15,261
2018-10-16,260
2018-10-17,259
2018-10-18,259
2018-10-19,259
2018-10-20,262
2018-10-21,265
2018-10-22,267
2018-10-23,268
2018-10-24,269
2018-10-25,270
2018-10-26,270
2018-10-27,270
2018-10-28,271
2018-10-29,271
2018-10-30,269
2018-10-31,266
2018-11-01,260
2018-11-03,258
2018-11-04,260
2018-11-05,263
2018-11-06,265
2018-11-07,269
2018-11-08,268
2018-11-09,268
2018-11-10,270
2018-11-11,277
2018-11-12,276
2018-11-13,277
2018-11-14,278
2018-11-15,278
2018-11-16,278
2018-11-17,278
2018-11-18,280
2018-11-19,280
2018-11-20,281
2018-11-21,280
2018-11-22,277
2018-11-23,272
2018-11-24,269
2018-11-25,269
2018-11-26,270
2018-11-27,270
2018-11-28,271
2018-11-29,272
2018-12-01,281
2018-12-02,287
2018-12-03,288
2018-12-04,289
2018-12-05,289
2018-12-07,287
2018-12-09,289
2018-12-10,287
2018-12-11,287
2018-12-12,286
2018-12-13,283
2018-12-14,281
2018-12-15,282
2018-12-16,287
2018-12-17,287
2018-12-18,287
2018-12-19,288
2018-12-20,288
2018-12-21,287
2018-12-22,288
2018-12-23,291
2018-12-24,291
2018-12-25,293
2018-12-26,293
2018-12-27,295
2018-12-28,299
2018-12-29,298
2018-12-30,303
2018-12-31,304
2019-01-01,306
2019-01-02,305
2019-01-03,304
2019-01-04,303
2019-01-05,303
2019-01-06,305
2019-01-08,304
2019-01-10,289
2019-01-11,274
2019-01-12,260
2019-01-13,249
2019-01-14,239
2019-01-15,230
2019-01-16,229
2019-01-17,237
2019-01-18,246
2019-01-19,252
2019-01-20,250
2019-01-21,245
2019-01-22,241
2019-01-23,241
2019-01-24,240
2019-01-25,239
2019-01-26,239
2019-01-27,239
2019-01-28,240
2019-01-29,240
2019-01-30,241
2019-01-31,241
2019-02-01,240
2019-02-02,240
2019-02-03,239
2019-02-04,237
2019-02-05,235
2019-02-06,233
2019-02-07,231
2019-02-08,228
2019-02-09,227
2019-02-10,227
2019-02-11,227
2019-02-12,227
2019-02-13,226
2019-02-14,223
2019-02-15,220
2019-02-16,222
2019-02-17,229
2019-02-18,229
2019-02-19,231
2019-02-20,231
2019-02-21,231
2019-02-22,230
2019-02-23,230
2019-02-24,230
2019-02-25,228
2019-02-26,224
2019-02-27,223
2019-02-28,220
2019-03-01,218
2019-03-02,218
2019-03-03,224
2019-03-04,227
2019-03-05,229
2019-03-06,229
2019-03-07,231
2019-03-08,232
2019-03-09,233
2019-03-10,237
2019-03-11,234
2019-03-12,230
2019-03-13,227
2019-03-14,223
2019-03-15,218
2019-03-16,216
2019-03-17,219
2019-03-18,220
2019-03-19,221
2019-03-20,222
2019-03-21,223
