date_obj,Amulet%20of%20strength price
2019-03-18,1165
2019-03-19,1163
2019-03-20,1176
2019-03-21,1182
2019-03-22,1177
2019-03-23,1173
2019-03-24,1158
2019-03-25,1147
2019-03-26,1155
2019-03-27,1154
2019-03-28,1163
2019-03-29,1161
2019-03-30,1158
2019-03-31,1147
2019-04-01,1142
2019-04-02,1148
2019-04-03,1154
2019-04-04,1144
2019-04-05,1147
2019-04-06,1121
2019-04-07,1127
2019-04-08,1118
2019-04-09,1125
2019-04-10,1138
2019-04-11,1141
2019-04-12,1116
2019-04-13,1107
2019-04-14,1132
2019-04-15,1114
2019-04-16,1126
2019-04-17,1146
2019-04-18,1152
2019-04-19,1159
2019-04-20,1141
2019-04-21,1142
2019-04-22,1142
2019-04-23,1160
2019-04-24,1165
2019-04-25,1187
2019-04-26,1176
2019-04-27,1157
2019-04-28,1126
2019-04-29,1131
2019-04-30,1149
2019-05-01,1149
2019-05-02,1158
2019-05-03,1167
2019-05-04,1159
2019-05-05,1154
2019-05-06,1167
2019-05-07,1168
2019-05-08,1155
2019-05-09,1165
2019-05-10,1173
2019-05-11,1179
2019-05-12,1181
2019-05-13,1170
2019-05-14,1186
2019-05-15,1184
2019-05-16,1198
2019-05-17,1219
2019-05-18,1196
2019-05-19,1176
2019-05-20,1156
2019-05-21,1136
2019-05-22,1133
2019-05-23,1161
2019-05-24,1178
2019-05-25,1183
2019-05-26,1173
2019-05-27,1163
2019-05-28,1160
2019-05-29,1171
2019-05-30,1179
2019-05-31,1176
2019-06-01,1184
2019-06-02,1162
2019-06-03,1170
2019-06-04,1175
2019-06-05,1160
2019-06-06,1143
2019-06-07,1153
2019-06-08,1162
2019-06-09,1166
2019-06-10,1173
2019-06-11,1182
2019-06-12,1185
2019-06-13,1195
2019-06-14,1212
2019-06-15,1221
2019-06-16,1235
2019-06-17,1242
2019-06-18,1230
2019-06-19,1240
2019-06-20,1248
2019-06-21,1243
2019-06-22,1201
2019-06-23,1217
2019-06-24,1204
2019-06-25,1239
2019-06-26,1234
2019-06-27,1259
2019-06-28,1259
2019-06-29,1242
2019-06-30,1215
2019-07-01,1222
2019-07-02,1245
2019-07-03,1246
2019-07-04,1268
2019-07-05,1275
2019-07-06,1257
2019-07-07,1233
2019-07-08,1217
2019-07-09,1209
2019-07-10,1178
2019-07-11,1169
2019-07-12,1138
2019-07-13,1084
2019-07-14,1107
2019-07-15,1127
2019-07-16,1165
2019-07-17,1190
2019-07-18,1241
2019-07-19,1232
2019-07-20,1242
2019-07-21,1237
2019-07-22,1211
2019-07-23,1236
2019-07-24,1237
2019-07-25,1252
2019-07-26,1244
2019-07-27,1236
2019-07-28,1215
2019-07-29,1210
2019-07-30,1229
2019-07-31,1244
2019-08-01,1216
2019-08-02,1220
2019-08-03,1215
2019-08-04,1208
2019-08-05,1203
2019-08-06,1190
2019-08-07,1190
2019-08-08,1211
2019-08-09,1171
2019-08-10,1172
2019-08-11,1143
2019-08-12,1161
2019-08-13,1165
2019-08-14,1172
2019-08-15,1179
2019-08-16,1194
2019-08-17,1205
2019-08-18,1233
2019-08-19,1243
2019-08-20,1226
2019-08-21,1216
2019-08-22,1211
2019-08-23,1240
2019-08-24,1247
2019-08-24,1247
2019-08-25,1231
2019-08-25,1231
2019-08-26,1264
2019-08-27,1264
2019-08-27,1264
2019-08-28,1304
2019-08-29,1315
2019-08-30,1297
2019-08-31,1272
2019-09-01,1270
2019-09-02,1285
2019-09-03,1310
2019-09-04,1305
2019-09-05,1315
2019-09-06,1298
2019-09-07,1296
2019-09-08,1296
2019-09-09,1296
2019-09-10,1278
2019-09-11,1286
2019-09-12,1249
2019-09-13,1245
2019-09-14,1243
2019-09-15,1252
2019-09-16,1247
2019-09-17,1266
2019-09-18,1254
2019-09-19,1274
2019-09-20,1301
2019-09-21,1285
2019-09-22,1289
2019-09-23,1305
2019-09-24,1271
2019-09-25,1271
2019-09-26,1262
2019-09-27,1236
2019-09-28,1199
2019-09-29,1153
2019-09-30,1123
2019-10-01,1118
2019-10-02,1113
2019-10-03,1139
2019-10-04,1169
2019-10-05,1205
2019-10-06,1207
2019-10-07,1192
2019-10-08,1207
2019-10-09,1192
2019-10-10,1203
2019-10-11,1166
2019-10-12,1189
2019-10-13,1196
2019-10-14,1179
2019-10-15,1181
2019-10-16,1225
2019-10-17,1277
2019-10-18,1279
2019-10-19,1270
2019-10-20,1230
2019-10-21,1221
2019-10-22,1233
2019-10-23,1224
2019-10-24,1233
2019-10-25,1262
2019-10-26,1278
2019-10-27,1284
2019-10-28,1301
2019-10-29,1320
2019-10-30,1319
2019-10-31,1328
2019-11-01,1316
2019-11-02,1292
2019-11-03,1300
2019-11-04,1281
2019-11-05,1262
2019-11-06,1254
2019-11-07,1237
2019-11-08,1236
2019-11-09,1247
2019-11-10,1236
2019-11-11,1205
2019-11-12,1205
2019-11-13,1185
2019-11-14,1203
2019-11-15,1198
2019-11-16,1196
2019-11-17,1174
2019-11-18,1169
2019-11-19,1176
2019-11-20,1207
2019-11-21,1218
2019-11-22,1214
2019-11-23,1242
2019-11-24,1257
2019-11-25,1249
2019-11-26,1247
2019-11-27,1239
2019-11-28,1287
2019-11-29,1294
2019-11-30,1291
2019-12-01,1258
2019-12-02,1271
2019-12-03,1287
2019-12-04,1297
2019-12-05,1265
2019-12-06,1271
2019-12-07,1299
2019-12-08,1263
2019-12-09,1261
2019-12-10,1265
2019-12-11,1274
2019-12-12,1248
2019-12-13,1242
2019-12-14,1246
2019-12-15,1216
2019-12-16,1215
2019-12-17,1233
2019-12-18,1236
2019-12-19,1264
2019-12-20,1311
2019-12-21,1301
2019-12-22,1252
2019-12-23,1232
2019-12-24,1237
2019-12-25,1244
2019-12-26,1215
2019-12-27,1208
2019-12-28,1210
2019-12-29,1171
2019-12-30,1178
2019-12-31,1202
2020-01-01,1204
2020-01-02,1216
2020-01-03,1211
2020-01-04,1183
2020-01-05,1190
2020-01-06,1222
2020-01-07,1210
2020-01-08,1199
2020-01-09,1173
2020-01-10,1190
2020-01-11,1168
2020-01-12,1150
2020-01-13,1182
2020-01-14,1209
2020-01-15,1189
2020-01-16,1153
2020-01-17,1136
2020-01-18,1140
2020-01-19,1149
2020-01-20,1137
2020-01-21,1109
2020-01-22,1110
2020-01-23,1128
2020-01-24,1156
2020-01-25,1146
2020-01-26,1155
2020-01-27,1163
2020-01-28,1157
2020-01-29,1180
2020-01-30,1169
2020-01-31,1167
2020-02-01,1147
2020-02-02,1165
2020-02-03,1168
2020-02-04,1174
2020-02-05,1162
2020-02-06,1188
2020-02-07,1184
2020-02-08,1184
2020-02-09,1163
2020-02-10,1154
2020-02-11,1155
2020-02-12,1152
2020-02-13,1153
2020-02-14,1150
2020-02-15,1142
2020-02-16,1130
2020-02-17,1137
2020-02-18,1114
2020-02-19,1085
2020-02-20,1092
2020-02-21,1088
2020-02-22,1114
2020-02-23,1138
2020-02-24,1148
2020-02-25,1139
2020-02-26,1153
2020-02-27,1166
2020-02-28,1185
2020-02-29,1155
2020-03-01,1166
2020-03-02,1159
2020-03-03,1186
2020-03-04,1192
2020-03-05,1168
2020-03-06,1189
2020-03-07,1169
2020-03-08,1174
2020-03-09,1212
2020-03-10,1220
2020-03-11,1211
2020-03-12,1219
2020-03-13,1195
2020-03-14,1209
2020-03-15,1194
2020-03-16,1230
2020-03-17,1234
2020-03-18,1223
2020-03-19,1226
2020-03-20,1217
2020-03-21,1198
2020-03-22,1200
2020-03-23,1184
2020-03-24,1189
2020-03-25,1169
2020-03-26,1181
2020-03-27,1165
2020-03-28,1185
2020-03-29,1189
2020-03-30,1144
2020-03-31,1122
2020-04-01,1091
2020-04-02,1055
2020-04-03,1038
2020-04-04,1037
2020-04-05,1024
2020-04-06,1016
2020-04-07,1011
2020-04-08,1003
2020-04-09,1002
2020-04-10,991
2020-04-11,980
2020-04-12,972
2020-04-13,955
2020-04-14,970
2020-04-15,980
2020-04-16,993
2020-04-17,1003
2020-04-18,994
2020-04-19,989
2020-04-20,994
2020-04-21,985
2020-04-22,990
2020-04-23,1005
2020-04-24,1004
2020-04-25,1005
2020-04-26,998
2020-04-27,1010
2020-04-28,1015
2020-04-29,1024
2020-04-30,1036
2020-05-01,1064
2020-05-02,1078
2020-05-03,1084
2020-05-04,1070
2020-05-05,1095
2020-05-06,1105
2020-05-07,1130
2020-05-08,1154
2020-05-09,1150
2020-05-10,1136
2020-05-11,1144
2020-05-12,1138
2020-05-13,1137
