date_obj,Green%20boater price
2018-01-25,1310
2018-01-26,1310
2018-01-27,1269
2018-01-28,1269
2018-01-29,1216
2018-01-30,1216
2018-01-31,1181
2018-02-01,1181
2018-02-02,1181
2018-02-03,1148
2018-02-04,1148
2018-02-05,1148
2018-02-06,1119
2018-02-07,1119
2018-02-08,1075
2018-02-09,1075
2018-02-10,1075
2018-02-11,1035
2018-02-12,1035
2018-02-13,1005
2018-02-14,1005
2018-02-15,1000
2018-02-16,1000
2018-02-17,1000
2018-02-18,979
2018-02-19,979
2018-02-20,946
2018-02-21,946
2018-02-22,946
2018-02-23,949
2018-02-24,949
2018-02-25,979
2018-02-26,979
2018-02-27,1002
2018-02-28,1002
2018-03-01,1002
2018-03-02,983
2018-03-03,983
2018-03-04,983
2018-03-05,983
2018-03-06,983
2018-03-07,988
2018-03-08,988
2018-03-09,988
2018-03-10,1032
2018-03-11,1032
2018-03-12,1051
2018-03-13,1051
2018-03-14,1051
2018-03-15,1045
2018-03-16,1045
2018-03-17,1095
2018-03-18,1095
2018-03-19,1095
2018-03-20,1140
2018-03-21,1140
2018-03-23,1192
2018-03-24,1192
2018-03-25,1192
2018-03-26,1248
2018-03-27,1248
2018-03-28,1248
2018-03-29,1307
2018-03-30,1307
2018-03-31,1307
2018-04-01,1365
2018-04-02,1365
2018-04-03,1426
2018-04-04,1426
2018-04-05,1426
2018-04-06,1494
2018-04-07,1494
2018-04-08,1494
2018-04-09,1486
2018-04-10,1486
2018-04-11,1486
2018-04-12,1540
2018-04-13,1540
2018-04-14,1540
2018-04-15,1616
2018-04-16,1616
2018-04-17,1616
2018-04-18,1677
2018-04-19,1677
2018-04-20,1677
2018-04-21,1761
2018-04-22,1761
2018-04-23,1761
2018-04-24,1846
2018-04-25,1846
2018-04-26,1846
2018-04-27,1938
2018-04-28,1938
2018-04-29,1938
2018-04-30,2035
2018-05-01,2035
2018-05-04,2133
2018-05-05,2207
2018-05-06,2207
2018-05-07,2207
2018-05-08,2299
2018-05-09,2299
2018-05-10,2404
2018-05-11,2404
2018-05-12,2404
2018-05-13,2523
2018-05-14,2523
2018-05-15,2640
2018-05-16,2640
2018-05-17,2640
2018-05-18,2769
2018-05-19,2769
2018-05-20,2769
2018-05-21,2895
2018-05-22,2895
2018-05-23,2895
2018-05-24,2985
2018-05-25,2985
2018-05-26,2985
2018-05-27,3130
2018-05-28,3130
2018-05-29,3228
2018-05-30,3228
2018-05-31,3228
2018-06-01,3346
2018-06-02,3346
2018-06-03,3357
2018-06-04,3357
2018-06-05,3333
2018-06-06,3333
2018-06-07,3333
2018-06-08,3339
2018-06-09,3339
2018-06-10,3339
2018-06-11,3395
2018-06-12,3395
2018-06-13,3424
2018-06-14,3424
2018-06-15,3424
2018-06-16,3580
2018-06-17,3580
2018-06-18,3658
2018-06-19,3658
2018-06-20,3658
2018-06-21,3794
2018-06-22,3794
2018-06-23,3794
2018-06-24,3835
2018-06-25,3835
2018-06-26,3835
2018-06-27,3928
2018-06-28,3928
2018-06-29,4032
2018-06-30,4032
2018-07-01,4032
2018-07-02,4093
2018-07-03,4093
2018-07-04,4093
2018-07-05,4093
2018-07-06,4098
2018-07-07,4098
2018-07-08,4098
2018-07-09,4124
2018-07-10,4124
2018-07-11,4124
2018-07-12,4124
2018-07-13,4124
2018-07-14,4199
2018-07-15,4199
2018-07-16,4199
2018-07-17,4252
2018-07-18,4252
2018-07-19,4252
2018-07-20,4085
2018-07-21,4085
2018-07-22,4196
2018-07-23,4196
2018-07-24,4290
2018-07-25,4290
2018-07-26,4094
2018-07-27,4179
2018-07-28,4179
2018-07-29,4187
2018-07-30,4187
2018-07-31,4239
2018-08-01,4239
2018-08-02,4321
2018-08-03,4321
2018-08-04,4414
2018-08-05,4414
2018-08-06,4414
2018-08-07,4434
2018-08-08,4594
2018-08-09,4594
2018-08-10,4692
2018-08-11,4692
2018-08-12,4554
2018-08-14,4421
2018-08-16,4470
2018-08-17,4470
2018-08-18,4470
2018-08-19,4470
2018-08-20,4449
2018-08-21,4449
2018-08-22,4416
2018-08-23,4416
2018-08-24,4288
2018-08-25,4290
2018-08-26,4290
2018-08-27,4290
2018-08-28,4322
2018-08-29,4322
2018-08-30,4322
2018-08-31,4370
2018-09-01,4370
2018-09-02,4519
2018-09-03,4519
2018-09-04,4618
2018-09-05,4618
2018-09-06,4618
2018-09-07,4722
2018-09-08,4722
2018-09-09,4633
2018-09-10,4633
2018-09-11,4440
2018-09-12,4440
2018-09-13,4440
2018-09-14,4448
2018-09-15,4448
2018-09-16,4541
2018-09-17,4541
2018-09-18,4591
2018-09-19,4591
2018-09-20,4591
2018-09-21,4682
2018-09-22,4682
2018-09-23,4548
2018-09-24,4548
2018-09-25,4548
2018-09-26,4506
2018-09-27,4506
2018-09-28,4449
2018-09-29,4449
2018-09-30,4524
2018-10-01,4524
2018-10-02,4513
2018-10-03,4513
2018-10-04,4535
2018-10-05,4535
2018-10-06,4556
2018-10-07,4556
2018-10-08,4556
2018-10-09,4680
2018-10-10,4680
2018-10-11,4872
2018-10-12,4872
2018-10-13,5045
2018-10-14,5045
2018-10-15,5045
2018-10-16,5134
2018-10-17,5134
2018-10-18,5194
2018-10-19,5194
2018-10-20,5194
2018-10-21,5293
2018-10-22,5293
2018-10-23,5263
2018-10-24,5263
2018-10-25,5308
2018-10-26,5308
2018-10-27,5269
2018-10-28,5269
2018-10-29,5183
2018-10-30,5183
2018-10-31,5146
2018-11-01,5146
2018-11-03,5042
2018-11-04,4900
2018-11-05,4827
2018-11-06,4827
2018-11-07,4781
2018-11-08,4781
2018-11-09,4788
2018-11-10,4874
2018-11-11,4874
2018-11-12,4775
2018-11-13,4775
2018-11-14,4720
2018-11-15,4720
2018-11-16,4779
2018-11-17,4779
2018-11-18,4942
2018-11-19,4942
2018-11-20,5108
2018-11-21,5108
2018-11-22,5025
2018-11-23,5025
2018-11-24,5187
2018-11-25,5241
2018-11-26,5241
2018-11-27,5199
2018-11-28,5199
2018-11-29,5088
2018-12-01,5052
2018-12-02,5052
2018-12-03,4870
2018-12-04,4870
2018-12-05,4636
2018-12-07,4435
2018-12-09,4326
2018-12-10,4178
2018-12-11,4178
2018-12-12,4029
2018-12-13,4029
2018-12-14,3916
2018-12-15,3916
2018-12-16,3843
2018-12-17,3843
2018-12-18,3757
2018-12-19,3757
2018-12-20,3722
2018-12-21,3722
2018-12-22,3604
2018-12-23,3461
2018-12-24,3461
2018-12-25,3344
2018-12-26,3344
2018-12-27,3274
2018-12-28,3274
2018-12-29,3205
2018-12-30,3205
2018-12-31,3068
2019-01-01,3068
2019-01-02,2940
2019-01-03,2940
2019-01-04,2825
2019-01-05,2727
2019-01-06,2664
2019-01-08,2593
2019-01-10,2518
2019-01-11,2518
2019-01-12,2522
2019-01-13,2522
2019-01-14,2514
2019-01-15,2514
2019-01-16,2477
2019-01-17,2477
2019-01-18,2511
2019-01-19,2544
2019-01-20,2544
2019-01-21,2533
2019-01-22,2533
2019-01-23,2503
2019-01-24,2503
2019-01-25,2431
2019-01-26,2431
2019-01-27,2371
2019-01-29,2319
2019-01-30,2319
2019-01-31,2250
2019-02-01,2188
2019-02-02,2188
2019-02-03,2170
2019-02-04,2170
2019-02-05,2110
2019-02-06,2110
2019-02-07,2004
2019-02-08,2004
2019-02-09,1951
2019-02-10,1951
2019-02-11,1895
2019-02-12,1895
2019-02-13,1859
2019-02-14,1859
2019-02-15,1821
2019-02-16,1821
2019-02-17,1767
2019-02-18,1767
2019-02-19,1701
2019-02-20,1701
2019-02-21,1698
2019-02-22,1698
2019-02-23,1685
2019-02-24,1683
2019-02-25,1683
2019-02-26,1710
2019-02-27,1710
2019-02-28,1710
2019-03-01,1691
2019-03-02,1691
2019-03-03,1653
2019-03-04,1653
2019-03-05,1572
2019-03-06,1525
2019-03-07,1525
2019-03-08,1525
2019-03-09,1537
2019-03-10,1537
2019-03-11,1506
2019-03-12,1474
2019-03-13,1474
2019-03-14,1468
2019-03-15,1468
2019-03-16,1470
2019-03-17,1421
2019-03-18,1421
2019-03-19,1421
2019-03-20,1352
2019-03-21,1316
2019-03-22,1316
2019-03-23,1319
2019-03-24,1319
2019-03-25,1329
2019-03-26,1328
2019-03-27,1328
