date_obj,Rune%20dagger price
2017-08-10,4588
2017-08-11,4583
2017-08-12,4583
2017-08-13,4591
2017-08-14,4596
2017-08-15,4577
2017-08-17,4594
2017-08-18,4584
2017-08-19,4575
2017-08-20,4583
2017-08-21,4585
2017-08-22,4579
2017-08-23,4594
2017-08-24,4596
2017-08-25,4589
2017-08-26,4584
2017-08-27,4590
2017-08-28,4588
2017-08-29,4602
2017-08-30,4597
2017-08-31,4599
2017-09-01,4597
2017-09-02,4573
2017-09-03,4565
2017-09-04,4584
2017-09-05,4593
2017-09-06,4593
2017-09-07,4602
2017-09-08,4588
2017-09-09,4590
2017-09-10,4593
2017-09-11,4572
2017-09-12,4564
2017-09-13,4569
2017-09-14,4557
2017-09-15,4539
2017-09-16,4563
2017-09-17,4601
2017-09-19,4598
2017-09-20,4576
2017-09-21,4581
2017-09-22,4581
2017-09-23,4601
2017-09-24,4591
2017-09-25,4580
2017-09-26,4574
2017-09-27,4584
2017-09-28,4593
2017-09-29,4592
2017-09-30,4583
2017-10-01,4572
2017-10-02,4592
2017-10-03,4599
2017-10-04,4587
2017-10-05,4592
2017-10-06,4586
2017-10-07,4586
2017-10-08,4575
2017-10-09,4587
2017-10-10,4594
2017-10-11,4599
2017-10-12,4592
2017-10-13,4557
2017-10-14,4566
2017-10-15,4555
2017-10-16,4574
2017-10-17,4592
2017-10-18,4598
2017-10-19,4596
2017-10-20,4564
2017-10-21,4562
2017-10-22,4562
2017-10-23,4575
2017-10-24,4576
2017-10-25,4577
2017-10-26,4573
2017-10-27,4542
2017-10-28,4545
2017-10-29,4554
2017-10-30,4570
2017-10-31,4581
2017-11-01,4587
2017-11-02,4581
2017-11-03,4591
2017-11-04,4581
2017-11-05,4600
2017-11-06,4600
2017-11-07,4580
2017-11-08,4599
2017-11-09,4590
2017-11-10,4569
2017-11-11,4569
2017-11-12,4588
2017-11-13,4575
2017-11-14,4563
2017-11-15,4497
2017-11-16,4544
2017-11-17,4562
2017-11-18,4571
2017-11-19,4579
2017-11-20,4579
