date_obj,Diamond%20ring price
2019-03-29,1981
2019-03-30,1981
2019-03-31,1976
2019-04-01,1993
2019-04-02,2001
2019-04-03,1988
2019-04-04,1986
2019-04-05,1998
2019-04-06,1998
2019-04-07,2012
2019-04-08,2004
2019-04-09,1946
2019-04-10,1929
2019-04-11,1937
2019-04-12,1944
2019-04-13,2030
2019-04-14,1995
2019-04-15,1991
2019-04-16,1997
2019-04-17,2007
2019-04-18,1991
2019-04-19,1993
2019-04-20,2002
2019-04-21,1990
2019-04-22,2000
2019-04-23,2005
2019-04-24,1994
2019-04-25,1994
2019-04-26,2002
2019-04-27,2010
2019-04-28,2004
2019-04-29,2010
2019-04-30,2016
2019-05-01,2016
2019-05-02,2014
2019-05-03,1998
2019-05-04,1988
2019-05-05,1993
2019-05-06,1982
2019-05-07,1980
2019-05-08,1971
2019-05-09,1971
2019-05-10,1994
2019-05-11,1990
2019-05-12,1981
2019-05-13,2010
2019-05-14,2004
2019-05-15,2004
2019-05-16,2010
2019-05-17,2010
2019-05-18,2029
2019-05-19,2029
2019-05-20,2042
2019-05-21,2042
2019-05-22,2000
2019-05-23,2013
2019-05-24,2003
2019-05-25,2037
2019-05-26,2028
2019-05-27,2029
2019-05-28,2022
2019-05-29,2018
2019-05-30,2016
2019-05-31,2016
2019-06-01,1998
2019-06-02,1993
2019-06-03,2012
2019-06-04,2013
2019-06-05,2011
2019-06-06,2000
2019-06-07,1989
2019-06-08,1967
2019-06-09,2002
2019-06-10,2002
2019-06-11,2026
2019-06-12,2021
2019-06-13,2041
2019-06-14,2034
2019-06-15,2034
2019-06-16,2035
2019-06-17,2027
2019-06-18,2027
2019-06-19,2026
2019-06-20,2036
2019-06-21,2026
2019-06-22,2026
2019-06-23,2018
2019-06-24,2015
2019-06-25,2017
2019-06-26,2039
2019-06-27,2047
2019-06-28,2047
2019-06-29,2042
2019-06-30,2016
2019-07-01,2016
2019-07-02,2035
2019-07-03,2008
2019-07-04,2008
2019-07-05,1980
2019-07-06,1967
2019-07-07,1981
2019-07-08,1994
2019-07-09,2002
2019-07-10,2006
2019-07-11,2006
2019-07-12,2034
2019-07-13,2034
2019-07-14,1999
2019-07-15,1999
2019-07-16,2025
2019-07-17,2046
2019-07-18,2046
2019-07-19,2007
2019-07-20,2007
2019-07-21,2031
2019-07-22,2025
2019-07-23,1997
2019-07-24,1997
2019-07-25,2015
2019-07-26,2015
2019-07-27,1991
2019-07-28,1976
2019-07-29,2013
2019-07-30,1983
2019-07-31,1938
2019-08-01,1938
2019-08-02,1950
2019-08-03,1959
2019-08-04,1959
2019-08-05,1953
2019-08-06,1961
2019-08-07,1982
2019-08-08,1982
2019-08-09,2001
2019-08-10,1968
2019-08-11,1968
2019-08-12,1990
2019-08-13,1963
2019-08-14,1969
2019-08-15,2001
2019-08-16,1967
2019-08-17,1967
2019-08-18,1960
2019-08-19,1965
2019-08-20,1965
2019-08-21,1959
2019-08-22,1966
2019-08-23,1966
2019-08-24,1975
2019-08-24,1975
2019-08-25,1975
2019-08-25,1975
2019-08-26,2011
2019-08-26,2011
2019-08-27,2011
2019-08-27,2011
2019-08-28,1987
2019-08-29,2003
2019-08-30,2029
2019-08-31,2029
2019-09-01,1992
2019-09-02,1992
2019-09-03,1985
2019-09-04,1968
2019-09-05,1968
2019-09-06,1945
2019-09-07,1921
2019-09-08,1969
2019-09-09,1969
2019-09-10,2024
2019-09-11,1986
2019-09-12,1986
2019-09-13,1981
2019-09-14,1987
2019-09-15,2000
2019-09-16,1994
2019-09-17,1994
2019-09-18,1980
2019-09-19,1980
2019-09-20,1955
2019-09-21,1963
2019-09-22,1966
2019-09-23,1979
2019-09-24,1979
2019-09-25,1990
2019-09-26,2010
2019-09-27,2010
2019-09-28,1985
2019-09-29,1985
2019-09-30,1959
2019-10-01,1950
2019-10-02,1950
2019-10-03,1946
2019-10-04,1946
2019-10-05,1955
2019-10-06,1957
2019-10-07,1957
2019-10-08,1951
2019-10-09,1951
2019-10-10,1939
2019-10-11,1939
2019-10-12,1930
2019-10-13,1919
2019-10-14,1957
2019-10-15,1957
2019-10-16,1966
2019-10-17,1966
2019-10-18,1972
2019-10-19,1948
2019-10-20,1948
2019-10-21,1926
2019-10-22,1926
2019-10-23,1929
2019-10-24,1929
2019-10-25,1944
2019-10-26,1934
2019-10-27,1934
2019-10-28,1920
2019-10-29,1920
2019-10-30,1951
2019-10-31,1980
2019-11-01,1980
2019-11-02,1928
2019-11-03,1902
2019-11-04,1907
2019-11-05,1907
2019-11-06,1905
2019-11-07,1905
2019-11-08,1922
2019-11-09,1947
2019-11-10,1972
2019-11-11,1964
2019-11-12,1964
2019-11-13,1944
2019-11-14,1944
2019-11-15,1958
2019-11-16,1941
2019-11-17,1941
2019-11-18,1925
2019-11-19,1925
2019-11-20,1904
2019-11-21,1904
2019-11-22,1941
2019-11-23,1965
2019-11-24,1968
2019-11-25,1947
2019-11-26,1916
2019-11-27,1916
2019-11-28,1919
2019-11-29,1919
2019-11-30,1952
2019-12-01,1952
2019-12-02,1966
2019-12-03,1925
2019-12-04,1943
2019-12-05,1943
2019-12-06,1948
2019-12-07,1973
2019-12-08,1973
2019-12-09,1973
2019-12-10,1953
2019-12-11,1953
2019-12-12,1953
2019-12-13,1961
2019-12-14,1961
2019-12-15,1940
2019-12-16,1940
2019-12-17,1934
2019-12-18,1934
2019-12-19,1944
2019-12-20,1944
2019-12-21,1944
2019-12-22,1942
2019-12-23,1942
2019-12-24,1946
2019-12-25,1967
2019-12-26,1967
2019-12-27,1959
2019-12-28,1956
2019-12-29,1956
2019-12-30,1947
2019-12-31,1947
2020-01-01,1934
2020-01-02,1934
2020-01-03,1934
2020-01-04,1992
2020-01-05,2004
2020-01-06,2004
2020-01-07,1968
2020-01-08,1968
2020-01-09,1963
2020-01-10,1978
2020-01-11,1967
2020-01-12,1946
2020-01-13,1946
2020-01-14,1959
2020-01-15,1949
2020-01-16,1949
2020-01-17,1939
2020-01-18,1939
2020-01-19,1948
2020-01-20,1948
2020-01-21,1960
2020-01-22,1942
2020-01-23,1942
2020-01-24,1936
2020-01-25,1920
2020-01-26,1904
2020-01-27,1913
2020-01-28,1913
2020-01-29,1949
2020-01-30,1955
2020-01-31,1955
2020-02-01,1948
2020-02-02,1951
2020-02-03,1958
2020-02-04,1967
2020-02-05,1951
2020-02-06,1943
2020-02-07,1925
2020-02-08,1908
2020-02-09,1937
2020-02-10,1908
2020-02-11,1908
2020-02-12,1895
2020-02-13,1895
2020-02-14,1898
2020-02-15,1898
2020-02-16,1885
2020-02-17,1880
2020-02-18,1880
2020-02-19,1880
2020-02-20,1885
2020-02-21,1885
2020-02-22,1919
2020-02-23,1912
2020-02-24,1916
2020-02-25,1907
2020-02-26,1898
2020-02-27,1892
2020-02-28,1897
2020-02-29,1897
2020-03-01,1889
2020-03-02,1906
2020-03-03,1916
2020-03-04,1916
2020-03-05,1886
2020-03-06,1899
2020-03-07,1899
2020-03-08,1905
2020-03-09,1909
2020-03-10,1943
2020-03-11,1949
2020-03-12,1923
2020-03-13,1911
2020-03-14,1916
2020-03-15,1914
2020-03-16,1963
2020-03-17,1940
2020-03-18,1939
2020-03-19,1936
2020-03-20,1917
2020-03-21,1907
2020-03-22,1923
2020-03-23,1944
2020-03-24,1915
2020-03-25,1923
2020-03-26,1938
2020-03-27,1972
2020-03-28,1953
2020-03-29,1931
2020-03-30,1961
2020-03-31,1953
2020-04-01,1948
2020-04-02,1926
2020-04-03,1926
2020-04-04,1908
2020-04-05,1902
2020-04-06,1921
2020-04-07,1940
2020-04-08,1955
2020-04-09,1927
2020-04-10,1912
2020-04-11,1923
2020-04-12,1920
2020-04-13,1917
2020-04-14,1917
2020-04-15,1906
2020-04-16,1915
2020-04-17,1901
2020-04-18,1886
2020-04-19,1900
2020-04-20,1914
2020-04-21,1917
2020-04-22,1925
2020-04-23,1948
2020-04-24,1928
2020-04-25,1961
2020-04-26,1922
2020-04-27,1929
2020-04-28,1933
2020-04-29,1932
2020-04-30,1938
2020-05-01,1903
2020-05-02,1898
2020-05-03,1907
2020-05-04,1952
2020-05-05,1943
2020-05-06,1942
2020-05-07,1940
2020-05-08,1938
2020-05-09,1930
2020-05-10,1932
2020-05-11,1964
2020-05-12,1981
2020-05-13,1977
