date_obj,Spice price
2018-12-09,195
2018-12-10,204
2018-12-11,214
2018-12-12,220
2018-12-13,231
2018-12-14,236
2018-12-15,233
2018-12-16,245
2018-12-17,244
2018-12-18,251
2018-12-19,264
2018-12-20,277
2018-12-21,291
2018-12-22,294
2018-12-23,279
2018-12-24,266
2018-12-25,255
2018-12-26,254
2018-12-27,258
2018-12-28,271
2018-12-29,282
2018-12-30,294
2018-12-31,304
2019-01-01,320
2019-01-02,335
2019-01-03,338
2019-01-04,342
2019-01-05,340
2019-01-06,335
2019-01-08,329
2019-01-10,338
2019-01-11,341
2019-01-12,356
2019-01-13,364
2019-01-14,377
2019-01-15,358
2019-01-16,340
2019-01-17,325
2019-01-18,308
2019-01-19,292
2019-01-20,277
2019-01-21,263
2019-01-22,249
2019-01-23,236
2019-01-24,224
2019-01-25,224
2019-01-26,228
2019-01-28,214
2019-01-29,210
2019-01-30,211
2019-01-31,215
2019-02-01,212
2019-02-02,208
2019-02-03,200
2019-02-04,203
2019-02-05,208
2019-02-06,219
2019-02-07,230
2019-02-08,242
2019-02-09,255
2019-02-10,268
2019-02-11,282
2019-02-12,296
2019-02-13,309
2019-02-14,325
2019-02-15,342
2019-02-16,360
2019-02-17,378
2019-02-18,397
2019-02-19,407
2019-02-20,386
2019-02-21,370
2019-02-22,351
2019-02-23,333
2019-02-24,325
2019-02-25,338
2019-02-26,340
2019-02-27,354
2019-02-28,357
2019-03-01,364
2019-03-02,364
2019-03-03,376
2019-03-04,395
2019-03-05,400
2019-03-06,410
2019-03-07,405
2019-03-08,394
2019-03-09,388
2019-03-10,392
2019-03-11,411
2019-03-12,424
2019-03-13,438
2019-03-14,438
2019-03-15,441
2019-03-16,432
2019-03-17,420
2019-03-18,399
2019-03-19,379
2019-03-20,360
2019-03-21,342
2019-03-22,324
2019-03-23,307
2019-03-24,291
2019-03-25,276
2019-03-26,262
2019-03-27,248
2019-03-28,254
2019-03-29,250
2019-03-30,263
2019-03-31,262
2019-04-01,252
2019-04-02,258
2019-04-03,249
2019-04-04,245
2019-04-05,254
2019-04-06,259
2019-04-07,258
2019-04-08,268
2019-04-09,268
2019-04-10,274
2019-04-11,261
2019-04-12,248
2019-04-13,240
2019-04-14,228
2019-04-15,216
2019-04-16,205
2019-04-17,194
2019-04-18,184
2019-04-19,174
2019-04-20,165
2019-04-21,156
2019-04-22,148
2019-04-23,140
2019-04-24,137
2019-04-25,130
2019-04-26,123
2019-04-27,116
2019-04-28,110
2019-04-29,104
2019-04-30,98
2019-05-01,93
2019-05-02,88
2019-05-03,84
2019-05-04,80
2019-05-05,77
2019-05-06,77
2019-05-07,74
2019-05-08,71
2019-05-09,67
2019-05-10,67
2019-05-11,67
2019-05-12,68
2019-05-13,69
2019-05-14,68
2019-05-15,72
2019-05-16,73
2019-05-17,76
2019-05-18,76
2019-05-19,77
2019-05-20,79
2019-05-21,80
2019-05-22,80
2019-05-23,82
2019-05-24,82
2019-05-25,85
2019-05-26,87
2019-05-27,88
2019-05-28,84
2019-05-29,81
2019-05-30,81
2019-05-31,81
2019-06-01,77
2019-06-02,76
2019-06-03,79
2019-06-04,80
2019-06-05,76
2019-06-06,75
2019-06-07,75
2019-06-08,72
2019-06-09,73
2019-06-10,69
2019-06-11,73
2019-06-12,74
2019-06-13,78
2019-06-14,82
2019-06-15,85
2019-06-16,87
2019-06-17,87
2019-06-18,88
2019-06-19,88
2019-06-20,89
2019-06-21,90
2019-06-22,93
2019-06-23,93
2019-06-24,97
2019-06-25,101
2019-06-26,104
