date_obj,Blamish%20red%20shell%20(pointed) price
2018-02-17,3974
2018-02-18,3974
2018-02-19,3974
2018-02-20,3974
2018-02-21,3974
2018-02-22,3785
2018-02-23,3785
2018-02-24,3785
2018-02-25,3785
2018-02-26,3785
2018-02-27,3785
2018-02-28,3785
2018-03-01,3785
2018-03-02,3785
2018-03-03,3785
2018-03-04,3785
2018-03-05,3785
2018-03-06,3785
2018-03-07,3785
2018-03-08,3785
2018-03-09,3785
2018-03-10,3610
2018-03-11,3610
2018-03-12,3610
2018-03-13,3610
2018-03-14,3610
2018-03-15,3610
2018-03-16,3610
2018-03-17,3610
2018-03-18,3610
2018-03-20,3610
2018-03-21,3610
2018-03-22,3610
2018-03-23,3610
2018-03-24,3610
2018-03-25,3610
2018-03-26,3610
2018-03-27,3456
2018-03-28,3456
2018-03-29,3456
2018-03-30,3456
2018-03-31,3456
2018-04-01,3456
2018-04-02,3456
2018-04-03,3456
2018-04-04,3456
2018-04-05,3456
2018-04-06,3456
2018-04-07,3456
2018-04-08,3456
2018-04-09,3456
2018-04-10,3456
2018-04-11,3456
2018-04-12,3287
2018-04-13,3287
2018-04-14,3287
2018-04-15,3287
2018-04-16,3287
2018-04-17,3287
2018-04-18,3287
2018-04-19,3287
2018-04-20,3287
2018-04-21,3287
2018-04-22,3287
2018-04-23,3287
2018-04-24,3287
2018-04-25,3287
2018-04-26,3287
2018-04-27,3287
2018-04-28,3287
2018-04-29,3287
2018-04-30,3287
2018-05-01,3136
2018-05-02,3136
2018-05-03,3136
2018-05-04,3136
2018-05-05,3136
2018-05-06,3136
2018-05-07,3136
2018-05-08,3136
2018-05-09,3136
2018-05-10,3136
2018-05-11,3136
2018-05-12,3136
2018-05-13,3136
2018-05-14,3136
2018-05-15,3136
2018-05-16,3136
2018-05-17,3136
2018-05-18,3136
2018-05-19,2995
2018-05-20,2995
2018-05-21,2995
2018-05-22,2995
2018-05-23,2995
2018-05-24,2995
2018-05-25,2995
2018-05-26,2995
2018-05-27,2995
2018-05-28,2995
2018-05-29,2995
2018-05-30,2995
2018-05-31,2995
2018-06-01,2995
2018-06-02,2995
2018-06-03,2861
2018-06-04,2861
2018-06-05,2861
2018-06-06,2861
2018-06-07,2861
2018-06-08,2861
2018-06-09,2861
2018-06-10,2861
2018-06-11,2861
2018-06-12,2861
2018-06-13,2861
2018-06-14,2861
2018-06-15,2861
2018-06-16,2740
2018-06-17,2740
2018-06-18,2740
2018-06-19,2740
2018-06-20,2740
2018-06-21,2740
2018-06-22,2740
2018-06-23,2740
2018-06-24,2740
2018-06-25,2740
2018-06-26,2740
2018-06-27,2740
2018-06-28,2740
2018-06-29,2740
2018-06-30,2740
2018-07-01,2740
2018-07-02,2740
2018-07-03,2621
2018-07-04,2621
2018-07-05,2621
2018-07-06,2621
2018-07-07,2621
2018-07-08,2621
2018-07-09,2621
2018-07-10,2621
2018-07-11,2621
2018-07-12,2621
2018-07-13,2621
2018-07-14,2621
2018-07-15,2621
2018-07-16,2621
2018-07-17,2621
2018-07-18,2621
2018-07-19,2621
2018-07-20,2621
2018-07-21,2621
2018-07-22,2621
2018-07-23,2621
2018-07-24,2621
2018-07-25,2621
2018-07-26,2496
2018-07-27,2496
2018-07-28,2496
2018-07-29,2496
2018-07-30,2496
2018-07-31,2496
2018-08-01,2496
2018-08-02,2496
2018-08-03,2496
2018-08-04,2496
2018-08-05,2389
2018-08-06,2389
2018-08-07,2389
2018-08-08,2389
2018-08-09,2389
2018-08-10,2389
2018-08-11,2389
2018-08-12,2389
2018-08-14,2389
2018-08-16,2281
2018-08-17,2281
2018-08-18,2281
2018-08-19,2281
2018-08-20,2281
2018-08-21,2281
2018-08-22,2281
2018-08-23,2281
2018-08-24,2281
2018-08-25,2281
2018-08-26,2281
2018-08-27,2187
2018-08-28,2187
2018-08-29,2187
2018-08-30,2187
2018-08-31,2187
2018-09-01,2187
2018-09-02,2187
2018-09-03,2187
2018-09-04,2187
2018-09-05,2187
2018-09-06,2187
2018-09-07,2098
2018-09-08,2098
2018-09-09,2098
2018-09-10,2098
2018-09-11,2098
2018-09-12,2098
2018-09-13,2098
2018-09-14,2098
2018-09-15,2098
2018-09-16,2098
2018-09-17,2098
2018-09-18,2098
2018-09-19,2098
2018-09-20,2006
2018-09-21,2006
2018-09-22,2006
2018-09-23,2006
2018-09-24,2006
2018-09-25,2006
2018-09-26,2006
2018-09-27,2006
2018-09-28,2006
2018-09-29,2006
2018-09-30,2006
2018-10-02,2006
2018-10-03,1922
2018-10-04,1922
2018-10-05,1922
2018-10-06,1922
2018-10-07,1922
2018-10-08,1922
2018-10-09,1922
2018-10-10,1922
2018-10-11,1922
2018-10-12,1922
2018-10-13,1922
2018-10-14,1922
2018-10-15,1835
2018-10-16,1835
2018-10-17,1835
2018-10-18,1835
2018-10-19,1835
2018-10-20,1835
2018-10-21,1835
2018-10-22,1835
2018-10-23,1835
2018-10-24,1835
2018-10-25,1835
2018-10-26,1746
2018-10-27,1746
2018-10-28,1746
2018-10-29,1746
2018-10-30,1746
2018-10-31,1746
2018-11-01,1746
2018-11-03,1746
2018-11-04,1746
2018-11-05,1661
2018-11-06,1661
2018-11-07,1661
2018-11-08,1661
2018-11-09,1661
2018-11-10,1661
2018-11-11,1661
2018-11-12,1586
2018-11-13,1586
2018-11-15,1586
2018-11-16,1586
2018-11-17,1586
2018-11-18,1586
2018-11-19,1586
2018-11-20,1520
2018-11-21,1520
2018-11-22,1520
2018-11-23,1520
2018-11-24,1520
2018-11-25,1520
2018-11-26,1520
2018-11-27,1520
2018-11-28,1459
2018-11-29,1459
2018-12-01,1459
2018-12-02,1459
2018-12-03,1459
2018-12-04,1396
2018-12-05,1396
2018-12-07,1396
2018-12-09,1396
2018-12-10,1332
2018-12-11,1332
2018-12-12,1332
2018-12-13,1332
2018-12-14,1332
2018-12-15,1332
2018-12-16,1273
2018-12-17,1273
2018-12-18,1273
2018-12-19,1273
2018-12-20,1273
2018-12-21,1273
2018-12-22,1273
2018-12-23,1212
2018-12-24,1212
2018-12-25,1212
2018-12-26,1212
2018-12-27,1212
2018-12-28,1212
2018-12-29,1185
2018-12-30,1185
2018-12-31,1185
2019-01-01,1185
2019-01-02,1185
2019-01-03,1185
2019-01-04,1133
2019-01-05,1133
2019-01-06,1133
2019-01-08,1133
2019-01-10,1133
2019-01-11,1089
2019-01-12,1089
2019-01-13,1089
2019-01-14,1089
2019-01-15,1089
2019-01-16,1089
2019-01-17,1044
2019-01-18,1044
2019-01-19,1044
2019-01-20,1044
2019-01-21,1044
2019-01-22,1044
2019-01-23,1002
2019-01-24,1002
2019-01-25,1002
2019-01-26,1002
2019-01-27,1002
2019-01-28,1002
2019-01-29,1002
2019-01-30,1002
2019-01-31,1002
2019-02-01,971
2019-02-02,971
2019-02-03,971
2019-02-04,971
2019-02-05,971
2019-02-06,971
2019-02-07,971
2019-02-08,971
2019-02-09,931
2019-02-10,931
2019-02-11,931
2019-02-12,931
2019-02-13,931
2019-02-14,931
2019-02-15,931
2019-02-16,931
2019-02-17,891
2019-02-18,891
2019-02-19,891
2019-02-20,891
2019-02-21,891
2019-02-22,891
2019-02-23,891
2019-02-24,891
2019-02-25,891
2019-02-26,853
2019-02-27,853
2019-02-28,853
2019-03-01,853
2019-03-02,853
2019-03-03,853
2019-03-04,853
2019-03-05,853
2019-03-06,853
2019-03-07,817
2019-03-08,817
2019-03-09,817
2019-03-10,817
2019-03-11,817
2019-03-12,817
2019-03-13,817
2019-03-14,817
2019-03-15,817
2019-03-16,817
2019-03-17,783
2019-03-18,783
2019-03-19,783
2019-03-20,783
2019-03-21,783
2019-03-22,783
2019-03-23,783
2019-03-24,783
2019-03-25,783
