date_obj,Crushed%20nest price
2016-11-14,3724
2016-11-15,3565
2016-12-07,4229
2016-12-08,4352
2016-12-09,4490
2016-12-10,4530
2016-12-11,4486
2016-12-12,4385
2016-12-13,4572
2016-12-14,4603
2016-12-15,4586
2016-12-16,4417
2016-12-17,4278
2016-12-18,4412
2016-12-19,4431
2016-12-20,4572
2016-12-21,4549
2016-12-22,4593
2016-12-23,4613
2016-12-24,4750
2016-12-25,4823
2016-12-26,4850
2016-12-27,4701
2016-12-28,4657
2016-12-29,4656
2016-12-30,4600
2016-12-31,4601
2017-01-01,4525
2017-01-02,4557
2017-01-03,4667
2017-01-04,4812
2017-01-05,4764
2017-01-06,4959
2017-01-07,5195
2017-01-08,5413
2017-01-09,5548
2017-01-10,5432
2017-01-11,5348
2017-01-12,5494
2017-01-13,5684
2017-01-14,5568
2017-01-15,5289
2017-01-16,5265
2017-01-17,5347
2017-01-18,5597
2017-01-19,5852
2017-01-20,5920
2017-01-21,5710
2017-01-22,5623
2017-01-23,5739
2017-01-27,5151
2017-01-28,5015
2017-01-29,5170
2017-01-30,5229
2017-01-31,5166
2017-02-01,5393
2017-02-02,5544
2017-02-03,5354
2017-02-04,5101
2017-02-05,4909
2017-02-06,5038
2017-02-07,5227
2017-02-08,5433
2017-02-09,5672
2017-02-10,5649
2017-02-11,5572
2017-02-12,5564
2017-02-13,5562
2017-02-14,5793
2017-02-15,6083
2017-02-16,6110
2017-02-18,5975
2017-02-19,5745
2017-02-20,5871
2017-02-21,5754
2017-02-22,5673
2017-02-23,5620
2017-02-24,5592
2017-02-25,5640
2017-02-26,5599
2017-02-27,5627
2017-02-28,5636
2017-03-01,5661
2017-03-02,5658
2017-03-03,5687
2017-03-04,5677
2017-03-05,5703
2017-03-06,5669
2017-03-07,5712
2017-03-08,5784
2017-03-09,5795
2017-03-10,6051
2017-03-11,6328
2017-03-12,6583
2017-03-13,6728
2017-03-14,6528
2017-03-15,6316
2017-03-16,6360
2017-03-17,6552
2017-03-18,6653
2017-03-19,6662
2017-03-20,6340
2017-03-21,6077
2017-03-22,5977
2017-03-23,6020
2017-03-24,6064
2017-03-25,5992
2017-03-26,5983
2017-03-27,5987
2017-03-28,5963
2017-03-29,6025
2017-03-30,6138
2017-03-31,6221
2017-04-01,6182
2017-04-02,6236
2017-04-03,6241
2017-04-04,6133
2017-04-12,5804
2017-04-13,5904
2017-04-14,5966
2017-04-15,5838
2017-04-16,5873
2017-04-17,5779
2017-04-18,5772
2017-04-19,5786
2017-04-20,5868
2017-04-21,5946
2017-04-22,5851
2017-04-23,5776
2017-04-24,5703
2017-04-25,5589
2017-04-26,5657
2017-04-27,5737
2017-04-28,5822
2017-04-29,5952
2017-04-30,6083
2017-05-01,6073
2017-05-02,6238
2017-05-03,6354
2017-05-04,6448
2017-05-05,6285
2017-05-06,6164
2017-05-07,6365
2017-05-08,6613
2017-05-09,6520
2017-05-10,6388
2017-05-11,6437
2017-05-12,6471
2017-05-13,6724
2017-05-14,6910
2017-05-15,7007
2017-05-16,7037
2017-05-17,6787
2017-05-18,6670
2017-05-19,6557
2017-05-20,6522
2017-05-21,6500
2017-05-22,6288
2017-05-23,6079
2017-05-24,6163
2017-05-25,6185
2017-05-26,6127
2017-05-27,6143
2017-05-28,6162
2017-05-29,6207
2017-05-30,6184
2017-05-31,6195
2017-06-01,6038
2017-06-02,5738
2017-06-03,5470
2017-06-04,5324
2017-06-05,5167
2017-06-06,4914
2017-06-07,4718
2017-06-08,4658
2017-06-09,4588
2017-06-10,4599
2017-06-11,4664
2017-06-12,4580
2017-06-13,4383
2017-06-14,4196
2017-06-15,4195
2017-06-16,4285
2017-06-17,4255
2017-06-18,4178
2017-06-19,4112
2017-06-20,4116
2017-06-21,4158
2017-06-22,4212
2017-06-23,4202
2017-06-24,4121
2017-06-25,3963
2017-06-26,4084
2017-06-27,4100
2017-06-28,4189
2017-06-29,4204
2017-06-30,4396
2017-07-01,4384
2017-07-02,4189
2017-07-03,4068
2017-07-04,4066
2017-07-05,4049
2017-07-06,4003
2017-07-07,4045
2017-07-08,4220
2017-07-13,4229
2017-07-14,4225
