date_obj,Bronze%20kiteshield%20(g) price
2017-10-25,52083
2017-10-26,52083
2017-10-27,52773
2017-10-28,52773
2017-10-29,52773
2017-10-30,52654
2017-10-31,52654
2017-11-01,52654
2017-11-02,51982
2017-11-03,51982
2017-11-04,53588
2017-11-05,53588
2017-11-06,53588
2017-11-07,52597
2017-11-08,52597
2017-11-09,51128
2017-11-10,51128
2017-11-11,51128
2017-11-12,49180
2017-11-13,49180
2017-11-14,48930
2017-11-15,48930
2017-11-16,47413
2017-11-17,47413
2017-11-18,47413
2017-11-19,47878
2017-11-20,47878
2017-11-21,47878
2017-11-22,48556
2017-11-23,48556
2017-11-24,48713
2017-11-25,48713
2017-11-26,48765
2017-11-27,48765
2017-11-28,48353
2017-11-29,48353
2017-11-30,48353
2017-12-01,48169
2017-12-02,48169
2017-12-03,47952
2017-12-04,47952
2017-12-05,48516
2017-12-06,48516
2017-12-07,49066
2017-12-08,49066
2017-12-09,49066
2017-12-10,49616
2017-12-11,49616
2017-12-12,50336
2017-12-13,50336
2017-12-14,51130
2017-12-15,51130
2017-12-16,51323
2017-12-17,51323
2017-12-18,51980
2017-12-19,51980
2017-12-20,51980
2017-12-21,51645
2017-12-22,51645
2017-12-23,51736
2017-12-24,51736
2017-12-25,51736
2017-12-26,51902
2017-12-27,51902
2017-12-28,52261
2017-12-29,52261
2017-12-30,52334
2017-12-31,52334
2018-01-01,51142
2018-01-02,51142
2018-01-03,51086
2018-01-04,51086
2018-01-05,50846
2018-01-06,50846
2018-01-07,49806
2018-01-08,49806
2018-01-09,48185
2018-01-10,48185
2018-01-11,47318
2018-01-12,47318
2018-01-13,46991
2018-01-14,46991
2018-01-15,47300
2018-01-16,47300
2018-01-17,48244
2018-01-18,48244
2018-01-19,48244
2018-01-20,48889
2018-01-21,48889
2018-01-22,49065
2018-01-23,49065
2018-01-24,49394
2018-01-25,49394
2018-01-26,49394
2018-01-27,49085
2018-01-28,48459
2018-01-29,48459
2018-01-30,46916
2018-01-31,46916
2018-02-01,47871
2018-02-02,47871
2018-02-03,48629
2018-02-04,48629
2018-02-05,49266
2018-02-06,49266
2018-02-07,49441
2018-02-08,49441
2018-02-09,50297
2018-02-10,50297
2018-02-11,49492
2018-02-12,49492
2018-02-13,48589
2018-02-14,48589
2018-02-15,46159
2018-02-16,46159
2018-02-17,44412
2018-02-18,44412
2018-02-19,42943
2018-02-20,42943
2018-02-21,42394
2018-02-22,42394
2018-02-23,41858
2018-02-24,41858
2018-02-25,42152
2018-02-26,42152
2018-02-27,40969
2018-02-28,40969
2018-03-01,40692
2018-03-02,40733
2018-03-03,40733
2018-03-04,41504
2018-03-05,41504
2018-03-06,41774
2018-03-07,41774
2018-03-08,42069
2018-03-09,42069
2018-03-10,40882
2018-03-11,40882
2018-03-12,39761
