date_obj,Pink%20elegant%20legs price
2017-12-04,1074
2017-12-05,1074
2017-12-06,1035
2017-12-07,1035
2017-12-08,1035
2017-12-09,1056
2017-12-10,1056
2017-12-11,1056
2017-12-12,1095
2017-12-14,1095
2017-12-15,1135
2017-12-16,1135
2017-12-17,1135
2017-12-18,1168
2017-12-19,1168
2017-12-20,1168
2017-12-21,1197
2017-12-22,1197
2017-12-23,1197
2017-12-24,1241
2017-12-25,1241
2017-12-26,1241
2017-12-27,1304
2017-12-28,1304
2017-12-29,1304
2017-12-30,1343
2017-12-31,1343
2018-01-01,1343
2018-01-02,1392
2018-01-03,1392
2018-01-04,1392
2018-01-05,1420
2018-01-06,1420
2018-01-07,1420
2018-01-08,1461
2018-01-09,1461
2018-01-10,1461
2018-01-11,1520
2018-01-12,1520
2018-01-13,1520
2018-01-14,1533
2018-01-15,1533
2018-01-16,1555
2018-01-17,1555
2018-01-18,1587
2018-01-19,1587
2018-01-20,1587
2018-01-21,1550
2018-01-22,1550
2018-01-23,1550
2018-01-24,1541
2018-01-25,1541
2018-01-26,1541
2018-01-27,1504
2018-01-28,1504
2018-01-29,1469
2018-01-31,1442
2018-02-01,1442
2018-02-02,1442
2018-02-03,1380
2018-02-04,1380
2018-02-05,1380
2018-02-06,1342
2018-02-07,1342
2018-02-08,1342
2018-02-09,1307
2018-02-10,1307
2018-02-11,1278
2018-02-12,1278
2018-02-13,1278
2018-02-14,1236
2018-02-15,1236
2018-02-16,1236
2018-02-17,1222
2018-02-18,1222
2018-02-19,1249
2018-02-20,1249
2018-02-21,1249
2018-02-22,1294
2018-02-23,1294
2018-02-24,1294
2018-02-25,1269
2018-02-26,1269
2018-02-27,1269
2018-03-01,1250
2018-03-02,1209
2018-03-03,1209
2018-03-04,1209
2018-03-05,1178
2018-03-06,1178
2018-03-07,1168
2018-03-08,1168
2018-03-09,1168
2018-03-10,1167
2018-03-11,1167
2018-03-12,1115
2018-03-13,1115
2018-03-14,1102
2018-03-15,1102
2018-03-16,1102
2018-03-17,1145
2018-03-18,1145
2018-03-19,1145
2018-03-20,1173
2018-03-21,1173
2018-03-23,1173
2018-03-24,1216
2018-03-26,1216
2018-03-27,1255
2018-03-28,1255
2018-03-29,1255
2018-03-30,1220
2018-03-31,1220
2018-04-01,1220
2018-04-02,1235
2018-04-03,1235
2018-04-04,1247
2018-04-05,1247
2018-04-06,1247
2018-04-08,1254
2018-04-09,1254
2018-04-10,1254
2018-04-11,1269
2018-04-12,1269
2018-04-13,1269
2018-04-14,1269
2018-04-15,1315
2018-04-16,1315
2018-04-17,1315
2018-04-18,1352
2018-04-19,1352
2018-04-20,1352
2018-04-21,1414
2018-04-22,1414
2018-04-23,1414
2018-04-24,1434
2018-04-25,1434
2018-04-26,1434
2018-04-27,1471
2018-04-28,1471
2018-04-29,1493
2018-04-30,1493
2018-05-01,1493
2018-05-02,1448
2018-05-03,1448
2018-05-04,1448
2018-05-05,1408
2018-05-06,1408
2018-05-07,1408
2018-05-08,1449
