date_obj,Ring%20of%20wealth price
2019-04-08,12072
2019-04-09,11986
2019-04-10,11965
2019-04-11,11997
2019-04-12,12064
2019-04-13,12053
2019-04-14,11979
2019-04-15,11976
2019-04-16,11946
2019-04-17,11970
2019-04-18,12142
2019-04-19,11970
2019-04-20,11895
2019-04-21,11958
2019-04-22,12001
2019-04-23,12124
2019-04-24,12102
2019-04-25,12359
2019-04-26,12052
2019-04-27,12026
2019-04-28,12146
2019-04-29,12145
2019-04-30,12199
2019-05-01,12308
2019-05-02,12299
2019-05-03,12303
2019-05-04,12377
2019-05-05,12217
2019-05-06,12199
2019-05-07,12265
2019-05-08,12285
2019-05-09,12310
2019-05-10,12280
2019-05-11,12249
2019-05-12,12242
2019-05-13,12259
2019-05-14,12294
2019-05-15,12180
2019-05-16,12401
2019-05-17,12459
2019-05-18,12702
2019-05-19,12581
2019-05-20,12487
2019-05-21,12358
2019-05-22,12332
2019-05-23,12355
2019-05-24,12370
2019-05-25,12156
2019-05-26,12019
2019-05-27,11911
2019-05-28,11933
2019-05-29,12073
2019-05-30,12137
2019-05-31,12427
2019-06-01,12569
2019-06-02,12329
2019-06-03,12117
2019-06-04,12278
2019-06-05,12228
2019-06-06,12150
2019-06-07,11941
2019-06-08,11930
2019-06-09,12006
2019-06-10,12257
2019-06-11,12343
2019-06-12,12484
2019-06-13,12250
2019-06-14,12195
2019-06-15,12157
2019-06-16,12070
2019-06-17,12205
2019-06-18,12286
2019-06-19,12319
2019-06-20,12444
2019-06-21,12500
2019-06-22,12570
2019-06-23,12536
2019-06-24,12177
2019-06-25,12102
2019-06-26,11981
2019-06-27,12120
2019-06-28,12154
2019-06-29,12169
2019-06-30,12226
2019-07-01,12264
2019-07-02,12258
2019-07-03,12261
2019-07-04,12208
2019-07-05,12279
2019-07-06,12252
2019-07-07,12159
2019-07-08,12180
2019-07-09,12160
2019-07-10,12156
2019-07-11,12216
2019-07-12,12293
2019-07-13,12373
2019-07-14,12249
2019-07-15,12161
2019-07-16,12201
2019-07-17,12202
2019-07-18,12371
2019-07-19,12384
2019-07-20,12536
2019-07-21,12277
2019-07-22,12193
2019-07-23,12458
2019-07-24,12376
2019-07-25,12376
2019-07-26,12254
2019-07-27,12237
2019-07-28,12270
2019-07-29,12444
2019-07-30,12522
2019-07-31,12445
2019-08-01,12351
2019-08-02,12355
2019-08-03,12318
2019-08-04,12145
2019-08-05,12106
2019-08-06,12172
2019-08-07,12232
2019-08-08,12254
2019-08-09,12418
2019-08-10,12208
2019-08-11,12188
2019-08-12,12133
2019-08-13,12118
2019-08-14,11996
2019-08-15,11947
2019-08-16,11861
2019-08-17,11865
2019-08-18,11682
2019-08-19,11565
2019-08-20,11575
2019-08-21,11542
2019-08-22,11492
2019-08-23,11540
2019-08-24,11591
2019-08-24,11591
2019-08-25,11431
2019-08-25,11431
2019-08-26,11425
2019-08-26,11425
2019-08-27,11508
2019-08-27,11508
2019-08-28,11678
2019-08-29,11870
2019-08-30,12172
2019-08-31,12235
2019-09-01,12000
2019-09-02,12067
2019-09-03,11998
2019-09-04,11951
2019-09-05,11989
2019-09-06,11959
2019-09-07,11948
2019-09-08,11998
2019-09-09,12070
2019-09-10,12211
2019-09-11,12132
2019-09-12,12312
2019-09-13,12427
2019-09-14,12656
2019-09-15,12533
2019-09-16,12351
2019-09-17,12332
2019-09-18,12064
2019-09-19,12129
2019-09-20,12173
2019-09-21,11991
2019-09-22,11966
2019-09-23,12173
2019-09-24,12258
2019-09-25,12361
2019-09-26,12311
2019-09-27,12296
2019-09-28,12207
2019-09-29,12036
2019-09-30,12116
2019-10-01,12127
2019-10-02,12158
2019-10-03,12228
2019-10-04,12245
2019-10-05,12228
2019-10-06,12054
2019-10-07,11994
2019-10-08,11830
2019-10-09,11894
2019-10-10,11796
2019-10-11,11959
2019-10-12,11713
2019-10-13,11700
2019-10-14,11810
2019-10-15,12036
2019-10-16,12046
2019-10-17,12103
2019-10-18,11976
2019-10-19,11751
2019-10-20,11726
2019-10-21,12031
2019-10-22,11949
2019-10-23,12022
2019-10-24,12081
2019-10-25,12042
2019-10-26,12046
2019-10-27,12004
2019-10-28,11947
2019-10-29,11861
2019-10-30,11901
2019-10-31,11866
2019-11-01,11823
2019-11-02,11661
2019-11-03,11639
2019-11-04,11734
2019-11-05,11727
2019-11-06,11741
2019-11-07,11821
2019-11-08,11797
2019-11-09,11740
2019-11-10,11837
2019-11-11,11814
2019-11-12,11783
2019-11-13,11858
2019-11-14,11835
2019-11-15,11946
2019-11-16,11665
2019-11-17,11809
2019-11-18,11905
2019-11-19,11903
2019-11-20,12112
2019-11-21,12300
2019-11-22,12320
2019-11-23,12268
2019-11-24,12125
2019-11-25,11950
2019-11-26,11795
2019-11-27,11667
2019-11-28,11656
2019-11-29,11898
2019-11-30,11832
2019-12-01,11800
2019-12-02,11915
2019-12-03,12008
2019-12-04,12076
2019-12-05,12195
2019-12-06,12099
2019-12-07,12105
2019-12-08,11921
2019-12-09,11974
2019-12-10,11944
2019-12-11,11874
2019-12-12,11880
2019-12-13,11909
2019-12-14,11930
2019-12-15,11931
2019-12-16,11926
2019-12-17,11969
2019-12-18,11897
2019-12-19,11725
2019-12-20,11845
2019-12-21,11946
2019-12-22,12023
2019-12-23,11983
2019-12-24,11932
2019-12-25,11909
2019-12-26,11917
2019-12-27,11994
2019-12-28,11923
2019-12-29,11908
2019-12-30,11922
2019-12-31,11754
2020-01-01,11812
2020-01-02,11966
2020-01-03,12150
2020-01-04,12224
2020-01-05,11967
2020-01-06,11934
2020-01-07,11961
2020-01-08,11910
2020-01-09,11952
2020-01-10,11934
2020-01-11,11962
2020-01-12,12084
2020-01-13,12128
2020-01-14,12106
2020-01-15,12001
2020-01-16,11933
2020-01-17,11955
2020-01-18,11852
2020-01-19,11866
2020-01-20,11932
2020-01-21,12068
2020-01-22,12117
2020-01-23,12007
2020-01-24,12121
2020-01-25,12266
2020-01-26,12167
2020-01-27,12099
2020-01-28,12115
2020-01-29,12157
2020-01-30,12240
2020-01-31,12274
2020-02-01,12138
2020-02-02,12060
2020-02-03,12022
2020-02-04,12077
2020-02-05,12085
2020-02-06,12038
2020-02-07,12019
2020-02-08,11983
2020-02-09,11884
2020-02-10,11811
2020-02-11,11825
2020-02-12,11859
2020-02-13,11933
2020-02-14,11946
2020-02-15,11846
2020-02-16,11704
2020-02-17,11842
2020-02-18,11899
2020-02-19,11979
2020-02-20,12012
2020-02-21,12105
2020-02-22,11931
2020-02-23,11866
2020-02-24,11852
2020-02-25,12050
2020-02-26,12143
2020-02-27,12058
2020-02-28,12220
2020-02-29,12112
2020-03-01,12018
2020-03-02,12080
2020-03-03,12090
2020-03-04,12106
2020-03-05,12164
2020-03-06,12169
2020-03-07,11960
2020-03-08,11942
2020-03-09,11913
2020-03-10,11978
2020-03-11,11880
2020-03-12,11912
2020-03-13,11935
2020-03-14,12122
2020-03-15,12169
2020-03-16,12406
2020-03-17,12411
2020-03-18,12232
2020-03-19,12075
2020-03-20,12162
2020-03-21,12124
2020-03-22,12195
2020-03-23,12177
2020-03-24,12116
2020-03-25,12039
2020-03-26,12006
2020-03-27,12007
2020-03-28,11961
2020-03-29,12022
2020-03-30,12066
2020-03-31,12073
2020-04-01,12095
2020-04-02,12163
2020-04-03,12119
2020-04-04,12081
2020-04-05,11990
2020-04-06,12014
2020-04-07,12055
2020-04-08,12275
2020-04-09,12454
2020-04-10,12547
2020-04-11,12539
2020-04-12,12316
2020-04-13,12085
2020-04-14,12072
2020-04-15,12055
2020-04-16,12003
2020-04-17,11970
2020-04-18,12077
2020-04-19,12073
2020-04-20,12161
2020-04-21,12116
2020-04-22,12264
2020-04-23,12251
2020-04-24,12081
2020-04-25,12148
2020-04-26,12192
2020-04-27,12250
2020-04-28,12155
2020-04-29,12107
2020-04-30,12071
2020-05-01,11983
2020-05-02,12020
2020-05-03,12074
2020-05-04,12078
2020-05-05,12103
2020-05-06,12128
2020-05-07,12121
2020-05-08,12114
2020-05-09,12116
2020-05-10,12029
2020-05-11,12146
2020-05-12,12183
2020-05-13,12144
