date_obj,Steel%20plateskirt%20(t) price
2018-08-28,1578
2018-08-29,1578
2018-08-30,1578
2018-08-31,1578
2018-09-01,1509
2018-09-02,1509
2018-09-03,1509
2018-09-04,1509
2018-09-05,1509
2018-09-06,1509
2018-09-07,1507
2018-09-08,1507
2018-09-09,1507
2018-09-10,1507
2018-09-11,1507
2018-09-12,1507
2018-09-13,1446
2018-09-14,1446
2018-09-15,1446
2018-09-16,1446
2018-09-17,1446
2018-09-18,1386
2018-09-19,1386
2018-09-20,1386
2018-09-21,1386
2018-09-22,1386
2018-09-23,1386
2018-09-24,1331
2018-09-25,1331
2018-09-26,1331
2018-09-27,1331
2018-09-28,1331
2018-09-29,1331
2018-09-30,1331
2018-10-02,1301
2018-10-03,1301
2018-10-04,1301
2018-10-05,1301
2018-10-06,1301
2018-10-07,1301
2018-10-08,1347
2018-10-09,1347
2018-10-10,1347
2018-10-11,1347
2018-10-12,1347
2018-10-13,1347
2018-10-14,1347
2018-10-15,1404
2018-10-16,1404
2018-10-17,1404
2018-10-18,1404
2018-10-19,1404
2018-10-20,1404
2018-10-21,1404
2018-10-22,1442
2018-10-23,1442
2018-10-24,1442
2018-10-25,1442
2018-10-26,1442
2018-10-27,1442
2018-10-28,1442
2018-10-29,1442
2018-10-30,1440
2018-10-31,1440
2018-11-01,1440
2018-11-03,1495
2018-11-04,1495
2018-11-05,1539
2018-11-06,1539
2018-11-07,1539
2018-11-08,1516
2018-11-09,1516
2018-11-10,1516
2018-11-11,1474
2018-11-12,1474
2018-11-13,1446
2018-11-14,1446
2018-11-15,1446
2018-11-16,1396
2018-11-17,1396
2018-11-18,1396
2018-11-19,1347
2018-11-20,1347
2018-11-21,1347
2018-11-22,1328
2018-11-23,1328
2018-11-24,1328
2018-11-25,1308
2018-11-26,1308
2018-11-27,1308
2018-11-28,1308
2018-11-29,1271
2018-12-01,1271
2018-12-02,1269
2018-12-03,1269
2018-12-04,1269
2018-12-05,1269
2018-12-07,1300
2018-12-09,1300
2018-12-10,1318
2018-12-11,1318
2018-12-12,1318
2018-12-13,1318
2018-12-14,1285
2018-12-15,1285
2018-12-16,1285
2018-12-17,1285
2018-12-18,1249
2018-12-19,1249
2018-12-20,1249
2018-12-21,1249
2018-12-22,1261
2018-12-23,1261
2018-12-24,1261
2018-12-25,1261
2018-12-26,1214
2018-12-27,1214
2018-12-28,1214
2018-12-29,1226
2018-12-30,1226
2018-12-31,1226
2019-01-01,1226
2019-01-02,1205
2019-01-03,1205
2019-01-04,1205
2019-01-05,1205
2019-01-06,1238
2019-01-08,1238
2019-01-10,1250
2019-01-11,1250
2019-01-12,1250
2019-01-13,1250
2019-01-14,1205
2019-01-15,1205
2019-01-16,1205
2019-01-17,1205
2019-01-18,1220
2019-01-19,1220
2019-01-20,1220
2019-01-21,1220
2019-01-22,1270
2019-01-23,1270
2019-01-25,1270
2019-01-26,1270
2019-01-27,1305
2019-01-28,1305
2019-01-29,1305
2019-01-30,1305
2019-01-31,1305
2019-02-01,1318
2019-02-02,1318
2019-02-03,1318
2019-02-04,1318
2019-02-05,1366
2019-02-06,1366
2019-02-07,1366
2019-02-08,1366
2019-02-09,1366
2019-02-10,1433
2019-02-11,1433
2019-02-12,1433
2019-02-13,1433
2019-02-14,1433
2019-02-15,1486
2019-02-16,1486
2019-02-17,1486
2019-02-18,1486
2019-02-19,1486
2019-02-20,1486
2019-02-21,1522
2019-02-22,1522
2019-02-23,1522
2019-02-24,1522
