date_obj,Combat%20bracelet price
2017-07-20,18418
2017-07-21,18196
2017-07-22,18321
2017-07-23,18609
2017-07-24,18627
2017-07-25,18205
2017-07-26,18064
2017-07-27,17761
2017-07-28,17636
2017-07-29,17372
2017-07-30,17248
2017-07-31,17213
2017-08-01,17405
2017-08-02,17593
2017-08-03,17831
2017-08-04,17854
2017-08-05,17967
2017-08-06,18522
2017-08-09,18390
2017-08-10,18167
2017-08-11,18034
2017-08-12,18061
2017-08-13,18206
2017-08-14,18236
2017-08-15,18308
2017-08-16,18622
2017-08-17,18220
2017-08-18,18038
2017-08-19,18203
2017-08-20,18546
2017-08-21,18879
2017-08-22,18980
2017-08-23,18680
2017-08-24,18588
2017-08-25,18849
2017-08-26,18809
2017-08-27,18082
2017-08-28,17877
2017-08-29,18006
2017-08-30,18156
2017-08-31,18679
2017-09-01,19068
2017-09-03,19479
2017-09-04,19135
2017-09-05,18810
2017-09-06,18338
2017-09-07,18296
2017-09-08,18186
2017-09-09,18366
2017-09-10,18140
2017-09-11,18598
2017-09-12,18997
2017-09-13,18670
2017-09-14,19073
2017-09-15,19166
2017-09-16,19111
2017-09-17,19146
2017-09-18,18691
2017-09-19,18558
2017-09-20,18265
2017-09-21,18102
2017-09-22,18123
2017-09-23,18103
2017-09-24,18481
2017-09-25,18989
2017-09-26,18555
2017-09-27,19015
2017-09-28,18806
2017-09-29,18775
2017-09-30,19334
2017-10-01,19873
2017-10-02,20107
2017-10-03,20580
2017-10-04,21229
2017-10-05,20801
2017-10-06,21333
2017-10-07,20789
2017-10-08,20608
2017-10-09,21288
2017-10-10,20863
2017-10-11,21251
2017-10-12,21308
2017-10-13,21564
2017-10-14,22287
2017-10-15,22134
2017-10-16,22098
2017-10-17,22575
2017-10-18,21936
2017-10-19,20933
2017-10-20,20771
2017-10-21,20735
2017-10-22,20668
2017-10-23,19678
2017-10-24,19831
2017-10-25,20220
2017-10-26,20457
2017-10-27,20464
2017-10-28,20205
2017-10-29,20514
2017-10-30,20059
2017-10-31,19957
2017-11-01,19907
2017-11-02,19631
2017-11-03,19699
2017-11-04,19648
2017-11-05,19637
2017-11-06,19318
2017-11-07,19296
2017-11-08,19448
2017-11-09,19309
2017-11-10,19443
2017-11-11,19722
2017-11-12,20166
2017-11-13,19798
2017-11-14,19752
2017-11-15,19991
2017-11-16,20173
2017-11-17,19921
2017-11-18,20324
2017-11-19,20340
2017-11-20,20041
2017-11-21,19089
2017-11-22,18644
2017-11-23,18541
2017-11-24,18609
2017-11-25,18913
2017-11-26,18810
2017-11-27,18775
2017-11-28,18739
2017-11-29,18856
2017-11-30,19119
2017-12-01,19163
2017-12-02,19378
2017-12-03,19637
2017-12-04,19664
2017-12-05,19897
2017-12-06,19861
2017-12-07,19620
2017-12-08,19557
2017-12-09,19511
2017-12-10,19968
2017-12-11,20072
2017-12-12,19737
2017-12-13,19679
2017-12-14,19137
2017-12-15,19332
2017-12-16,19235
2017-12-17,19292
2017-12-18,19126
2017-12-19,19251
2017-12-20,18881
2017-12-21,18305
2017-12-22,18776
2017-12-23,18794
2017-12-24,18895
2017-12-25,18735
2017-12-26,18461
2017-12-27,18533
2017-12-28,18693
2017-12-29,18842
2017-12-30,19189
2017-12-31,19255
2018-01-01,19529
2018-01-02,19495
2018-01-03,19080
2018-01-04,18989
2018-01-05,18834
2018-01-06,18533
2018-01-07,18232
2018-01-08,18106
2018-01-09,17834
2018-01-10,17773
2018-01-11,17968
2018-01-12,17941
2018-01-13,17972
2018-01-14,17648
2018-01-15,17258
2018-01-16,16970
2018-01-17,16508
2018-01-18,16484
