date_obj,Chocchip%20crunchies price
2017-02-15,801
2017-02-16,801
2017-02-18,801
2017-02-19,801
2017-02-20,801
2017-02-21,801
2017-02-22,801
2017-02-23,801
2017-02-24,801
2017-02-25,801
2017-02-26,801
2017-02-27,801
2017-02-28,801
2017-03-01,801
2017-03-02,801
2017-03-03,801
2017-03-04,801
2017-03-05,801
2017-03-06,792
2017-03-07,792
2017-03-08,792
2017-03-09,792
2017-03-10,792
2017-03-11,792
2017-03-12,792
2017-03-13,792
2017-03-14,792
2017-03-15,792
2017-03-16,792
2017-03-17,792
2017-03-18,792
2017-03-19,792
2017-03-20,792
2017-03-21,792
2017-03-22,792
2017-03-23,792
2017-03-24,792
2017-03-25,792
2017-03-26,792
2017-03-27,792
2017-03-28,792
2017-03-29,792
2017-03-30,817
2017-03-31,817
2017-04-01,817
2017-04-02,817
2017-04-03,817
2017-04-04,817
2017-04-12,817
2017-04-13,817
2017-04-14,817
2017-04-15,817
2017-04-16,817
2017-04-17,817
2017-04-18,817
2017-04-19,817
2017-04-20,817
2017-04-21,817
2017-04-22,817
2017-04-23,817
2017-04-24,817
2017-04-25,817
2017-04-26,817
2017-04-27,828
2017-04-28,828
2017-04-29,828
2017-04-30,828
2017-05-01,828
2017-05-02,828
2017-05-03,828
2017-05-04,828
2017-05-05,828
2017-05-06,828
2017-05-07,828
2017-05-08,828
2017-05-09,828
2017-05-10,828
2017-05-11,828
2017-05-12,828
2017-05-13,828
2017-05-14,828
2017-05-15,828
2017-05-16,828
2017-05-17,828
2017-05-18,828
2017-05-19,828
2017-05-20,828
2017-05-21,828
2017-05-22,828
2017-05-23,828
2017-05-24,844
2017-05-25,844
2017-05-26,844
2017-05-27,844
2017-05-28,844
2017-05-29,844
2017-05-30,844
2017-05-31,844
2017-06-01,844
2017-06-02,844
2017-06-03,844
2017-06-04,844
2017-06-05,844
2017-06-06,844
2017-06-07,844
2017-06-08,844
2017-06-09,844
2017-06-10,844
2017-06-11,844
2017-06-12,844
2017-06-13,855
2017-06-14,855
2017-06-15,855
2017-06-16,855
2017-06-17,855
2017-06-18,855
2017-06-19,855
2017-06-20,855
2017-06-21,855
2017-06-22,855
2017-06-23,855
2017-06-24,855
2017-06-25,855
2017-06-26,855
2017-06-27,855
2017-06-28,855
2017-06-29,855
2017-06-30,855
2017-07-01,855
2017-07-02,855
2017-07-03,855
2017-07-04,855
2017-07-05,855
2017-07-06,855
2017-07-07,855
2017-07-08,855
2017-07-13,863
2017-07-14,863
2017-07-15,863
2017-07-16,863
2017-07-17,863
2017-07-18,863
2017-07-19,863
2017-07-20,863
2017-07-21,863
2017-07-22,863
2017-07-23,863
2017-07-24,863
2017-07-25,863
2017-07-26,863
2017-07-27,863
2017-07-28,863
2017-07-29,863
2017-07-30,863
2017-07-31,863
2017-08-01,876
2017-08-02,876
2017-08-03,876
2017-08-04,876
2017-08-05,876
2017-08-06,876
2017-08-09,876
2017-08-10,876
2017-08-11,876
2017-08-12,876
2017-08-13,876
2017-08-14,876
2017-08-15,876
2017-08-16,876
2017-08-17,876
2017-08-18,876
2017-08-19,876
2017-08-20,876
2017-08-21,876
2017-08-22,895
2017-08-23,895
2017-08-24,895
2017-08-25,895
2017-08-26,895
2017-08-27,895
2017-08-28,895
2017-08-29,895
2017-08-30,895
2017-08-31,895
2017-09-01,895
2017-09-02,895
2017-09-03,895
2017-09-04,895
2017-09-05,895
2017-09-06,895
2017-09-07,895
2017-09-08,895
2017-09-09,895
2017-09-10,895
2017-09-11,895
2017-09-12,895
2017-09-13,895
2017-09-14,895
2017-09-15,895
2017-09-16,895
2017-09-17,895
2017-09-18,895
2017-09-19,895
2017-09-20,873
2017-09-21,873
2017-09-22,873
2017-09-23,873
2017-09-24,873
2017-09-25,873
2017-09-26,873
2017-09-27,873
2017-09-28,873
2017-09-29,873
2017-09-30,873
2017-10-01,873
2017-10-02,873
2017-10-03,873
2017-10-04,873
2017-10-05,873
2017-10-06,873
2017-10-07,873
2017-10-08,873
2017-10-09,873
2017-10-10,873
2017-10-11,873
2017-10-12,873
2017-10-13,855
2017-10-14,855
2017-10-15,855
2017-10-16,855
2017-10-17,855
2017-10-18,855
2017-10-19,855
2017-10-20,855
2017-10-21,855
2017-10-22,855
2017-10-23,855
2017-10-24,855
2017-10-25,855
2017-10-26,855
2017-10-27,855
2017-10-28,855
2017-10-29,855
2017-10-30,855
2017-10-31,855
2017-11-01,855
2017-11-02,855
2017-11-03,855
2017-11-04,855
2017-11-05,855
2017-11-06,855
2017-11-07,873
2017-11-08,873
2017-11-09,873
2017-11-10,873
2017-11-11,873
2017-11-12,873
2017-11-13,873
2017-11-14,873
2017-11-15,873
2017-11-16,873
2017-11-17,873
2017-11-18,873
2017-11-19,873
2017-11-20,873
2017-11-21,873
2017-11-22,873
2017-11-23,873
2017-11-24,873
2017-11-25,873
2017-11-26,907
2017-11-27,907
2017-11-28,907
2017-11-29,907
2017-11-30,907
2017-12-01,907
2017-12-02,907
2017-12-03,907
2017-12-04,907
2017-12-05,907
2017-12-06,907
2017-12-07,907
2017-12-08,907
2017-12-09,907
2017-12-10,907
2017-12-11,907
2017-12-12,907
