date_obj,Ring%20of%20recoil price
2019-05-16,926
2019-05-17,915
2019-05-18,895
2019-05-19,900
2019-05-20,936
2019-05-21,938
2019-05-22,933
2019-05-23,939
2019-05-24,954
2019-05-25,967
2019-05-26,963
2019-05-27,955
2019-05-28,941
2019-05-29,932
2019-05-30,925
2019-05-31,928
2019-06-01,927
2019-06-02,952
2019-06-03,939
2019-06-04,936
2019-06-05,927
2019-06-06,938
2019-06-07,934
2019-06-08,931
2019-06-09,916
2019-06-10,908
2019-06-11,898
2019-06-12,899
2019-06-13,904
2019-06-14,897
2019-06-15,905
2019-06-16,912
2019-06-17,922
2019-06-18,925
2019-06-19,926
2019-06-20,940
2019-06-21,928
2019-06-22,948
2019-06-23,950
2019-06-24,928
2019-06-25,913
2019-06-26,897
2019-06-27,887
2019-06-28,890
2019-06-29,894
2019-06-30,919
2019-07-01,944
2019-07-02,968
2019-07-03,982
2019-07-04,1003
2019-07-05,984
2019-07-06,964
2019-07-07,936
2019-07-08,918
2019-07-09,924
2019-07-10,922
2019-07-11,915
2019-07-12,915
2019-07-13,929
2019-07-14,928
2019-07-15,920
2019-07-16,951
2019-07-17,997
2019-07-18,1008
2019-07-19,1012
2019-07-20,1025
2019-07-21,1013
2019-07-22,982
2019-07-23,957
2019-07-24,954
2019-07-25,954
2019-07-26,948
2019-07-27,954
2019-07-28,956
2019-07-29,953
2019-07-30,938
2019-07-31,932
2019-08-01,925
2019-08-02,922
2019-08-03,919
2019-08-04,935
2019-08-05,917
2019-08-06,903
2019-08-07,915
2019-08-08,915
2019-08-09,912
2019-08-10,915
2019-08-11,928
2019-08-12,932
2019-08-13,912
2019-08-14,893
2019-08-15,869
2019-08-16,866
2019-08-17,868
2019-08-18,879
2019-08-19,895
2019-08-20,895
2019-08-21,917
2019-08-22,922
2019-08-23,903
2019-08-24,913
2019-08-24,913
2019-08-25,925
2019-08-25,925
2019-08-26,918
2019-08-26,918
2019-08-27,917
2019-08-27,917
2019-08-28,919
2019-08-29,905
2019-08-30,902
2019-08-31,930
2019-09-01,937
2019-09-02,941
2019-09-03,915
2019-09-04,907
2019-09-05,901
2019-09-06,892
2019-09-07,881
2019-09-08,877
2019-09-09,875
2019-09-10,882
2019-09-11,887
2019-09-12,912
2019-09-13,913
2019-09-14,922
2019-09-15,928
2019-09-16,922
2019-09-17,908
2019-09-18,887
2019-09-19,877
2019-09-20,874
2019-09-21,879
2019-09-22,895
2019-09-23,914
2019-09-24,912
2019-09-25,917
2019-09-26,925
2019-09-27,943
2019-09-28,932
2019-09-29,955
2019-09-30,923
2019-10-01,915
2019-10-02,911
2019-10-03,895
2019-10-04,888
2019-10-05,883
2019-10-06,876
2019-10-07,870
2019-10-08,865
2019-10-09,867
2019-10-10,878
2019-10-11,891
2019-10-12,895
2019-10-13,888
2019-10-14,885
2019-10-15,892
2019-10-16,884
2019-10-17,878
2019-10-18,887
2019-10-19,899
2019-10-20,913
2019-10-21,912
2019-10-22,897
2019-10-23,880
2019-10-24,875
2019-10-25,876
2019-10-26,880
2019-10-27,889
2019-10-28,881
2019-10-29,885
2019-10-30,880
2019-10-31,884
2019-11-01,882
2019-11-02,892
2019-11-03,907
2019-11-04,887
2019-11-05,884
2019-11-06,886
2019-11-07,884
2019-11-08,878
2019-11-09,879
2019-11-10,900
2019-11-11,880
2019-11-12,866
2019-11-13,873
2019-11-14,865
2019-11-15,858
2019-11-16,863
2019-11-17,859
2019-11-18,854
2019-11-19,828
2019-11-20,817
2019-11-21,822
2019-11-22,820
2019-11-23,825
2019-11-24,808
2019-11-25,818
2019-11-26,832
2019-11-27,827
2019-11-28,818
2019-11-29,814
2019-11-30,827
2019-12-01,824
2019-12-02,828
2019-12-03,825
2019-12-04,813
2019-12-05,813
2019-12-06,820
2019-12-07,830
2019-12-08,826
2019-12-09,818
2019-12-10,826
2019-12-11,828
2019-12-12,839
2019-12-13,837
2019-12-14,829
2019-12-15,819
2019-12-16,823
2019-12-17,828
2019-12-18,844
2019-12-19,848
2019-12-20,857
2019-12-21,845
2019-12-22,841
2019-12-23,832
2019-12-24,838
2019-12-25,834
2019-12-26,837
2019-12-27,856
2019-12-28,866
2019-12-29,849
2019-12-30,852
2019-12-31,839
2020-01-01,837
2020-01-02,832
2020-01-03,828
2020-01-04,838
2020-01-05,846
2020-01-06,837
2020-01-07,838
2020-01-08,850
2020-01-09,852
2020-01-10,855
2020-01-11,862
2020-01-12,862
2020-01-13,863
2020-01-14,859
2020-01-15,884
2020-01-16,912
2020-01-17,932
2020-01-18,948
2020-01-19,931
2020-01-20,923
2020-01-21,921
2020-01-22,926
2020-01-23,928
2020-01-24,922
2020-01-25,952
2020-01-26,962
2020-01-27,948
2020-01-28,943
2020-01-29,928
2020-01-30,911
2020-01-31,899
2020-02-01,875
2020-02-02,877
2020-02-03,873
2020-02-04,872
2020-02-05,884
2020-02-06,863
2020-02-07,852
2020-02-08,833
2020-02-09,832
2020-02-10,843
2020-02-11,846
2020-02-12,856
2020-02-13,863
2020-02-14,863
2020-02-15,869
2020-02-16,899
2020-02-17,890
2020-02-18,869
2020-02-19,871
2020-02-20,854
2020-02-21,837
2020-02-22,834
2020-02-23,842
2020-02-24,835
2020-02-25,839
2020-02-26,848
2020-02-27,851
2020-02-28,842
2020-02-29,840
2020-03-01,838
2020-03-02,838
2020-03-03,841
2020-03-04,844
2020-03-05,855
2020-03-06,848
2020-03-07,843
2020-03-08,837
2020-03-09,832
2020-03-10,826
2020-03-11,822
2020-03-12,824
2020-03-13,829
2020-03-14,821
2020-03-15,819
2020-03-16,821
2020-03-17,814
2020-03-18,814
2020-03-19,810
2020-03-20,815
2020-03-21,829
2020-03-22,825
2020-03-23,825
2020-03-24,828
2020-03-25,820
2020-03-26,813
2020-03-27,814
2020-03-28,819
2020-03-29,827
2020-03-30,831
2020-03-31,835
2020-04-01,826
2020-04-02,819
2020-04-03,814
2020-04-04,828
2020-04-05,839
2020-04-06,836
2020-04-07,836
2020-04-08,835
2020-04-09,851
2020-04-10,889
2020-04-11,908
2020-04-12,888
2020-04-13,858
2020-04-14,842
2020-04-15,829
2020-04-16,829
2020-04-17,843
2020-04-18,852
2020-04-19,844
2020-04-20,832
2020-04-21,837
2020-04-22,857
2020-04-23,891
2020-04-24,891
2020-04-25,872
2020-04-26,830
2020-04-27,793
2020-04-28,809
2020-04-29,823
2020-04-30,835
2020-05-01,828
2020-05-02,838
2020-05-03,831
2020-05-04,807
2020-05-05,807
2020-05-06,793
2020-05-07,793
2020-05-08,799
2020-05-09,825
2020-05-10,816
2020-05-11,797
2020-05-12,800
2020-05-13,806
