date_obj,Steel%20trimmed%20set%20(lg) price
2019-09-12,50559
2019-09-13,50559
2019-09-14,50559
2019-09-15,49060
2019-09-16,49060
2019-09-17,49060
2019-09-18,49060
2019-09-19,49060
2019-09-20,48587
2019-09-21,48587
2019-09-22,48587
2019-09-23,48587
2019-09-24,48587
2019-09-25,48587
2019-09-26,50367
2019-09-27,50367
2019-09-28,50367
2019-09-29,50367
2019-09-30,50367
2019-10-01,50367
2019-10-02,50028
2019-10-03,50028
2019-10-04,50028
2019-10-05,50028
2019-10-06,50028
2019-10-07,49626
2019-10-08,49626
2019-10-09,49626
2019-10-10,49626
2019-10-11,49626
2019-10-12,49626
2019-10-13,49626
2019-10-14,47937
2019-10-15,47937
2019-10-16,47937
2019-10-17,47937
2019-10-18,47937
2019-10-19,47937
2019-10-20,47937
2019-10-21,45555
2019-10-22,45555
2019-10-23,45555
2019-10-24,45555
2019-10-25,45555
2019-10-26,43991
2019-10-27,43991
2019-10-28,43991
2019-10-29,43991
2019-10-30,43991
2019-10-31,43189
2019-11-01,43189
2019-11-02,43189
2019-11-03,43189
2019-11-04,43189
2019-11-05,43189
2019-11-06,42960
2019-11-07,42960
2019-11-08,42960
2019-11-09,42960
2019-11-10,42960
2019-11-11,42960
2019-11-12,41165
2019-11-13,41165
2019-11-14,41165
2019-11-15,41165
2019-11-16,41165
2019-11-17,41165
2019-11-18,39298
2019-11-19,39298
2019-11-20,39298
2019-11-21,39298
2019-11-22,39298
2019-11-23,38552
2019-11-24,38552
2019-11-25,38552
2019-11-26,38552
2019-11-27,38552
2019-11-28,38945
2019-11-29,38945
2019-11-30,38945
2019-12-01,38945
2019-12-02,38945
2019-12-03,39267
2019-12-04,39267
2019-12-05,39267
2019-12-06,39267
2019-12-07,39267
2019-12-08,39267
2019-12-09,39267
2019-12-10,39805
2019-12-11,39805
2019-12-12,39805
2019-12-13,39805
2019-12-14,39805
2019-12-15,40596
2019-12-16,40596
2019-12-17,40596
2019-12-18,40596
2019-12-19,40596
2019-12-20,40596
2019-12-21,40596
2019-12-22,41863
2019-12-23,41863
2019-12-24,41863
2019-12-25,41863
2019-12-26,41863
2019-12-27,42806
2019-12-28,42806
2019-12-29,42806
2019-12-30,42806
2019-12-31,42806
2020-01-01,43232
2020-01-02,43232
2020-01-03,43232
2020-01-04,43232
2020-01-05,43232
2020-01-06,43232
2020-01-07,44131
2020-01-08,44131
2020-01-09,44131
2020-01-10,44131
2020-01-11,44131
2020-01-12,44985
2020-01-13,44985
2020-01-14,44985
2020-01-15,44985
2020-01-16,44985
2020-01-17,46186
2020-01-18,46186
2020-01-19,46186
2020-01-20,46186
2020-01-21,46186
2020-01-22,46186
2020-01-23,47693
2020-01-24,47693
2020-01-25,47693
2020-01-26,47693
2020-01-27,47693
2020-01-28,47693
2020-01-29,48282
2020-01-30,48282
2020-01-31,48282
2020-02-01,48282
2020-02-02,48282
2020-02-03,48282
2020-02-04,48282
2020-02-05,48517
2020-02-06,48517
2020-02-07,48517
2020-02-08,48517
2020-02-09,48517
2020-02-10,48517
2020-02-11,47428
2020-02-12,47428
2020-02-13,47428
2020-02-14,47428
2020-02-15,47428
2020-02-16,47428
2020-02-17,45674
2020-02-18,45674
2020-02-19,45674
2020-02-20,45674
2020-02-21,45674
2020-02-22,45674
2020-02-23,45700
2020-02-24,45700
2020-02-25,45700
2020-02-26,45700
2020-02-27,45700
2020-02-28,44649
2020-02-29,44649
2020-03-01,44649
2020-03-02,44649
2020-03-03,44649
2020-03-04,44649
2020-03-05,44649
2020-03-06,44846
2020-03-07,44846
2020-03-08,44846
2020-03-09,44846
2020-03-10,44846
2020-03-11,44846
2020-03-12,46309
2020-03-13,46309
2020-03-14,46309
2020-03-15,46309
2020-03-16,46309
2020-03-17,46309
2020-03-18,46309
2020-03-19,46375
2020-03-20,46375
2020-03-21,46375
2020-03-22,46375
2020-03-23,46375
2020-03-24,45765
2020-03-25,45765
2020-03-26,45765
2020-03-27,45765
2020-03-28,45765
2020-03-29,44940
2020-03-30,44940
2020-03-31,44940
2020-04-01,44940
2020-04-02,43678
2020-04-03,43678
2020-04-04,43678
2020-04-05,43678
2020-04-06,41677
2020-04-07,41677
2020-04-08,41677
2020-04-09,41677
2020-04-10,41677
2020-04-11,40541
2020-04-12,40541
2020-04-13,40541
2020-04-14,40541
2020-04-15,40896
2020-04-16,40896
2020-04-17,40896
2020-04-18,40896
2020-04-19,40909
2020-04-20,40909
2020-04-21,40909
2020-04-22,40909
2020-04-23,40909
2020-04-24,41018
2020-04-25,41018
2020-04-26,41018
2020-04-27,41018
2020-04-28,41296
2020-04-29,41296
2020-04-30,41296
2020-05-01,41296
2020-05-02,41296
2020-05-03,41375
2020-05-04,41375
2020-05-05,41375
2020-05-06,41375
2020-05-07,41375
2020-05-08,41375
2020-05-09,42164
2020-05-10,42164
2020-05-11,42164
2020-05-12,42164
2020-05-13,42164
