date_obj,Pink%20elegant%20blouse price
2017-11-25,1967
2017-11-26,1894
2017-11-27,1894
2017-11-28,1894
2017-11-29,1802
2017-11-30,1802
2017-12-01,1741
2017-12-02,1741
2017-12-03,1741
2017-12-04,1745
2017-12-05,1745
2017-12-06,1712
2017-12-07,1712
2017-12-08,1717
2017-12-09,1717
2017-12-10,1719
2017-12-11,1719
2017-12-12,1719
2017-12-14,1703
2017-12-15,1703
2017-12-16,1774
2017-12-17,1774
2017-12-18,1790
2017-12-19,1790
2017-12-20,1790
2017-12-21,1802
2017-12-22,1802
2017-12-23,1813
2017-12-24,1813
2017-12-25,1813
2017-12-26,1793
2017-12-27,1793
2017-12-28,1793
2017-12-29,1811
2017-12-30,1811
2017-12-31,1882
2018-01-01,1882
2018-01-02,1949
2018-01-03,1949
2018-01-04,1992
2018-01-05,1992
2018-01-06,1941
2018-01-07,1941
2018-01-08,1949
2018-01-09,1949
2018-01-10,1949
2018-01-11,2031
2018-01-12,2031
2018-01-13,2047
2018-01-14,2047
2018-01-15,2093
2018-01-16,2093
2018-01-17,2137
2018-01-18,2137
2018-01-19,2144
2018-01-20,2144
2018-01-21,2154
2018-01-22,2154
2018-01-23,2171
2018-01-24,2171
2018-01-25,2163
2018-01-26,2163
2018-01-27,2176
2018-01-28,2165
2018-01-29,2165
2018-01-31,2149
2018-02-01,2101
2018-02-02,2101
2018-02-03,2066
2018-02-04,2066
2018-02-05,2053
2018-02-06,2053
2018-02-07,2119
2018-02-08,2119
2018-02-09,2171
2018-02-10,2171
2018-02-11,2168
2018-02-12,2168
2018-02-13,2220
2018-02-14,2220
2018-02-15,2306
2018-02-16,2306
2018-02-17,2320
2018-02-18,2320
2018-02-19,2330
2018-02-20,2330
2018-02-21,2275
2018-02-22,2275
2018-02-23,2267
2018-02-24,2267
2018-02-25,2367
2018-02-26,2367
2018-02-27,2434
2018-03-01,2434
2018-03-02,2427
2018-03-03,2427
2018-03-04,2427
2018-03-05,2478
2018-03-06,2478
2018-03-07,2419
2018-03-08,2419
2018-03-09,2436
2018-03-10,2436
2018-03-11,2400
2018-03-12,2400
2018-03-13,2420
2018-03-14,2420
2018-03-15,2473
2018-03-16,2473
2018-03-17,2500
2018-03-18,2500
2018-03-19,2500
2018-03-20,2523
2018-03-21,2523
2018-03-23,2619
2018-03-24,2619
2018-03-26,2727
2018-03-27,2845
2018-03-28,2845
2018-03-29,2912
2018-03-30,2912
2018-03-31,2912
2018-04-01,2890
2018-04-02,2890
2018-04-03,2839
2018-04-04,2839
2018-04-05,2839
2018-04-06,2880
2018-04-08,2880
2018-04-09,2948
2018-04-10,2948
2018-04-11,2948
2018-04-12,3078
2018-04-13,3078
2018-04-14,3078
2018-04-15,3230
2018-04-16,3230
2018-04-17,3230
2018-04-18,3205
2018-04-19,3205
2018-04-20,3237
2018-04-21,3237
2018-04-22,3237
2018-04-23,3264
2018-04-24,3264
2018-04-25,3264
2018-04-26,3198
2018-04-27,3198
2018-04-28,3267
2018-04-29,3267
2018-04-30,3282
2018-05-01,3282
2018-05-02,3282
2018-05-03,3329
2018-05-04,3329
2018-05-05,3200
2018-05-06,3200
2018-05-07,3200
2018-05-08,3097
2018-05-09,3097
2018-05-10,2997
2018-05-11,2997
2018-05-12,2943
2018-05-13,2943
2018-05-14,2915
2018-05-15,2915
2018-05-16,2901
2018-05-17,2901
2018-05-18,2881
2018-05-19,2881
2018-05-20,2998
2018-05-21,2998
