date_obj,Adamant%20plateskirt%20(t) price
2017-10-23,3482
2017-10-24,3482
2017-10-25,3482
2017-10-26,3482
2017-10-27,3482
2017-10-28,3482
2017-10-29,3482
2017-10-30,3521
2017-10-31,3521
2017-11-01,3521
2017-11-02,3521
2017-11-03,3521
2017-11-04,3521
2017-11-05,3521
2017-11-06,3516
2017-11-07,3516
2017-11-08,3516
2017-11-09,3516
2017-11-10,3516
2017-11-11,3516
2017-11-12,3530
2017-11-13,3530
2017-11-14,3530
2017-11-15,3530
2017-11-16,3530
2017-11-17,3530
2017-11-18,3530
2017-11-19,3501
2017-11-20,3501
2017-11-21,3501
2017-11-22,3501
2017-11-23,3501
2017-11-24,3501
2017-11-25,3478
2017-11-26,3478
2017-11-27,3478
2017-11-28,3478
2017-11-29,3478
2017-11-30,3478
2017-12-01,3478
2017-12-02,3478
2017-12-03,3480
2017-12-04,3480
2017-12-05,3480
2017-12-06,3480
2017-12-07,3480
2017-12-08,3480
2017-12-09,3482
2017-12-10,3482
2017-12-11,3482
2017-12-12,3482
2017-12-13,3482
2017-12-14,3482
2017-12-15,3499
2017-12-16,3499
2017-12-17,3499
2017-12-18,3499
2017-12-19,3499
2017-12-20,3499
2017-12-21,3509
2017-12-22,3509
2017-12-23,3509
2017-12-24,3509
2017-12-25,3509
2017-12-26,3509
2017-12-27,3509
2017-12-28,3511
2017-12-29,3511
2017-12-30,3511
2017-12-31,3511
2018-01-01,3511
2018-01-02,3535
2018-01-03,3535
2018-01-04,3535
2018-01-05,3535
2018-01-06,3535
2018-01-07,3535
2018-01-08,3528
2018-01-09,3528
2018-01-10,3528
2018-01-11,3528
2018-01-12,3528
2018-01-13,3528
2018-01-14,3557
2018-01-15,3557
2018-01-16,3557
2018-01-17,3557
2018-01-18,3552
2018-01-19,3552
2018-01-20,3552
2018-01-21,3552
2018-01-22,3552
2018-01-23,3568
2018-01-24,3568
2018-01-25,3568
2018-01-26,3525
2018-01-27,3525
2018-01-28,3549
2018-01-29,3549
2018-01-30,3597
2018-01-31,3597
2018-02-01,3597
2018-02-02,3625
2018-02-03,3625
2018-02-04,3585
2018-02-05,3585
2018-02-06,3585
2018-02-07,3504
2018-02-08,3504
2018-02-09,3573
2018-02-10,3573
2018-02-11,3573
2018-02-12,3549
2018-02-13,3549
2018-02-14,3549
2018-02-15,3554
2018-02-16,3554
2018-02-17,3554
2018-02-18,3550
2018-02-19,3550
2018-02-20,3526
2018-02-21,3526
2018-02-22,3526
2018-02-23,3532
2018-02-24,3532
2018-02-25,3486
2018-02-26,3486
2018-02-27,3500
2018-02-28,3500
2018-03-01,3500
2018-03-02,3498
2018-03-03,3498
2018-03-04,3498
2018-03-05,3553
2018-03-06,3553
2018-03-07,3553
2018-03-08,3670
2018-03-09,3670
2018-03-10,3670
2018-03-11,3625
2018-03-12,3625
2018-03-13,3625
2018-03-14,3581
2018-03-15,3581
2018-03-16,3581
2018-03-17,3497
2018-03-18,3497
2018-03-19,3497
2018-03-20,3556
2018-03-21,3556
2018-03-22,3556
2018-03-23,3575
2018-03-24,3575
2018-03-25,3551
2018-03-26,3551
2018-03-27,3444
2018-03-28,3444
2018-03-29,3444
2018-03-30,3447
2018-03-31,3447
2018-04-01,3450
2018-04-02,3450
2018-04-03,3470
2018-04-04,3470
2018-04-05,3470
2018-04-06,3442
2018-04-07,3442
2018-04-08,3442
2018-04-09,3516
2018-04-10,3516
2018-04-11,3516
2018-04-12,3514
2018-04-13,3514
2018-04-14,3514
2018-04-15,3454
2018-04-16,3454
