date_obj,Rune%20arrowtips price
2018-10-18,257
2018-10-19,257
2018-10-20,257
2018-10-21,257
2018-10-22,261
2018-10-23,261
2018-10-24,261
2018-10-25,261
2018-10-26,261
2018-10-27,266
2018-10-28,266
2018-10-29,266
2018-10-30,266
2018-10-31,270
2018-11-01,270
2018-11-03,270
2018-11-04,278
2018-11-05,278
2018-11-06,268
2018-11-07,268
2018-11-08,268
2018-11-09,264
2018-11-10,264
2018-11-11,272
2018-11-12,272
2018-11-13,281
2018-11-14,281
2018-11-15,281
2018-11-16,275
2018-11-17,275
2018-11-18,275
2018-11-19,270
2018-11-20,270
2018-11-21,275
2018-11-22,275
2018-11-23,285
2018-11-24,285
2018-11-25,285
2018-11-26,285
2018-11-27,285
2018-11-28,279
2018-11-29,279
2018-12-01,276
2018-12-02,275
2018-12-03,275
2018-12-04,275
2018-12-05,269
2018-12-07,269
2018-12-09,261
2018-12-10,261
2018-12-11,258
2018-12-12,258
2018-12-13,250
2018-12-14,250
2018-12-15,248
2018-12-16,248
2018-12-17,248
2018-12-18,242
2018-12-19,242
2018-12-20,238
2018-12-21,238
2018-12-22,245
2018-12-23,245
2018-12-24,247
2018-12-25,247
2018-12-26,247
2018-12-27,246
2018-12-28,246
2018-12-29,251
2018-12-30,251
2018-12-31,259
2019-01-01,259
2019-01-02,256
2019-01-03,256
2019-01-04,255
2019-01-05,254
2019-01-06,253
2019-01-08,248
2019-01-10,241
2019-01-11,230
2019-01-12,218
2019-01-13,208
2019-01-14,198
2019-01-15,191
2019-01-16,187
2019-01-17,184
2019-01-18,178
2019-01-19,177
2019-01-20,179
2019-01-21,184
2019-01-22,186
2019-01-23,177
2019-01-24,171
2019-01-25,171
2019-01-26,168
2019-01-27,170
2019-01-28,177
2019-01-29,173
2019-01-30,176
2019-01-31,178
2019-02-01,180
2019-02-02,177
2019-02-03,180
2019-02-04,183
2019-02-05,181
2019-02-06,186
2019-02-07,188
2019-02-08,193
2019-02-09,193
2019-02-10,196
2019-02-11,206
2019-02-12,211
2019-02-13,217
2019-02-14,223
2019-02-15,218
2019-02-16,222
2019-02-17,219
2019-02-18,227
2019-02-19,235
2019-02-20,228
2019-02-21,231
2019-02-22,228
2019-02-23,237
2019-02-24,241
2019-02-25,243
2019-02-26,242
2019-02-27,236
2019-02-28,231
2019-03-01,228
2019-03-02,220
2019-03-03,210
2019-03-04,201
2019-03-05,201
2019-03-06,201
2019-03-07,194
2019-03-08,189
2019-03-09,180
2019-03-10,177
2019-03-11,178
2019-03-12,178
2019-03-13,175
2019-03-14,179
2019-03-15,182
2019-03-16,185
2019-03-17,186
2019-03-18,196
2019-03-19,204
2019-03-20,212
2019-03-21,223
2019-03-22,233
2019-03-23,233
2019-03-24,225
2019-03-25,216
2019-03-26,210
2019-03-27,214
2019-03-28,219
2019-03-29,218
2019-03-30,212
2019-03-31,207
2019-04-01,218
2019-04-02,228
2019-04-03,237
2019-04-04,227
2019-04-05,223
2019-04-06,225
2019-04-07,228
2019-04-08,235
2019-04-09,245
2019-04-10,255
2019-04-11,260
2019-04-12,261
2019-04-13,259
2019-04-14,266
2019-04-15,275
2019-04-16,268
2019-04-17,262
2019-04-18,255
2019-04-19,246
2019-04-20,244
2019-04-21,249
2019-04-22,239
2019-04-23,231
2019-04-24,225
2019-04-25,225
2019-04-26,227
2019-04-27,219
2019-04-28,212
2019-04-29,214
2019-04-30,212
2019-05-01,208
2019-05-02,202
2019-05-03,196
2019-05-04,194
2019-05-05,185
2019-05-06,180
2019-05-07,184
2019-05-08,193
2019-05-09,190
2019-05-10,185
2019-05-11,194
2019-05-12,204
2019-05-13,215
2019-05-14,226
2019-05-15,238
2019-05-16,247
2019-05-17,254
2019-05-18,254
2019-05-19,263
2019-05-20,257
2019-05-21,250
2019-05-22,243
2019-05-23,236
2019-05-24,228
2019-05-25,218
2019-05-26,210
2019-05-27,210
2019-05-28,214
