date_obj,Anglerfish price
2019-12-23,1836
2019-12-24,1844
2019-12-25,1915
2019-12-26,1993
2019-12-27,1986
2019-12-28,1955
2019-12-29,1920
2019-12-30,1916
2019-12-31,1893
2020-01-01,1906
2020-01-02,1929
2020-01-03,2024
2020-01-04,2051
2020-01-05,2025
2020-01-06,1988
2020-01-07,1980
2020-01-08,1964
2020-01-09,1950
2020-01-10,1925
2020-01-11,1916
2020-01-12,1922
2020-01-13,1926
2020-01-14,1947
2020-01-15,1995
2020-01-16,1985
2020-01-17,1970
2020-01-18,1963
2020-01-19,1956
2020-01-20,1953
2020-01-21,1942
2020-01-22,1937
2020-01-23,1999
2020-01-24,2098
2020-01-25,2146
2020-01-26,2133
2020-01-27,2106
2020-01-28,2075
2020-01-29,2038
2020-01-30,2015
2020-01-31,1974
2020-02-01,1920
2020-02-02,1938
2020-02-03,1930
2020-02-04,1933
2020-02-05,1942
2020-02-06,1949
2020-02-07,1933
2020-02-08,1917
2020-02-09,1937
2020-02-10,1946
2020-02-11,1945
2020-02-12,1933
2020-02-13,1923
2020-02-14,1911
2020-02-15,1911
2020-02-16,1895
2020-02-17,1885
2020-02-18,1837
2020-02-19,1804
2020-02-20,1781
2020-02-21,1749
2020-02-22,1706
2020-02-23,1688
2020-02-24,1682
2020-02-25,1713
2020-02-26,1717
2020-02-27,1733
2020-02-28,1785
2020-02-29,1807
2020-03-01,1873
2020-03-02,1905
2020-03-03,1887
2020-03-04,1847
2020-03-05,1832
2020-03-06,1811
2020-03-07,1841
2020-03-08,1913
2020-03-09,1886
2020-03-10,1946
2020-03-11,1953
2020-03-12,1902
2020-03-13,1882
2020-03-14,1866
2020-03-15,1881
2020-03-16,1881
2020-03-17,1874
2020-03-18,1887
2020-03-19,1925
2020-03-20,1903
2020-03-21,1919
2020-03-22,1916
2020-03-23,1894
2020-03-24,1877
2020-03-25,1870
2020-03-26,1905
2020-03-27,1928
2020-03-28,1914
2020-03-29,1896
2020-03-30,1876
2020-03-31,1857
2020-04-01,1838
2020-04-02,1832
2020-04-03,1825
2020-04-04,1826
2020-04-05,1824
2020-04-06,1810
2020-04-07,1790
2020-04-08,1771
2020-04-09,1761
2020-04-10,1745
2020-04-11,1806
2020-04-12,1847
2020-04-13,1837
2020-04-14,1890
2020-04-15,1882
2020-04-16,1844
2020-04-17,1833
2020-04-18,1829
2020-04-19,1827
2020-04-20,1799
2020-04-21,1798
2020-04-22,1807
2020-04-23,1832
2020-04-24,1826
2020-04-25,1911
2020-04-26,1900
2020-04-27,1861
2020-04-28,1811
2020-04-29,1800
2020-04-30,1788
2020-05-01,1782
2020-05-02,1778
2020-05-03,1768
2020-05-04,1740
2020-05-05,1705
2020-05-06,1686
2020-05-07,1678
2020-05-08,1697
2020-05-09,1701
2020-05-10,1694
2020-05-11,1669
2020-05-12,1608
2020-05-13,1564
