date_obj,Armadyl%20platelegs price
2016-10-07,40415
2016-10-08,40488
2016-10-09,40488
2016-10-10,40539
2016-10-11,40955
2016-10-12,40228
2016-10-13,39882
2016-10-14,39475
2016-10-15,39074
2016-10-16,39074
2016-10-17,39055
2016-10-18,39055
2016-10-19,39357
2016-10-20,39357
2016-10-21,40202
2016-10-22,40202
2016-10-23,40370
2016-10-24,40041
2016-10-25,40041
2016-10-26,40168
2016-10-27,40168
2016-10-28,40369
2016-10-29,40239
2016-10-30,40239
2016-10-31,40596
2016-11-01,40596
2016-11-02,40443
2016-11-03,40443
2016-11-04,40547
2016-11-05,40547
2016-11-06,40341
2016-11-07,40568
2016-11-08,40487
2016-11-09,39884
2016-11-10,40172
2016-11-11,40055
2016-11-12,40491
2016-11-13,39403
2016-11-14,40323
2016-11-15,39782
2016-12-07,41165
2016-12-08,40824
2016-12-09,40948
2016-12-10,40764
2016-12-11,41112
2016-12-12,41169
2016-12-13,40819
2016-12-14,40410
2016-12-15,40410
2016-12-16,39957
2016-12-17,39971
2016-12-18,39937
2016-12-19,39603
2016-12-20,39734
2016-12-21,39633
2016-12-22,39633
2016-12-23,39135
2016-12-24,39613
2016-12-25,39563
2016-12-26,39837
2016-12-27,40070
2016-12-28,39974
2016-12-29,40141
2016-12-30,39872
2016-12-31,39774
2017-01-01,39722
2017-01-02,39776
2017-01-03,41149
2017-01-04,40742
2017-01-05,40742
2017-01-06,40924
2017-01-07,41023
2017-01-08,40786
2017-01-09,40622
2017-01-10,40874
2017-01-11,41259
2017-01-12,41667
2017-01-13,41667
2017-01-14,41432
2017-01-15,41339
2017-01-16,39732
2017-01-17,39922
2017-01-18,39610
2017-01-19,39610
2017-01-20,39611
2017-01-21,39296
2017-01-22,39017
2017-01-23,39301
2017-01-27,40300
2017-01-28,40491
2017-01-29,40585
2017-01-30,40585
2017-01-31,40422
2017-02-01,40761
2017-02-02,41458
2017-02-03,41008
2017-02-04,40510
2017-02-05,40947
2017-02-06,39550
