date_obj,Guthix%20dragonhide%20set price
2016-10-19,135456
2016-10-20,135456
2016-10-21,135456
2016-10-22,133870
2016-10-23,133870
2016-10-24,133870
2016-10-25,133870
2016-10-26,132741
2016-10-27,132741
2016-10-28,132741
2016-10-29,132741
2016-10-30,132529
2016-10-31,132529
2016-11-01,132529
2016-11-02,132529
2016-11-03,132529
2016-11-04,135828
2016-11-05,135828
2016-11-06,135828
2016-11-07,135828
2016-11-08,140743
2016-11-09,140743
2016-11-10,140743
2016-11-11,140743
2016-11-12,143658
2016-11-13,143658
2016-11-14,143658
2016-11-15,143658
2016-12-07,137453
2016-12-08,137453
2016-12-09,137453
2016-12-10,135142
2016-12-11,135142
2016-12-12,135142
2016-12-13,135142
2016-12-14,134195
2016-12-15,134195
2016-12-16,134195
2016-12-17,134195
2016-12-18,134195
2016-12-19,138367
2016-12-20,138367
2016-12-21,138367
2016-12-22,138367
2016-12-23,143916
2016-12-24,143916
2016-12-25,143916
2016-12-26,143916
2016-12-27,150390
2016-12-28,150390
2016-12-29,150390
2016-12-30,151544
2016-12-31,151544
2017-01-01,151544
2017-01-02,158032
2017-01-03,158032
2017-01-04,158032
2017-01-05,158032
2017-01-06,165713
2017-01-07,165713
2017-01-08,165713
2017-01-09,173178
2017-01-10,173178
2017-01-11,173178
2017-01-12,173178
2017-01-13,180262
2017-01-14,180262
2017-01-15,180262
2017-01-16,178836
2017-01-17,178836
2017-01-18,178836
2017-01-19,177681
2017-01-20,177681
2017-01-21,177681
2017-01-22,181132
2017-01-23,181132
2017-01-27,179909
2017-01-28,179909
2017-01-29,176250
2017-01-30,176250
2017-01-31,176250
2017-02-01,171472
2017-02-02,171472
2017-02-03,171472
2017-02-04,171472
2017-02-05,171549
2017-02-06,171549
2017-02-07,171549
2017-02-08,171549
2017-02-09,171308
2017-02-10,171308
2017-02-11,171308
2017-02-12,171293
2017-02-13,171293
2017-02-14,171293
2017-02-15,171293
2017-02-16,173933
2017-02-18,173933
2017-02-19,175899
2017-02-20,175899
2017-02-21,175899
2017-02-22,175899
2017-02-23,167916
2017-02-24,167916
2017-02-25,167916
2017-02-26,167916
2017-02-27,163050
2017-02-28,163050
2017-03-01,163050
2017-03-02,158934
2017-03-03,158934
2017-03-04,158934
2017-03-05,158934
2017-03-06,152909
2017-03-07,152909
2017-03-08,152909
2017-03-09,152909
2017-03-10,147096
2017-03-11,147096
2017-03-12,147096
2017-03-13,143995
2017-03-14,143995
2017-03-15,143995
2017-03-16,147419
2017-03-17,147419
2017-03-18,147419
2017-03-19,149008
2017-03-20,149008
2017-03-21,149008
2017-03-22,147117
