date_obj,Ahrim's%20robeskirt price
2018-07-26,1795855
2018-07-27,1706062
2018-07-28,1621098
2018-07-29,1567341
2018-07-30,1533657
2018-07-31,1495122
2018-08-01,1448948
2018-08-02,1417041
2018-08-03,1424580
2018-08-04,1422521
2018-08-05,1414260
2018-08-06,1409592
2018-08-07,1450489
2018-08-08,1490276
2018-08-09,1470879
2018-08-10,1469135
2018-08-11,1454088
2018-08-12,1503478
2018-08-14,1482115
2018-08-16,1461177
2018-08-17,1475718
2018-08-18,1476505
2018-08-19,1471042
2018-08-20,1493654
2018-08-21,1552440
2018-08-22,1599911
2018-08-23,1634247
2018-08-24,1619271
2018-08-25,1632080
2018-08-26,1636108
2018-08-27,1634061
2018-08-28,1639043
2018-08-29,1643768
2018-08-30,1665013
2018-08-31,1679926
2018-09-01,1721741
2018-09-02,1739672
2018-09-03,1761113
2018-09-04,1738174
2018-09-05,1696476
2018-09-06,1660180
2018-09-07,1621057
2018-09-08,1546868
2018-09-09,1502480
2018-09-10,1447365
2018-09-11,1415543
2018-09-12,1397311
2018-09-13,1384066
2018-09-14,1434945
2018-09-15,1482968
2018-09-16,1556653
2018-09-17,1570382
2018-09-18,1596399
2018-09-19,1589731
2018-09-20,1612811
2018-09-21,1647151
2018-09-22,1687609
2018-09-23,1763352
2018-09-24,1798945
2018-09-25,1806041
2018-09-26,1804260
2018-09-27,1790856
2018-09-28,1792980
2018-09-29,1812342
2018-09-30,1829900
2018-10-01,1882653
2018-10-02,1899039
2018-10-03,1883786
2018-10-04,1871086
2018-10-05,1854511
2018-10-06,1825376
2018-10-07,1809545
2018-10-08,1793887
2018-10-09,1775908
2018-10-10,1806197
2018-10-11,1806067
2018-10-12,1811405
2018-10-13,1830656
2018-10-14,1853408
2018-10-15,1839394
2018-10-16,1830695
2018-10-17,1813375
2018-10-18,1793420
2018-10-19,1787578
2018-10-20,1782347
2018-10-21,1780830
2018-10-22,1779424
2018-10-23,1760492
2018-10-24,1750389
2018-10-25,1753299
2018-10-26,1758029
2018-10-27,1818028
2018-10-28,1836605
2018-10-29,1821927
2018-10-30,1834701
2018-10-31,1813378
2018-11-01,1814568
2018-11-03,1875643
2018-11-04,1948891
2018-11-05,1998291
2018-11-06,2070829
2018-11-07,2038827
2018-11-08,2009287
2018-11-09,1997212
2018-11-10,2004731
2018-11-11,1970345
2018-11-12,1933204
2018-11-13,1906336
2018-11-14,1899592
2018-11-15,1845208
2018-11-16,1799192
2018-11-17,1769995
2018-11-18,1761738
2018-11-19,1751497
2018-11-20,1733715
2018-11-21,1736893
2018-11-22,1711831
2018-11-23,1689965
2018-11-24,1655839
2018-11-25,1717959
2018-11-26,1694380
2018-11-27,1733591
2018-11-28,1803064
2018-11-29,1841987
2018-12-01,1884111
2018-12-02,1875831
2018-12-03,1867432
2018-12-04,1880004
2018-12-05,1954218
2018-12-07,1898006
2018-12-09,1874088
2018-12-10,1914337
2018-12-11,1983194
