date_obj,Torstol price
2017-06-06,4546
2017-06-07,4546
2017-06-08,4534
2017-06-09,4534
2017-06-10,4530
2017-06-11,4530
2017-06-12,4520
2017-06-13,4520
2017-06-14,4522
2017-06-15,4522
2017-06-16,4357
2017-06-17,4357
2017-06-18,4306
2017-06-19,4306
2017-06-20,4314
2017-06-21,4314
2017-06-22,4423
2017-06-23,4423
2017-06-24,4424
2017-06-25,4424
2017-06-26,4575
2017-06-27,4600
2017-06-28,4600
2017-06-29,4532
2017-06-30,4532
2017-07-01,4539
2017-07-02,4539
2017-07-03,4445
2017-07-04,4438
2017-07-05,4438
2017-07-06,4518
2017-07-07,4518
2017-07-08,4517
2017-07-13,4876
2017-07-14,5035
2017-07-15,5035
2017-07-16,5051
2017-07-17,5297
2017-07-18,5297
2017-07-19,5305
2017-07-20,5327
2017-07-21,5373
2017-07-22,5373
2017-07-23,5416
2017-07-24,5416
2017-07-25,5619
2017-07-26,5756
2017-07-27,5971
2017-07-28,5971
2017-07-29,6234
2017-07-30,6111
2017-07-31,6111
2017-08-01,6170
2017-08-02,6258
2017-08-03,6258
2017-08-04,6450
2017-08-05,6745
2017-08-06,6745
2017-08-09,7254
2017-08-10,7398
2017-08-11,7398
2017-08-12,7465
2017-08-13,7465
2017-08-14,7316
2017-08-15,7401
2017-08-16,7401
2017-08-17,7437
2017-08-18,7437
2017-08-19,7153
2017-08-20,7237
2017-08-21,7237
2017-08-22,7170
2017-08-23,7170
2017-08-24,7256
2017-08-25,7256
2017-08-26,7224
2017-08-27,7201
2017-08-28,7201
2017-08-29,7179
2017-08-30,7300
2017-08-31,7300
2017-09-01,7383
2017-09-02,7503
2017-09-03,7503
2017-09-04,7692
2017-09-05,7551
2017-09-06,7724
2017-09-07,7605
2017-09-08,7605
2017-09-09,7575
2017-09-10,7358
2017-09-11,7396
2017-09-12,7396
2017-09-13,7477
2017-09-14,7437
2017-09-15,7437
2017-09-16,7421
2017-09-17,7531
2017-09-19,7538
2017-09-20,7550
2017-09-21,7550
2017-09-22,7564
2017-09-23,7564
2017-09-24,7542
2017-09-25,7508
2017-09-26,7444
2017-09-27,7444
2017-09-28,7335
2017-09-29,7272
2017-09-30,7272
2017-10-01,7138
2017-10-02,7141
2017-10-03,7141
2017-10-04,7118
2017-10-05,7155
2017-10-06,7074
2017-10-07,6988
2017-10-08,6988
2017-10-09,6950
2017-10-10,6965
2017-10-11,6965
2017-10-12,7037
2017-10-13,7038
2017-10-14,6940
2017-10-15,6940
2017-10-16,6954
2017-10-17,6954
2017-10-18,6927
2017-10-19,6939
2017-10-20,6939
2017-10-21,6954
2017-10-22,7001
2017-10-23,7090
2017-10-24,7090
2017-10-25,7244
2017-10-26,7185
2017-10-27,7311
2017-10-28,7311
2017-10-29,7537
2017-10-30,7601
2017-10-31,7526
2017-11-01,7526
2017-11-02,7392
2017-11-03,7300
2017-11-04,7284
2017-11-05,7250
2017-11-06,7250
2017-11-07,7265
2017-11-08,7234
2017-11-09,7242
2017-11-10,7242
2017-11-11,7185
2017-11-12,7310
2017-11-13,7310
2017-11-14,7273
2017-11-15,7334
2017-11-16,7348
2017-11-17,7335
2017-11-18,7335
2017-11-19,7426
2017-11-20,7424
2017-11-21,7514
2017-11-22,7514
2017-11-23,7548
2017-11-24,7548
2017-11-25,7592
2017-11-26,7757
2017-11-27,7757
2017-11-28,7786
2017-11-29,7986
2017-11-30,7986
2017-12-01,8154
2017-12-02,8154
2017-12-03,8509
2017-12-04,8509
2017-12-05,8893
2017-12-06,8724
2017-12-07,8767
2017-12-08,8767
2017-12-09,8642
2017-12-10,8529
2017-12-11,8555
2017-12-12,8391
2017-12-13,8266
2017-12-14,8236
2017-12-15,8002
2017-12-16,8002
2017-12-17,7983
2017-12-18,8059
2017-12-19,8059
2017-12-20,8221
2017-12-21,8025
2017-12-22,8033
2017-12-23,8179
2017-12-24,8179
2017-12-25,8240
2017-12-26,8203
2017-12-27,8248
2017-12-28,8248
2017-12-29,8241
2017-12-30,8268
2017-12-31,8268
2018-01-01,8353
2018-01-02,8468
2018-01-03,8422
2018-01-04,8361
2018-01-05,8631
2018-01-06,8968
2018-01-07,9028
2018-01-08,9387
2018-01-09,9838
2018-01-10,9838
2018-01-11,10034
2018-01-12,10390
2018-01-13,10589
2018-01-14,10983
2018-01-15,11031
2018-01-16,11198
2018-01-17,11006
2018-01-18,10737
2018-01-19,10737
2018-01-20,10208
2018-01-21,9856
2018-01-22,9603
2018-01-23,9639
2018-01-24,9793
2018-01-25,9949
2018-01-26,10074
2018-01-27,10152
2018-01-28,10105
2018-01-29,10181
2018-01-30,10305
2018-02-01,10388
2018-02-02,10299
2018-02-03,10316
2018-02-04,10268
2018-02-05,10242
2018-02-06,10243
2018-02-07,10218
2018-02-08,10218
2018-02-09,10294
2018-02-10,10294
2018-02-11,10382
2018-02-12,10347
2018-02-13,10275
2018-02-14,10318
2018-02-15,10433
2018-02-16,10376
2018-02-17,10578
2018-02-18,10703
2018-02-19,10612
2018-02-20,10472
2018-02-21,10370
2018-02-22,10388
2018-02-23,10417
2018-02-24,10417
2018-02-25,10551
2018-02-26,10625
2018-02-27,10821
2018-02-28,10853
2018-03-01,10994
2018-03-02,11034
2018-03-03,11276
2018-03-04,11276
2018-03-05,11435
2018-03-06,11487
2018-03-07,12013
2018-03-08,12322
2018-03-09,12509
2018-03-10,12172
2018-03-11,11746
2018-03-12,11608
2018-03-13,12056
2018-03-14,12218
