date_obj,Iron%20full%20helm price
2018-09-18,79
2018-09-19,76
2018-09-20,75
2018-09-21,75
2018-09-22,74
2018-09-23,74
2018-09-24,74
2018-09-25,72
2018-09-26,72
2018-09-27,73
2018-09-28,73
2018-09-29,74
2018-09-30,75
2018-10-02,80
2018-10-03,79
2018-10-04,77
2018-10-05,77
2018-10-06,77
2018-10-07,81
2018-10-08,85
2018-10-09,86
2018-10-10,87
2018-10-11,88
2018-10-12,92
2018-10-13,96
2018-10-14,98
2018-10-15,102
2018-10-16,102
2018-10-17,99
2018-10-18,103
2018-10-19,102
2018-10-20,104
2018-10-21,105
2018-10-22,107
2018-10-23,109
2018-10-24,111
2018-10-25,111
2018-10-26,112
2018-10-27,112
2018-10-28,111
2018-10-29,112
2018-10-30,116
2018-10-31,120
2018-11-01,122
2018-11-03,117
2018-11-04,112
2018-11-05,107
2018-11-06,101
2018-11-07,95
2018-11-08,90
2018-11-09,85
2018-11-10,80
2018-11-11,76
2018-11-12,73
2018-11-13,70
2018-11-14,66
2018-11-15,63
2018-11-16,60
2018-11-17,57
2018-11-18,55
2018-11-19,53
2018-11-20,51
2018-11-21,49
2018-11-22,48
2018-11-23,46
2018-11-24,44
2018-11-25,42
2018-11-26,40
2018-11-27,40
2018-11-28,39
2018-11-29,39
2018-12-01,38
2018-12-02,38
2018-12-03,38
2018-12-04,39
2018-12-05,39
2018-12-07,40
2018-12-09,39
2018-12-10,39
2018-12-11,39
2018-12-12,39
2018-12-13,40
2018-12-14,41
2018-12-15,42
2018-12-16,42
2018-12-17,43
2018-12-18,43
2018-12-19,43
2018-12-20,43
2018-12-21,44
2018-12-22,45
2018-12-23,45
2018-12-24,46
2018-12-25,47
2018-12-26,46
2018-12-27,46
2018-12-28,45
2018-12-29,46
2018-12-30,45
2018-12-31,45
2019-01-01,44
2019-01-02,44
2019-01-03,43
2019-01-04,42
2019-01-05,41
2019-01-06,39
2019-01-08,37
2019-01-10,38
2019-01-11,39
2019-01-12,40
2019-01-13,39
2019-01-14,39
2019-01-15,39
2019-01-16,40
2019-01-17,39
2019-01-18,40
2019-01-19,40
2019-01-20,40
2019-01-21,39
2019-01-22,40
2019-01-23,40
2019-01-24,40
2019-01-25,40
2019-01-26,41
2019-01-27,40
2019-01-28,40
2019-01-29,40
2019-01-30,40
2019-01-31,40
2019-02-01,40
2019-02-02,40
2019-02-03,41
2019-02-04,41
2019-02-05,42
2019-02-06,43
2019-02-07,44
2019-02-08,44
2019-02-09,44
2019-02-10,44
2019-02-11,45
2019-02-12,46
2019-02-13,48
2019-02-14,49
2019-02-15,51
2019-02-16,52
2019-02-17,53
2019-02-18,54
2019-02-19,55
2019-02-20,56
2019-02-21,56
2019-02-22,56
2019-02-23,55
2019-02-24,52
2019-02-25,50
2019-02-26,48
2019-02-27,47
2019-02-28,45
2019-03-01,43
2019-03-02,41
2019-03-03,40
2019-03-04,40
2019-03-05,40
2019-03-06,39
2019-03-07,39
2019-03-08,39
2019-03-09,39
2019-03-10,39
2019-03-11,40
2019-03-12,40
2019-03-13,41
2019-03-14,41
2019-03-15,40
2019-03-16,40
2019-03-17,40
2019-03-18,40
2019-03-19,40
2019-03-20,41
2019-03-21,42
2019-03-22,41
2019-03-23,41
2019-03-24,42
2019-03-25,41
2019-03-26,41
2019-03-27,40
2019-03-28,40
2019-03-29,40
2019-03-30,39
2019-03-31,39
2019-04-01,38
2019-04-02,37
2019-04-03,38
2019-04-04,38
2019-04-05,38
2019-04-06,37
2019-04-07,35
2019-04-08,33
2019-04-09,33
2019-04-10,33
2019-04-11,31
2019-04-12,30
2019-04-13,30
2019-04-14,30
2019-04-15,31
2019-04-16,32
2019-04-17,33
2019-04-18,34
2019-04-19,35
2019-04-20,36
2019-04-21,37
2019-04-22,39
2019-04-23,40
2019-04-24,41
2019-04-25,43
2019-04-26,44
2019-04-27,45
2019-04-28,45
2019-04-29,46
2019-04-30,45
2019-05-01,47
2019-05-02,48
2019-05-03,49
2019-05-04,49
2019-05-05,49
2019-05-06,48
2019-05-07,46
2019-05-08,46
2019-05-09,46
2019-05-10,48
2019-05-11,49
2019-05-12,50
2019-05-13,51
2019-05-14,53
2019-05-15,54
2019-05-16,53
2019-05-17,54
2019-05-18,56
2019-05-19,57
2019-05-20,58
2019-05-21,59
2019-05-22,61
2019-05-23,62
2019-05-24,63
2019-05-25,66
2019-05-26,69
2019-05-27,70
2019-05-28,72
2019-05-29,75
2019-05-30,72
2019-05-31,73
2019-06-01,71
2019-06-02,71
2019-06-03,71
2019-06-04,69
2019-06-05,68
2019-06-06,69
2019-06-07,70
2019-06-08,72
2019-06-09,72
2019-06-10,71
2019-06-11,71
2019-06-12,72
2019-06-13,72
2019-06-14,73
2019-06-15,72
2019-06-16,72
2019-06-17,70
2019-06-18,67
2019-06-19,65
2019-06-20,64
2019-06-21,63
2019-06-22,63
2019-06-23,63
2019-06-24,63
2019-06-25,60
2019-06-26,59
2019-06-27,60
2019-06-28,60
2019-06-29,59
2019-06-30,58
2019-07-01,56
2019-07-02,56
2019-07-03,55
2019-07-04,53
2019-07-05,51
2019-07-06,50
2019-07-07,48
2019-07-08,49
2019-07-09,50
2019-07-10,51
2019-07-11,52
2019-07-12,53
2019-07-13,53
2019-07-14,52
2019-07-15,51
2019-07-16,52
2019-07-17,51
2019-07-18,52
2019-07-19,51
2019-07-20,50
2019-07-21,50
2019-07-22,50
2019-07-23,51
2019-07-24,51
2019-07-25,51
2019-07-26,51
2019-07-27,51
2019-07-28,50
2019-07-29,50
2019-07-30,50
2019-07-31,49
2019-08-01,49
2019-08-02,48
2019-08-03,47
2019-08-04,45
2019-08-05,43
2019-08-06,41
2019-08-07,41
2019-08-08,40
2019-08-09,40
2019-08-10,38
2019-08-11,37
2019-08-12,38
2019-08-13,38
2019-08-14,39
2019-08-15,39
2019-08-16,39
2019-08-17,38
2019-08-18,38
2019-08-19,38
2019-08-20,39
2019-08-21,40
2019-08-22,39
2019-08-23,39
2019-08-24,38
2019-08-24,38
2019-08-25,37
2019-08-25,37
2019-08-26,37
2019-08-26,37
