date_obj,Iron%20kiteshield%20(t) price
2018-08-03,67340
2018-08-04,67394
2018-08-05,67394
2018-08-06,67688
2018-08-07,67688
2018-08-08,68492
2018-08-09,68492
2018-08-10,69503
2018-08-11,71850
2018-08-12,73241
2018-08-14,72378
2018-08-16,75439
2018-08-17,76096
2018-08-18,76096
2018-08-19,74544
2018-08-20,75902
2018-08-21,75902
2018-08-22,77095
2018-08-23,77095
2018-08-24,78228
2018-08-25,79282
2018-08-26,79282
2018-08-27,81384
2018-08-28,81658
2018-08-29,81658
2018-08-30,82424
2018-08-31,84113
2018-09-01,84678
2018-09-02,84678
2018-09-03,82834
2018-09-04,80307
2018-09-05,77826
2018-09-06,77826
2018-09-07,74868
2018-09-08,71874
2018-09-09,71874
2018-09-10,70885
2018-09-11,70885
2018-09-12,71710
2018-09-13,73058
2018-09-14,74200
2018-09-15,72256
2018-09-16,72256
2018-09-17,71486
2018-09-18,70927
2018-09-19,70927
2018-09-20,70452
2018-09-21,70452
2018-09-22,73484
2018-09-23,73484
2018-09-24,75050
2018-09-25,75050
2018-09-26,76522
2018-09-27,76522
2018-09-28,77220
2018-09-29,77220
2018-09-30,77847
2018-10-02,80121
2018-10-03,81430
2018-10-04,81430
2018-10-05,84026
2018-10-06,86299
2018-10-07,86299
2018-10-08,88418
2018-10-09,88418
2018-10-10,88280
2018-10-11,88280
2018-10-12,88821
2018-10-13,89706
2018-10-14,89706
2018-10-15,92257
2018-10-16,92257
2018-10-17,96449
2018-10-18,96449
2018-10-19,96583
2018-10-20,96583
2018-10-21,98968
2018-10-22,98968
2018-10-23,102148
2018-10-24,102148
2018-10-25,104879
2018-10-26,104879
2018-10-27,109705
2018-10-28,112962
2018-10-29,112962
2018-10-30,114541
2018-10-31,118498
2018-11-01,119904
2018-11-03,129256
2018-11-04,132436
2018-11-05,134430
2018-11-06,140153
2018-11-07,145081
2018-11-08,150557
2018-11-09,154380
2018-11-10,153884
2018-11-11,157666
2018-11-12,161374
2018-11-13,166582
2018-11-14,172652
2018-11-15,174884
2018-11-16,172952
2018-11-17,167944
2018-11-18,168145
2018-11-19,168289
2018-11-20,165665
2018-11-21,158426
2018-11-22,151093
2018-11-23,143756
2018-11-24,137616
2018-11-25,132058
2018-11-26,128535
2018-11-27,125155
2018-11-28,121581
2018-11-29,117184
2018-12-01,109720
2018-12-02,105635
2018-12-03,105635
2018-12-04,102696
2018-12-05,98085
2018-12-07,93672
2018-12-09,89074
2018-12-10,85490
2018-12-11,81515
2018-12-12,78349
2018-12-13,76868
2018-12-14,76587
2018-12-15,78335
2018-12-16,79589
2018-12-17,81688
2018-12-18,82725
2018-12-19,83432
2018-12-20,84726
2018-12-21,84662
2018-12-22,84563
2018-12-23,83873
2018-12-24,82566
2018-12-25,81826
2018-12-26,81400
2018-12-27,80529
2018-12-28,80066
2018-12-29,81961
2018-12-30,81703
2018-12-31,82443
2019-01-01,82443
2019-01-02,79350
2019-01-03,77982
2019-01-04,75328
2019-01-05,73697
2019-01-06,72132
2019-01-08,73359
2019-01-10,73097
2019-01-11,70684
2019-01-12,68600
2019-01-13,67718
2019-01-14,69150
2019-01-15,70163
2019-01-16,71737
2019-01-17,73527
2019-01-18,74867
2019-01-19,75831
2019-01-20,76833
2019-01-21,75813
2019-01-22,75433
2019-01-23,74380
2019-01-24,72614
2019-01-25,72232
2019-01-26,70881
2019-01-27,69716
2019-01-28,69501
2019-01-29,69851
2019-01-30,69210
2019-01-31,69210
2019-02-01,68720
2019-02-02,66664
2019-02-03,65403
2019-02-04,65403
2019-02-05,65638
2019-02-06,65638
2019-02-07,67336
2019-02-08,68470
2019-02-09,70481
2019-02-10,71258
2019-02-11,70102
2019-02-12,70719
2019-02-13,69635
2019-02-14,69635
2019-02-15,69016
2019-02-16,69591
2019-02-17,70878
2019-02-18,69802
2019-02-19,70254
2019-02-20,69365
2019-02-21,69422
2019-02-22,68329
2019-02-23,67722
2019-02-24,66095
2019-02-25,66616
2019-02-26,66007
2019-02-27,64401
2019-02-28,64401
2019-03-01,64181
2019-03-02,64993
2019-03-03,64824
2019-03-04,64902
2019-03-05,64700
2019-03-06,63643
2019-03-07,63076
2019-03-08,63076
2019-03-09,63392
2019-03-10,64100
2019-03-11,64592
2019-03-12,65385
2019-03-13,65385
2019-03-14,64901
2019-03-15,64901
2019-03-16,64186
2019-03-17,63160
2019-03-18,63160
2019-03-19,63158
2019-03-20,63565
2019-03-21,63555
2019-03-22,63555
2019-03-23,63413
