date_obj,Ring%20of%20life price
2019-01-26,1937
2019-01-27,1951
2019-01-28,1957
2019-01-29,1955
2019-01-30,1929
2019-01-31,1951
2019-02-01,1929
2019-02-02,1916
2019-02-03,1933
2019-02-04,1985
2019-02-05,1989
2019-02-06,1937
2019-02-07,1945
2019-02-08,1961
2019-02-09,1959
2019-02-10,1954
2019-02-11,1940
2019-02-12,1940
2019-02-13,1942
2019-02-14,1959
2019-02-15,1966
2019-02-16,1944
2019-02-17,1933
2019-02-18,1957
2019-02-19,1942
2019-02-20,1954
2019-02-21,1930
2019-02-22,1906
2019-02-23,1914
2019-02-24,1916
2019-02-25,1929
2019-02-26,1928
2019-02-27,1953
2019-02-28,1936
2019-03-01,1947
2019-03-02,1988
2019-03-03,1979
2019-03-04,2053
2019-03-05,1986
2019-03-06,1998
2019-03-07,1967
2019-03-08,1948
2019-03-09,1974
2019-03-10,1997
2019-03-11,2005
2019-03-12,1984
2019-03-13,1945
2019-03-14,1929
2019-03-15,1955
2019-03-16,1955
2019-03-17,1971
2019-03-18,1947
2019-03-19,1963
2019-03-20,1934
2019-03-21,1967
2019-03-22,1939
2019-03-23,1986
2019-03-24,2005
2019-03-25,2024
2019-03-26,2004
2019-03-27,1990
2019-03-28,1963
2019-03-29,1937
2019-03-30,1942
2019-03-31,1943
2019-04-01,1974
2019-04-02,1996
2019-04-03,1948
