date_obj,Purple%20elegant%20skirt price
2017-03-25,1005
2017-03-26,970
2017-03-27,970
2017-03-28,970
2017-03-29,970
2017-03-30,997
2017-03-31,997
2017-04-01,997
2017-04-02,1015
2017-04-03,1015
2017-04-04,1015
2017-04-12,1015
2017-04-13,1021
2017-04-14,1021
2017-04-15,1021
2017-04-16,1014
2017-04-17,1014
2017-04-18,1014
2017-04-19,1014
2017-04-20,994
2017-04-21,994
2017-04-22,994
2017-04-23,994
2017-04-24,973
2017-04-25,973
2017-04-26,973
2017-04-27,958
2017-04-28,958
2017-04-29,958
2017-04-30,983
2017-05-01,983
2017-05-02,982
2017-05-03,982
2017-05-04,982
2017-05-05,982
2017-05-06,985
2017-05-07,985
2017-05-08,985
2017-05-09,973
2017-05-10,973
2017-05-11,973
2017-05-12,979
2017-05-13,979
2017-05-14,979
2017-05-15,965
2017-05-16,965
2017-05-17,965
2017-05-18,1002
2017-05-19,1002
2017-05-20,1002
2017-05-21,1002
2017-05-22,1044
2017-05-23,1044
2017-05-24,1044
2017-05-25,1044
2017-05-26,1075
2017-05-27,1075
2017-05-28,1075
2017-05-29,1100
2017-05-30,1100
2017-05-31,1100
2017-06-01,1083
2017-06-02,1083
2017-06-03,1083
2017-06-06,1042
2017-06-07,1042
2017-06-08,1028
2017-06-09,1028
2017-06-10,1028
2017-06-11,1015
2017-06-12,1015
2017-06-13,1015
2017-06-14,987
2017-06-15,987
2017-06-16,987
2017-06-17,987
2017-06-18,980
2017-06-19,980
2017-06-20,980
2017-06-21,980
2017-06-22,980
2017-06-23,986
2017-06-24,986
2017-06-25,986
2017-06-26,986
2017-06-27,990
2017-06-28,990
2017-06-29,990
2017-06-30,990
2017-07-01,998
2017-07-02,998
2017-07-03,998
2017-07-04,998
2017-07-05,998
2017-07-06,998
2017-07-07,997
2017-07-08,997
2017-07-13,978
2017-07-14,978
2017-07-15,953
2017-07-16,953
2017-07-17,953
2017-07-18,953
2017-07-19,973
2017-07-20,973
2017-07-21,973
2017-07-22,973
2017-07-23,989
2017-07-24,989
2017-07-25,989
2017-07-26,989
2017-07-27,989
2017-07-28,1009
2017-07-29,1009
2017-07-30,1009
2017-07-31,1009
2017-08-01,1009
2017-08-02,1055
2017-08-03,1055
2017-08-04,1055
2017-08-05,1055
2017-08-06,1055
2017-08-09,1108
2017-08-10,1108
2017-08-11,1108
2017-08-12,1152
2017-08-13,1152
2017-08-14,1152
2017-08-15,1152
2017-08-16,1152
2017-08-17,1147
2017-08-18,1147
2017-08-19,1147
2017-08-20,1147
2017-08-22,1136
2017-08-23,1136
2017-08-24,1136
2017-08-25,1103
2017-08-26,1103
2017-08-27,1103
2017-08-28,1103
2017-08-29,1103
2017-08-30,1062
2017-08-31,1062
2017-09-01,1062
2017-09-02,1062
2017-09-03,1062
2017-09-04,1018
2017-09-05,1018
2017-09-06,1018
2017-09-07,1018
2017-09-08,995
2017-09-09,995
2017-09-10,995
2017-09-11,995
2017-09-12,978
2017-09-13,978
2017-09-14,978
2017-09-15,978
2017-09-16,978
2017-09-17,1003
2017-09-19,1003
2017-09-20,1003
2017-09-21,1003
2017-09-22,1001
2017-09-23,1001
2017-09-24,1001
2017-09-25,1001
2017-09-26,1001
2017-09-27,1001
2017-09-28,997
2017-09-29,997
2017-09-30,997
2017-10-01,997
2017-10-02,997
2017-10-03,980
2017-10-04,980
