date_obj,Mithril%20claws price
2018-01-15,1023
2018-01-16,1023
2018-01-17,1023
2018-01-18,1023
2018-01-19,1023
2018-01-20,1023
2018-01-21,1023
2018-01-22,1023
2018-01-23,1023
2018-01-25,971
2018-01-26,971
2018-01-27,971
2018-01-28,971
2018-01-29,971
2018-01-31,971
2018-02-01,971
2018-02-02,971
2018-02-03,971
2018-02-04,971
2018-02-05,971
2018-02-06,927
2018-02-07,927
2018-02-08,927
2018-02-09,927
2018-02-10,927
2018-02-11,927
2018-02-12,927
2018-02-13,927
2018-02-14,927
2018-02-15,927
2018-02-16,927
2018-02-17,927
2018-02-18,927
2018-02-19,883
2018-02-20,883
2018-02-21,883
2018-02-22,883
2018-02-23,883
2018-02-24,883
2018-02-25,883
2018-02-26,883
2018-02-27,883
2018-03-01,883
2018-03-02,883
2018-03-03,838
2018-03-04,838
2018-03-05,838
2018-03-06,838
2018-03-07,838
2018-03-08,838
2018-03-09,838
2018-03-10,838
2018-03-11,838
2018-03-12,838
2018-03-13,838
2018-03-14,838
2018-03-15,838
2018-03-16,838
2018-03-17,838
2018-03-18,799
2018-03-19,799
2018-03-20,799
2018-03-21,799
2018-03-23,799
2018-03-24,799
2018-03-26,799
2018-03-27,799
2018-03-28,799
2018-03-29,799
2018-03-30,799
2018-03-31,799
2018-04-01,799
2018-04-02,799
2018-04-03,760
2018-04-04,760
2018-04-05,760
2018-04-06,760
2018-04-07,760
2018-04-08,760
2018-04-09,760
2018-04-10,760
2018-04-11,760
2018-04-12,760
2018-04-13,760
2018-04-14,760
2018-04-15,760
2018-04-16,760
2018-04-17,760
2018-04-18,760
2018-04-19,760
2018-04-20,760
2018-04-21,724
2018-04-22,724
2018-04-23,724
2018-04-24,724
2018-04-25,724
2018-04-26,724
2018-04-27,724
2018-04-28,724
2018-04-29,724
2018-04-30,724
2018-05-01,724
2018-05-04,724
2018-05-05,724
2018-05-06,724
2018-05-07,724
2018-05-08,724
2018-05-09,724
2018-05-10,692
2018-05-11,692
2018-05-12,692
2018-05-13,692
2018-05-14,692
2018-05-15,692
2018-05-16,692
2018-05-17,692
2018-05-18,692
2018-05-19,692
2018-05-20,692
2018-05-21,692
2018-05-22,692
2018-05-23,692
2018-05-24,692
2018-05-25,660
2018-05-26,660
2018-05-27,660
2018-05-28,660
2018-05-29,660
2018-05-30,660
2018-05-31,660
2018-06-01,660
2018-06-02,660
2018-06-03,660
2018-06-04,660
2018-06-05,660
2018-06-06,660
2018-06-07,660
2018-06-08,660
2018-06-09,660
2018-06-10,630
2018-06-11,630
2018-06-12,630
2018-06-13,630
2018-06-14,630
2018-06-15,630
2018-06-16,630
2018-06-17,630
2018-06-18,630
2018-06-19,630
2018-06-20,630
2018-06-21,630
2018-06-22,630
2018-06-23,630
2018-06-24,630
2018-06-25,600
2018-06-26,600
2018-06-27,600
2018-06-28,600
2018-06-29,600
2018-06-30,600
2018-07-01,600
2018-07-02,600
2018-07-03,600
2018-07-04,600
2018-07-05,600
2018-07-06,600
2018-07-07,600
2018-07-08,600
2018-07-09,600
2018-07-10,600
2018-07-11,570
2018-07-12,570
2018-07-13,570
2018-07-14,570
2018-07-15,570
2018-07-16,570
2018-07-17,570
2018-07-18,570
2018-07-19,570
2018-07-20,570
2018-07-21,570
2018-07-22,544
2018-07-23,544
2018-07-24,544
2018-07-25,544
2018-07-26,544
2018-07-27,544
2018-07-28,544
2018-07-29,544
2018-07-30,544
2018-07-31,517
2018-08-01,517
2018-08-02,517
2018-08-03,517
2018-08-04,517
2018-08-05,517
2018-08-06,517
2018-08-07,517
2018-08-08,493
2018-08-09,493
2018-08-10,493
2018-08-11,493
2018-08-12,493
2018-08-14,493
2018-08-16,472
2018-08-17,472
2018-08-18,472
2018-08-19,472
2018-08-20,472
2018-08-21,472
2018-08-22,449
2018-08-23,449
2018-08-24,449
2018-08-25,449
2018-08-26,449
2018-08-27,428
2018-08-28,428
2018-08-29,428
2018-08-30,428
2018-08-31,406
2018-09-01,406
2018-09-02,406
2018-09-03,406
2018-09-04,387
2018-09-05,387
2018-09-06,387
2018-09-07,387
2018-09-08,368
2018-09-09,368
2018-09-10,368
2018-09-11,368
2018-09-12,368
2018-09-13,368
2018-09-14,351
2018-09-15,351
2018-09-16,351
2018-09-17,351
2018-09-18,351
2018-09-19,351
2018-09-20,334
2018-09-21,334
2018-09-22,334
2018-09-23,334
2018-09-24,334
2018-09-25,334
2018-09-26,319
2018-09-27,319
2018-09-28,319
2018-09-29,319
2018-09-30,319
2018-10-02,319
2018-10-03,319
2018-10-04,319
2018-10-05,304
2018-10-06,304
2018-10-07,304
2018-10-08,304
2018-10-09,304
2018-10-10,304
2018-10-11,304
2018-10-12,304
