date_obj,Ruby%20bracelet price
2018-01-01,1202
2018-01-02,1202
2018-01-03,1213
2018-01-04,1213
2018-01-05,1213
2018-01-06,1213
2018-01-07,1202
2018-01-08,1202
2018-01-09,1202
2018-01-10,1202
2018-01-11,1213
2018-01-12,1213
2018-01-13,1213
2018-01-14,1213
2018-01-15,1220
2018-01-16,1220
2018-01-17,1220
2018-01-18,1209
2018-01-19,1209
2018-01-20,1209
2018-01-21,1209
2018-01-22,1212
2018-01-23,1212
2018-01-24,1214
2018-01-25,1214
2018-01-26,1214
2018-01-27,1225
2018-01-28,1225
2018-01-29,1226
2018-01-30,1226
2018-01-31,1232
2018-02-01,1232
2018-02-02,1232
2018-02-03,1231
2018-02-04,1231
2018-02-05,1226
2018-02-06,1226
2018-02-07,1227
2018-02-08,1227
2018-02-09,1227
2018-02-10,1226
2018-02-11,1226
2018-02-12,1228
2018-02-13,1228
2018-02-14,1228
2018-02-15,1222
2018-02-16,1222
2018-02-17,1205
2018-02-18,1205
2018-02-19,1206
2018-02-20,1206
2018-02-21,1225
2018-02-22,1225
2018-02-23,1240
2018-02-24,1240
2018-02-25,1230
2018-02-26,1230
2018-02-27,1218
2018-02-28,1218
2018-03-01,1218
2018-03-02,1218
2018-03-03,1218
2018-03-04,1218
2018-03-05,1225
2018-03-06,1225
2018-03-07,1227
2018-03-08,1227
2018-03-09,1214
2018-03-10,1214
2018-03-11,1213
2018-03-12,1213
2018-03-13,1213
2018-03-14,1219
2018-03-15,1219
2018-03-16,1219
2018-03-17,1216
2018-03-18,1216
2018-03-19,1216
2018-03-20,1207
2018-03-21,1207
2018-03-23,1209
2018-03-24,1209
2018-03-26,1221
2018-03-27,1221
2018-03-29,1225
2018-03-30,1225
2018-03-31,1206
2018-04-01,1206
2018-04-02,1206
2018-04-03,1205
2018-04-04,1205
2018-04-05,1205
2018-04-06,1218
2018-04-08,1218
2018-04-09,1212
2018-04-10,1212
2018-04-11,1212
2018-04-12,1215
2018-04-13,1215
2018-04-14,1215
2018-04-15,1223
2018-04-16,1223
2018-04-17,1223
2018-04-18,1217
2018-04-19,1217
2018-04-20,1217
2018-04-21,1207
2018-04-22,1207
2018-04-23,1207
2018-04-24,1207
2018-04-25,1204
2018-04-26,1204
2018-04-27,1204
2018-04-28,1212
2018-04-29,1212
2018-04-30,1212
2018-05-01,1213
2018-05-02,1213
2018-05-03,1213
2018-05-04,1213
2018-05-05,1204
2018-05-06,1204
2018-05-07,1204
2018-05-08,1197
2018-05-09,1197
2018-05-10,1197
2018-05-11,1213
2018-05-12,1213
2018-05-13,1213
2018-05-14,1215
2018-05-15,1215
2018-05-16,1215
2018-05-17,1214
2018-05-18,1214
2018-05-19,1224
2018-05-20,1224
2018-05-21,1213
2018-05-22,1213
2018-05-23,1217
2018-05-24,1217
2018-05-25,1217
2018-05-26,1213
2018-05-27,1213
2018-05-28,1210
2018-05-29,1210
2018-05-30,1210
2018-05-31,1216
2018-06-01,1216
2018-06-02,1218
2018-06-03,1218
2018-06-04,1218
2018-06-05,1220
2018-06-06,1220
2018-06-07,1220
2018-06-08,1209
2018-06-09,1209
2018-06-10,1222
2018-06-11,1222
2018-06-12,1222
2018-06-13,1213
2018-06-14,1213
2018-06-15,1213
2018-06-16,1219
2018-06-17,1219
2018-06-18,1222
2018-06-19,1222
2018-06-20,1222
2018-06-21,1216
2018-06-22,1216
2018-06-23,1216
2018-06-24,1219
2018-06-25,1219
2018-06-26,1219
2018-06-27,1226
2018-06-28,1226
2018-06-29,1226
2018-06-30,1213
2018-07-01,1213
2018-07-02,1213
2018-07-03,1218
2018-07-04,1218
2018-07-05,1218
2018-07-06,1224
2018-07-07,1224
2018-07-08,1224
2018-07-09,1223
2018-07-10,1223
2018-07-11,1223
2018-07-12,1223
2018-07-13,1223
2018-07-14,1223
2018-07-15,1223
2018-07-16,1223
2018-07-17,1223
2018-07-18,1223
2018-07-19,1223
2018-07-20,1219
2018-07-21,1219
2018-07-22,1219
2018-07-23,1219
2018-07-24,1226
2018-07-25,1226
2018-07-26,1226
2018-07-27,1235
2018-07-28,1235
2018-07-29,1234
2018-07-30,1234
2018-07-31,1223
2018-08-01,1223
2018-08-02,1223
2018-08-03,1225
2018-08-04,1225
2018-08-05,1220
2018-08-06,1220
2018-08-07,1227
2018-08-08,1227
2018-08-09,1228
2018-08-10,1228
2018-08-11,1213
2018-08-12,1213
2018-08-14,1202
2018-08-16,1185
2018-08-17,1185
2018-08-18,1197
2018-08-19,1197
2018-08-20,1204
2018-08-21,1204
2018-08-22,1204
2018-08-23,1196
2018-08-24,1196
2018-08-25,1192
2018-08-26,1192
2018-08-27,1192
2018-08-28,1194
2018-08-29,1194
2018-08-30,1194
2018-08-31,1194
2018-09-01,1194
2018-09-02,1181
2018-09-03,1181
2018-09-04,1203
2018-09-05,1203
2018-09-06,1203
2018-09-07,1195
2018-09-08,1195
2018-09-09,1192
2018-09-10,1192
2018-09-11,1192
2018-09-12,1197
2018-09-13,1197
2018-09-14,1197
2018-09-15,1200
2018-09-16,1200
2018-09-17,1200
2018-09-18,1185
2018-09-19,1185
2018-09-20,1181
2018-09-21,1181
2018-09-22,1190
2018-09-23,1190
2018-09-24,1199
2018-09-25,1199
2018-09-26,1213
2018-09-27,1213
2018-09-28,1194
2018-09-29,1194
2018-09-30,1182
2018-10-02,1170
2018-10-03,1170
2018-10-04,1189
2018-10-05,1189
2018-10-06,1175
2018-10-07,1175
2018-10-08,1179
2018-10-09,1179
2018-10-10,1188
2018-10-11,1188
2018-10-12,1194
2018-10-13,1194
2018-10-14,1190
2018-10-15,1190
2018-10-16,1191
2018-10-17,1191
2018-10-18,1185
2018-10-19,1185
2018-10-20,1185
2018-10-21,1184
2018-10-22,1184
2018-10-23,1184
2018-10-24,1195
2018-10-25,1195
2018-10-26,1195
2018-10-27,1199
2018-10-28,1199
2018-10-29,1199
2018-10-30,1200
2018-10-31,1200
2018-11-01,1207
2018-11-03,1200
2018-11-04,1200
2018-11-05,1198
2018-11-06,1198
2018-11-07,1198
2018-11-08,1211
2018-11-09,1211
2018-11-10,1211
2018-11-11,1214
2018-11-12,1214
2018-11-13,1193
2018-11-14,1193
2018-11-15,1193
2018-11-16,1211
2018-11-17,1211
2018-11-18,1187
2018-11-19,1187
2018-11-20,1181
2018-11-21,1181
2018-11-22,1184
2018-11-23,1184
2018-11-24,1183
2018-11-25,1172
2018-11-26,1172
2018-11-27,1157
2018-11-28,1157
2018-11-29,1168
2018-12-01,1183
2018-12-02,1169
2018-12-03,1169
2018-12-04,1158
2018-12-05,1158
2018-12-07,1178
2018-12-09,1185
2018-12-10,1189
2018-12-11,1189
2018-12-12,1189
2018-12-13,1189
2018-12-14,1196
2018-12-15,1196
2018-12-16,1187
2018-12-17,1187
2018-12-18,1187
2018-12-19,1187
2018-12-20,1182
2018-12-21,1178
2018-12-22,1178
2018-12-23,1183
2018-12-24,1183
2018-12-25,1190
2018-12-26,1190
2018-12-27,1183
2018-12-28,1183
2018-12-29,1165
2018-12-30,1165
2018-12-31,1172
2019-01-01,1172
2019-01-02,1150
2019-01-03,1150
2019-01-04,1146
2019-01-05,1154
2019-01-06,1168
2019-01-08,1175
2019-01-10,1197
2019-01-11,1197
2019-01-12,1202
2019-01-13,1189
2019-01-14,1191
2019-01-15,1196
2019-01-16,1196
2019-01-17,1181
2019-01-18,1170
2019-01-19,1157
2019-01-20,1164
2019-01-21,1162
2019-01-22,1172
2019-01-23,1177
2019-01-24,1174
2019-01-25,1183
2019-01-26,1179
2019-01-27,1178
2019-01-28,1174
2019-01-29,1170
2019-01-30,1175
2019-01-31,1175
2019-02-01,1184
2019-02-02,1184
2019-02-03,1188
2019-02-04,1188
2019-02-05,1196
2019-02-06,1196
2019-02-07,1198
2019-02-08,1198
2019-02-09,1198
2019-02-10,1207
2019-02-11,1210
2019-02-12,1210
2019-02-13,1209
2019-02-14,1209
2019-02-15,1210
2019-02-16,1193
2019-02-17,1194
2019-02-18,1191
2019-02-19,1191
2019-02-20,1196
2019-02-21,1208
2019-02-22,1208
2019-02-23,1204
2019-02-24,1210
2019-02-25,1215
2019-02-26,1215
2019-02-27,1213
2019-02-28,1213
2019-03-01,1199
2019-03-02,1208
2019-03-03,1214
2019-03-04,1217
2019-03-05,1211
2019-03-06,1214
2019-03-07,1217
2019-03-08,1217
2019-03-09,1209
2019-03-10,1195
2019-03-11,1196
2019-03-12,1190
2019-03-13,1190
2019-03-14,1188
2019-03-15,1188
2019-03-16,1190
2019-03-17,1200
2019-03-18,1200
2019-03-19,1208
