date_obj,Diamond%20necklace price
2016-04-20,2145
2016-04-21,2145
2016-04-22,2145
2016-04-23,2145
2016-04-24,2145
2016-04-25,2145
2016-04-26,2145
2016-04-27,2145
2016-04-28,2145
2016-04-29,2145
2016-04-30,2145
2016-05-01,2145
2016-05-02,2145
2016-05-03,2145
2016-05-04,2145
2016-05-05,2145
2016-05-06,2145
2016-05-07,2145
2016-05-08,2145
2016-05-09,2125
2016-05-10,2125
2016-05-11,2125
2016-05-12,2125
2016-05-13,2125
2016-05-14,2125
2016-05-15,2125
2016-05-16,2125
2016-05-17,2125
2016-05-18,2125
2016-05-19,2125
2016-05-22,2125
2016-05-23,2125
2016-05-24,2125
2016-05-25,2125
2016-05-26,2125
2016-05-27,2125
2016-05-28,2125
2016-05-29,2082
2016-05-30,2082
2016-05-31,2082
2016-06-01,2082
2016-06-02,2082
2016-06-03,2082
2016-06-04,2082
2016-06-05,2082
2016-06-06,2082
2016-06-07,2082
2016-06-08,2082
2016-06-09,2082
2016-06-10,2082
2016-06-11,2082
2016-06-12,2082
2016-06-13,2082
2016-06-14,2082
2016-06-15,2082
2016-06-16,2082
2016-06-17,2082
2016-06-18,2082
2016-06-19,2128
2016-06-20,2128
2016-06-21,2128
2016-06-22,2128
2016-06-23,2128
2016-06-24,2128
2016-06-25,2128
2016-06-26,2128
2016-06-27,2128
2016-06-28,2128
2016-06-29,2128
2016-06-30,2128
2016-07-01,2128
2016-07-02,2128
2016-07-03,2128
2016-07-04,2128
2016-07-05,2128
2016-07-06,2128
2016-07-07,2128
2016-07-08,2128
2016-07-09,2128
2016-07-10,2128
2016-07-11,2128
2016-07-12,2128
2016-07-13,2128
2016-07-14,2128
2016-07-15,2128
2016-07-16,2128
2016-07-17,2128
2016-07-18,2128
2016-07-23,2128
2016-07-24,2128
2016-07-25,2128
2016-07-26,2128
2016-07-27,2128
2016-07-28,2128
2016-07-29,2128
2016-07-30,2128
2016-07-31,2128
2016-08-01,2128
2016-08-02,2128
2016-08-03,2128
2016-08-04,2128
2016-08-05,2188
2016-08-06,2188
2016-08-07,2188
2016-08-08,2188
2016-08-09,2188
2016-08-10,2188
2016-08-11,2188
2016-08-12,2188
2016-08-13,2188
2016-08-14,2188
2016-08-15,2188
2016-08-16,2188
2016-08-17,2188
2016-08-18,2188
2016-08-19,2188
2016-08-20,2188
2016-08-21,2188
2016-08-22,2188
2016-08-23,2188
2016-08-24,2188
2016-08-25,2188
2016-08-26,2188
2016-08-28,2188
2016-08-31,2188
2016-09-01,2184
2016-09-02,2184
2016-09-03,2184
2016-09-04,2184
2016-09-05,2184
2016-09-06,2184
2016-09-07,2184
2016-09-08,2184
2016-09-09,2184
2016-09-10,2184
2016-09-11,2184
2016-09-12,2184
2016-09-13,2184
2016-09-14,2184
2016-09-15,2184
2016-09-16,2184
2016-09-17,2184
2016-09-18,2184
2016-09-19,2184
2016-09-20,2184
2016-09-21,2184
2016-09-22,2184
2016-09-23,2184
2016-09-24,2184
2016-09-25,2184
2016-09-26,2184
2016-09-27,2184
2016-09-28,2121
2016-09-29,2121
2016-09-30,2121
2016-10-01,2121
2016-10-02,2121
2016-10-03,2121
2016-10-04,2121
2016-10-05,2121
2016-10-06,2121
2016-10-07,2121
2016-10-08,2121
2016-10-09,2121
2016-10-10,2121
2016-10-11,2121
2016-10-12,2121
2016-10-13,2121
2016-10-14,2121
2016-10-15,2121
2016-10-16,2121
2016-10-17,2121
2016-10-18,2121
2016-10-19,2121
2016-10-20,2121
2016-10-21,2121
2016-10-22,2121
2016-10-23,2116
2016-10-24,2116
2016-10-25,2116
2016-10-26,2116
2016-10-27,2116
2016-10-28,2116
2016-10-29,2116
2016-10-30,2116
2016-10-31,2116
2016-11-01,2116
2016-11-02,2198
2016-11-03,2198
2016-11-04,2198
2016-11-05,2198
2016-11-06,2198
2016-11-07,2198
2016-11-08,2298
2016-11-09,2298
2016-11-10,2298
2016-11-11,2298
2016-11-12,2298
2016-11-13,2298
2016-11-14,2402
2016-11-15,2402
2016-12-07,2757
2016-12-08,2848
2016-12-09,2848
2016-12-10,2848
2016-12-11,2848
2016-12-12,2848
2016-12-13,2848
2016-12-14,2848
2016-12-15,2848
2016-12-16,2848
2016-12-17,2848
2016-12-18,2848
2016-12-19,2848
2016-12-20,2812
2016-12-21,2812
2016-12-22,2812
2016-12-23,2812
2016-12-24,2812
2016-12-25,2812
2016-12-26,2812
2016-12-27,2812
2016-12-28,2812
2016-12-29,2812
2016-12-30,2812
2016-12-31,2812
2017-01-01,2812
2017-01-02,2741
2017-01-03,2741
2017-01-04,2741
2017-01-05,2741
2017-01-06,2741
2017-01-07,2741
2017-01-08,2741
2017-01-09,2741
2017-01-10,2741
2017-01-11,2741
2017-01-12,2741
2017-01-13,2741
2017-01-14,2741
2017-01-15,2656
2017-01-16,2656
2017-01-17,2656
2017-01-18,2656
2017-01-19,2656
2017-01-20,2656
2017-01-21,2656
2017-01-22,2656
2017-01-23,2656
2017-01-27,2656
2017-01-28,2526
2017-01-29,2526
2017-01-30,2526
2017-01-31,2526
2017-02-01,2526
2017-02-02,2526
2017-02-03,2526
2017-02-04,2526
2017-02-05,2526
2017-02-06,2526
2017-02-07,2526
2017-02-08,2526
2017-02-09,2526
2017-02-10,2526
2017-02-11,2402
2017-02-12,2402
2017-02-13,2402
2017-02-14,2402
2017-02-15,2402
2017-02-16,2402
2017-02-18,2402
2017-02-19,2402
2017-02-20,2402
2017-02-21,2402
2017-02-22,2402
2017-02-23,2402
2017-02-24,2402
2017-02-25,2402
2017-02-26,2402
2017-02-27,2402
2017-02-28,2283
2017-03-01,2283
2017-03-02,2283
2017-03-03,2283
2017-03-04,2283
2017-03-05,2283
2017-03-06,2283
2017-03-07,2283
2017-03-08,2283
2017-03-09,2283
2017-03-10,2283
2017-03-11,2283
2017-03-12,2283
2017-03-13,2283
2017-03-14,2283
2017-03-15,2283
2017-03-16,2283
2017-03-17,2283
2017-03-18,2283
2017-03-19,2171
2017-03-20,2171
2017-03-21,2171
2017-03-22,2171
2017-03-23,2171
2017-03-24,2171
2017-03-25,2171
2017-03-26,2171
2017-03-27,2171
2017-03-28,2171
2017-03-29,2171
2017-03-30,2171
2017-03-31,2171
2017-04-01,2171
2017-04-02,2171
2017-04-03,2171
2017-04-04,2171
2017-04-12,2113
2017-04-13,2113
2017-04-14,2113
2017-04-15,2113
2017-04-16,2113
2017-04-17,2113
2017-04-18,2113
2017-04-19,2113
2017-04-20,2113
2017-04-21,2113
2017-04-22,2113
2017-04-23,2113
2017-04-24,2113
2017-04-25,2113
2017-04-26,2113
2017-04-27,2113
2017-04-28,2113
2017-04-29,2144
2017-04-30,2144
2017-05-01,2144
2017-05-02,2144
2017-05-03,2144
2017-05-04,2144
2017-05-05,2144
2017-05-06,2144
2017-05-07,2144
2017-05-08,2144
2017-05-09,2144
2017-05-10,2144
2017-05-11,2144
2017-05-12,2144
2017-05-13,2144
2017-05-14,2144
2017-05-15,2144
2017-05-16,2144
2017-05-17,2144
