date_obj,Mahogany%20table%20(flatpack) price
2018-03-05,393
2018-03-06,393
2018-03-07,393
2018-03-08,393
2018-03-09,393
2018-03-10,393
2018-03-11,393
2018-03-12,374
2018-03-13,374
2018-03-14,374
2018-03-15,374
2018-03-16,374
2018-03-17,374
2018-03-18,374
2018-03-19,374
2018-03-20,374
2018-03-21,374
2018-03-23,355
2018-03-24,355
2018-03-26,355
2018-03-27,355
2018-03-28,355
2018-03-29,355
2018-03-30,355
2018-03-31,355
2018-04-01,355
2018-04-02,355
2018-04-03,338
2018-04-04,338
2018-04-05,338
2018-04-06,338
2018-04-07,338
2018-04-08,338
2018-04-09,338
2018-04-10,338
2018-04-11,338
2018-04-12,338
2018-04-13,338
2018-04-14,338
2018-04-15,321
2018-04-16,321
2018-04-17,321
2018-04-18,321
2018-04-19,321
2018-04-20,321
2018-04-21,321
2018-04-22,321
2018-04-23,321
2018-04-24,321
2018-04-25,321
2018-04-26,321
2018-04-27,321
2018-04-28,321
2018-04-29,305
2018-04-30,305
2018-05-01,305
2018-05-04,305
2018-05-05,305
2018-05-06,305
2018-05-07,305
2018-05-08,305
2018-05-09,305
2018-05-10,305
2018-05-11,305
2018-05-12,291
2018-05-13,291
2018-05-14,291
2018-05-15,291
2018-05-16,291
2018-05-17,291
2018-05-18,291
2018-05-19,291
2018-05-20,291
2018-05-21,291
2018-05-22,291
2018-05-23,291
2018-05-24,277
2018-05-25,277
2018-05-26,277
2018-05-27,277
2018-05-28,277
2018-05-29,277
2018-05-30,277
2018-05-31,277
2018-06-01,277
2018-06-02,264
2018-06-03,264
2018-06-04,264
2018-06-05,264
2018-06-06,264
2018-06-07,264
2018-06-08,264
2018-06-09,264
2018-06-10,264
2018-06-11,264
2018-06-12,264
2018-06-13,264
2018-06-14,264
2018-06-15,264
2018-06-16,264
2018-06-17,250
2018-06-18,250
2018-06-19,250
2018-06-20,250
2018-06-21,250
2018-06-22,250
2018-06-23,250
2018-06-24,250
2018-06-25,250
2018-06-26,250
2018-06-27,250
2018-06-28,237
2018-06-29,237
2018-06-30,237
2018-07-01,237
2018-07-02,237
2018-07-03,237
2018-07-04,237
2018-07-05,237
2018-07-06,237
2018-07-07,237
2018-07-08,237
2018-07-09,227
2018-07-10,227
2018-07-11,227
2018-07-12,227
2018-07-13,227
2018-07-14,227
2018-07-15,227
2018-07-16,227
2018-07-17,227
2018-07-18,227
2018-07-19,227
2018-07-20,227
2018-07-21,215
2018-07-22,215
2018-07-23,215
2018-07-24,215
2018-07-25,215
2018-07-26,215
2018-07-27,215
2018-07-28,215
2018-07-29,215
2018-07-30,215
2018-07-31,215
2018-08-01,215
2018-08-02,206
2018-08-03,206
2018-08-04,206
2018-08-05,206
2018-08-06,206
2018-08-07,206
2018-08-08,206
2018-08-09,206
2018-08-10,206
2018-08-11,206
2018-08-12,197
2018-08-14,197
2018-08-16,197
2018-08-17,197
2018-08-18,197
2018-08-19,197
2018-08-20,197
2018-08-21,197
2018-08-22,188
2018-08-23,188
2018-08-24,188
2018-08-25,188
2018-08-26,188
2018-08-27,188
2018-08-28,188
2018-08-29,188
2018-08-30,188
2018-08-31,179
2018-09-01,179
2018-09-02,179
2018-09-03,179
2018-09-04,179
2018-09-05,179
2018-09-06,179
2018-09-07,170
2018-09-08,170
2018-09-09,170
2018-09-10,170
2018-09-11,170
2018-09-12,170
2018-09-13,170
2018-09-14,170
2018-09-15,170
2018-09-16,170
2018-09-17,161
2018-09-18,161
2018-09-19,161
2018-09-20,161
2018-09-21,161
2018-09-22,161
2018-09-23,161
2018-09-24,161
2018-09-25,152
2018-09-26,152
2018-09-27,152
2018-09-28,152
2018-09-29,152
2018-09-30,152
2018-10-02,144
2018-10-03,144
2018-10-04,144
2018-10-05,144
2018-10-06,144
2018-10-07,144
2018-10-08,144
2018-10-09,144
2018-10-10,144
2018-10-11,142
2018-10-12,142
2018-10-13,142
2018-10-14,142
2018-10-15,142
2018-10-16,142
2018-10-17,142
2018-10-18,142
2018-10-19,142
2018-10-20,142
2018-10-21,142
2018-10-22,147
2018-10-23,147
2018-10-24,147
2018-10-25,147
2018-10-26,147
2018-10-27,147
2018-10-28,147
2018-10-29,147
2018-10-30,147
2018-10-31,147
2018-11-01,145
2018-11-03,145
2018-11-04,145
2018-11-05,145
2018-11-06,145
2018-11-07,145
2018-11-08,145
2018-11-09,145
2018-11-10,151
2018-11-11,151
2018-11-12,151
2018-11-13,151
2018-11-14,151
2018-11-15,151
2018-11-16,151
2018-11-17,151
2018-11-18,158
2018-11-19,158
2018-11-20,158
2018-11-21,158
2018-11-22,158
2018-11-23,158
2018-11-24,158
2018-11-25,165
2018-11-26,165
2018-11-27,165
2018-11-28,165
2018-11-29,165
2018-12-01,165
2018-12-02,173
2018-12-03,173
2018-12-04,173
2018-12-05,173
2018-12-07,173
2018-12-09,173
2018-12-10,173
2018-12-11,181
2018-12-12,181
2018-12-13,181
2018-12-14,181
2018-12-15,181
2018-12-16,181
2018-12-17,181
2018-12-18,181
2018-12-19,181
2018-12-20,181
2018-12-21,181
2018-12-22,181
2018-12-23,181
2018-12-24,181
2018-12-25,181
2018-12-26,181
2018-12-27,177
2018-12-28,177
2018-12-29,177
2018-12-30,177
2018-12-31,177
2019-01-01,177
2019-01-02,177
2019-01-03,177
2019-01-04,177
2019-01-05,177
2019-01-06,177
2019-01-08,177
2019-01-10,171
2019-01-11,171
2019-01-12,171
2019-01-13,171
2019-01-14,171
2019-01-15,171
2019-01-16,171
2019-01-17,165
2019-01-18,165
2019-01-19,165
2019-01-20,165
2019-01-21,165
2019-01-22,165
2019-01-23,165
2019-01-24,165
2019-01-25,157
2019-01-26,157
2019-01-27,157
2019-01-28,157
2019-01-29,157
2019-01-30,157
2019-01-31,157
2019-02-01,157
2019-02-02,157
2019-02-03,150
2019-02-04,150
2019-02-05,150
2019-02-06,150
2019-02-07,150
2019-02-08,150
2019-02-09,150
2019-02-10,150
2019-02-11,150
2019-02-12,143
2019-02-13,143
2019-02-14,143
2019-02-15,143
2019-02-16,143
2019-02-17,143
2019-02-18,143
2019-02-19,143
2019-02-20,143
2019-02-21,140
2019-02-22,140
2019-02-23,140
2019-02-24,140
2019-02-25,140
2019-02-26,140
2019-02-27,140
2019-02-28,140
2019-03-01,140
2019-03-02,140
2019-03-03,140
2019-03-04,140
2019-03-05,140
2019-03-06,135
2019-03-07,135
2019-03-08,135
2019-03-09,135
2019-03-10,135
2019-03-11,135
2019-03-12,135
2019-03-13,135
2019-03-14,138
2019-03-15,138
2019-03-16,138
2019-03-17,138
2019-03-18,138
2019-03-19,138
2019-03-20,138
2019-03-21,138
2019-03-22,138
2019-03-23,144
2019-03-24,144
2019-03-25,144
2019-03-26,144
2019-03-27,144
2019-03-28,144
2019-03-29,144
2019-03-30,144
2019-03-31,144
2019-04-01,144
2019-04-02,144
2019-04-03,138
2019-04-04,138
2019-04-05,138
2019-04-06,138
2019-04-07,138
2019-04-08,138
2019-04-09,138
2019-04-10,138
2019-04-11,138
2019-04-12,132
2019-04-13,132
2019-04-14,132
2019-04-15,132
2019-04-16,132
2019-04-17,132
2019-04-18,132
2019-04-19,132
2019-04-20,132
2019-04-21,132
2019-04-22,132
2019-04-23,126
2019-04-24,126
2019-04-25,126
2019-04-26,126
2019-04-27,126
2019-04-28,126
2019-04-29,126
2019-04-30,126
2019-05-01,126
2019-05-02,126
2019-05-03,119
2019-05-04,119
2019-05-05,119
2019-05-06,119
2019-05-07,119
2019-05-08,119
2019-05-09,119
2019-05-10,119
2019-05-11,119
2019-05-12,114
2019-05-13,114
2019-05-14,114
2019-05-15,114
2019-05-16,114
2019-05-17,114
2019-05-18,114
2019-05-19,114
2019-05-20,109
