date_obj,Adamant%20platebody%20(t) price
2017-09-25,11961
2017-09-26,11961
2017-09-27,11961
2017-09-28,12474
2017-09-29,12474
2017-09-30,12474
2017-10-01,13035
2017-10-02,13035
2017-10-03,13035
2017-10-04,12884
2017-10-05,12884
2017-10-06,12884
2017-10-07,12871
2017-10-08,12871
2017-10-09,12871
2017-10-10,12601
2017-10-11,12601
2017-10-12,12601
2017-10-13,12476
2017-10-14,12476
2017-10-15,12476
2017-10-16,12361
2017-10-17,12361
2017-10-18,12361
2017-10-19,12571
2017-10-20,12571
2017-10-21,12571
2017-10-22,12620
2017-10-23,12620
2017-10-24,12620
2017-10-25,13085
2017-10-26,13085
2017-10-27,13085
2017-10-28,13085
2017-10-29,13280
2017-10-30,13280
2017-10-31,13280
2017-11-01,13280
2017-11-02,13098
2017-11-03,13098
2017-11-04,12915
2017-11-05,12915
2017-11-06,12915
2017-11-07,12693
2017-11-08,12693
2017-11-09,12183
2017-11-10,12183
2017-11-11,12183
2017-11-12,11645
2017-11-13,11645
2017-11-14,11645
2017-11-15,11157
2017-11-16,11157
2017-11-17,10790
2017-11-18,10790
2017-11-19,10790
2017-11-20,10465
2017-11-21,10465
2017-11-22,10465
2017-11-23,10103
2017-11-24,10103
2017-11-25,9773
2017-11-26,9773
2017-11-27,9773
2017-11-28,9763
2017-11-29,9763
2017-11-30,9763
2017-12-01,9738
2017-12-02,9738
2017-12-03,9738
2017-12-04,9835
2017-12-05,9835
2017-12-06,10045
2017-12-07,10045
2017-12-08,10045
2017-12-09,10193
2017-12-10,10193
2017-12-11,10130
2017-12-12,10130
2017-12-13,10130
2017-12-14,10128
2017-12-15,10128
2017-12-16,10040
2017-12-17,10040
2017-12-18,9833
2017-12-19,9833
2017-12-20,9833
2017-12-21,9828
2017-12-22,9828
2017-12-23,9828
2017-12-24,9896
2017-12-25,9896
2017-12-26,9896
2017-12-27,9813
2017-12-28,9813
2017-12-29,9869
2017-12-30,9869
2017-12-31,10077
2018-01-01,10077
2018-01-02,10077
2018-01-03,10048
2018-01-04,10048
2018-01-05,10166
2018-01-06,10166
2018-01-07,10267
2018-01-08,10267
2018-01-09,10323
2018-01-10,10323
2018-01-11,10536
2018-01-12,10536
2018-01-13,10656
2018-01-14,10656
2018-01-15,10801
2018-01-16,10801
2018-01-17,10961
2018-01-18,10961
2018-01-19,10961
2018-01-20,11195
2018-01-21,11195
2018-01-22,11406
2018-01-23,11406
2018-01-24,11415
2018-01-25,11415
2018-01-26,11724
2018-01-27,11903
2018-01-28,12237
2018-01-29,12065
2018-01-30,11798
2018-01-31,11798
2018-02-01,11394
2018-02-02,11426
2018-02-03,11162
2018-02-04,10919
2018-02-05,10919
2018-02-06,10633
2018-02-07,10466
2018-02-08,10466
2018-02-09,10366
2018-02-10,10366
2018-02-11,10553
2018-02-12,10740
2018-02-13,10903
2018-02-14,10904
2018-02-15,11169
2018-02-16,11515
2018-02-17,11990
2018-02-18,12122
2018-02-19,12241
