date_obj,Seers%20ring price
2017-03-22,242381
2017-03-23,242753
2017-03-24,247898
2017-03-25,256742
2017-03-26,259435
2017-03-27,256531
2017-03-28,250572
2017-03-29,252411
2017-03-30,256352
2017-03-31,263716
2017-04-01,273498
2017-04-02,286739
2017-04-03,289186
2017-04-04,300622
2017-04-12,286595
2017-04-13,290194
2017-04-14,293466
2017-04-15,303384
2017-04-16,308720
2017-04-17,305585
2017-04-18,307065
2017-04-19,301819
2017-04-20,301816
2017-04-21,298649
2017-04-22,297275
2017-04-23,295660
2017-04-24,301374
2017-04-25,300211
2017-04-26,297634
2017-04-27,293731
2017-04-28,293839
2017-04-29,292260
2017-04-30,286311
2017-05-01,286853
2017-05-02,286532
2017-05-03,283246
2017-05-04,286131
2017-05-05,286936
2017-05-06,296442
2017-05-07,303599
2017-05-08,313245
2017-05-09,314214
2017-05-10,311415
2017-05-11,306052
2017-05-12,301346
2017-05-13,299850
2017-05-14,295842
2017-05-15,292950
2017-05-16,290673
2017-05-17,291009
2017-05-18,284418
2017-05-19,289938
2017-05-20,287082
2017-05-21,280682
2017-05-22,275653
2017-05-23,274021
2017-05-24,268488
2017-05-25,259133
2017-05-26,251388
2017-05-27,249976
2017-05-28,255546
2017-05-29,265013
2017-05-30,278264
2017-05-31,292178
2017-06-01,288860
2017-06-02,278252
2017-06-03,269564
2017-06-06,246607
2017-06-07,247222
2017-06-08,243814
2017-06-09,239226
2017-06-10,239983
2017-06-11,235374
2017-06-12,228905
2017-06-13,230667
2017-06-14,231749
2017-06-15,237612
2017-06-16,246119
2017-06-17,248326
2017-06-18,246298
2017-06-19,244799
2017-06-20,245933
2017-06-21,247629
2017-06-22,246423
2017-06-23,243954
2017-06-24,245881
2017-06-25,249321
2017-06-26,256223
2017-06-27,256626
2017-06-28,255020
2017-06-29,266329
2017-06-30,277596
2017-07-01,290801
2017-07-02,304549
2017-07-03,302120
2017-07-04,293473
2017-07-05,293983
2017-07-06,286978
2017-07-07,284611
2017-07-08,279282
2017-07-13,304197
2017-07-14,311518
2017-07-15,312155
2017-07-16,307344
2017-07-17,298788
2017-07-18,302239
2017-07-19,304938
2017-07-20,311406
2017-07-21,321086
2017-07-22,332730
2017-07-23,332299
2017-07-24,327520
2017-07-25,327420
2017-07-26,321367
2017-07-27,327478
2017-07-28,340607
2017-07-29,355316
2017-07-30,361820
2017-07-31,357381
2017-08-01,357214
2017-08-02,352265
2017-08-03,351456
2017-08-04,346227
2017-08-05,340666
2017-08-06,340726
2017-08-09,323471
2017-08-10,321261
2017-08-11,314742
2017-08-12,310215
2017-08-13,308012
2017-08-14,299318
2017-08-15,293993
2017-08-17,287635
2017-08-18,282980
2017-08-19,277527
2017-08-20,282737
2017-08-21,293805
2017-08-22,285368
2017-08-23,279458
2017-08-24,271994
2017-08-25,264400
2017-08-26,258800
2017-08-27,255976
2017-08-28,250242
2017-08-29,243266
2017-08-30,242548
2017-08-31,252610
2017-09-01,260625
2017-09-02,267541
2017-09-03,272906
2017-09-04,275911
2017-09-05,276454
2017-09-06,277276
2017-09-07,278952
2017-09-08,282240
2017-09-09,280357
2017-09-10,286470
2017-09-11,287579
2017-09-12,285640
2017-09-13,282717
2017-09-14,278183
2017-09-15,277807
2017-09-16,279856
2017-09-17,281476
2017-09-19,287191
2017-09-20,292534
2017-09-21,303077
2017-09-22,300132
2017-09-23,299797
2017-09-24,304080
2017-09-25,306222
2017-09-26,305854
2017-09-27,304740
2017-09-28,301232
2017-09-29,298347
2017-09-30,298724
2017-10-01,293092
2017-10-02,291667
2017-10-03,290056
2017-10-04,289636
2017-10-05,292396
2017-10-06,291780
2017-10-07,295778
2017-10-08,296837
2017-10-09,293946
2017-10-10,293624
2017-10-11,294238
2017-10-12,294758
2017-10-13,295030
2017-10-14,298205
2017-10-15,300428
2017-10-16,302633
2017-10-17,303832
2017-10-18,302335
2017-10-19,300399
2017-10-20,300672
2017-10-21,299295
2017-10-22,298893
2017-10-23,298325
2017-10-24,297427
2017-10-25,296595
2017-10-26,295777
2017-10-27,295524
2017-10-28,294230
2017-10-29,294593
2017-10-30,295183
2017-10-31,295588
2017-11-01,296114
2017-11-02,295162
2017-11-03,296253
2017-11-04,294015
2017-11-05,289888
2017-11-06,286752
2017-11-07,285714
