date_obj,Saradomin%20dragonhide%20set price
2016-05-28,379618
2016-05-29,379618
2016-05-30,379618
2016-05-31,389738
2016-06-01,389738
2016-06-02,389738
2016-06-03,389738
2016-06-04,389738
2016-06-05,389738
2016-06-06,402924
2016-06-07,402924
2016-06-08,402924
2016-06-09,402924
2016-06-10,402924
2016-06-11,402924
2016-06-12,417112
2016-06-13,417112
2016-06-14,417112
2016-06-15,417112
2016-06-16,417112
2016-06-17,417112
2016-06-18,417112
2016-06-19,433126
2016-06-20,433126
2016-06-21,433126
2016-06-22,433126
2016-06-23,433126
2016-06-24,433126
2016-06-25,447676
2016-06-26,447676
2016-06-27,447676
2016-06-28,447676
2016-06-29,447676
2016-06-30,447676
2016-07-01,459684
2016-07-02,459684
2016-07-03,459684
2016-07-04,459684
2016-07-05,459684
2016-07-06,459684
2016-07-07,459684
2016-07-08,457825
2016-07-09,457825
2016-07-10,457825
2016-07-11,457825
2016-07-12,457825
2016-07-13,457825
2016-07-14,455266
2016-07-15,455266
2016-07-16,455266
2016-07-17,455266
2016-07-18,455266
2016-07-23,458801
2016-07-24,458801
2016-07-25,458801
2016-07-26,458801
2016-07-27,458801
2016-07-28,471162
2016-07-29,471162
2016-07-30,471162
2016-07-31,471162
2016-08-01,471162
2016-08-02,471162
2016-08-03,460311
2016-08-04,460311
2016-08-05,460311
2016-08-06,460311
2016-08-07,460311
2016-08-08,460311
2016-08-09,460311
2016-08-10,450519
2016-08-11,450519
2016-08-12,450519
2016-08-13,450519
2016-08-14,450519
2016-08-15,450519
2016-08-16,450519
2016-08-17,450519
2016-08-18,440531
2016-08-19,440531
2016-08-20,440531
2016-08-21,440531
2016-08-22,440531
2016-08-23,440531
2016-08-24,440531
2016-08-25,421083
2016-08-26,421083
2016-08-28,421083
2016-08-31,421083
2016-09-01,400545
2016-09-02,400545
2016-09-03,400545
2016-09-04,400545
2016-09-05,400545
2016-09-06,400545
2016-09-07,400545
2016-09-08,400545
2016-09-09,388207
2016-09-10,388207
2016-09-11,388207
2016-09-12,388207
2016-09-13,388207
2016-09-14,388207
2016-09-15,388207
2016-09-16,388207
2016-09-17,386775
2016-09-18,386775
2016-09-19,386775
2016-09-20,386775
2016-09-21,386775
2016-09-22,386775
2016-09-23,380050
2016-09-24,380050
2016-09-25,380050
2016-09-26,380050
2016-09-27,380050
2016-09-28,380050
2016-09-29,380050
2016-09-30,374755
2016-10-01,374755
2016-10-02,374755
2016-10-03,374755
2016-10-04,374755
2016-10-05,374755
